live_k,n,fixed_build_us_median,fixed_nodes_median,best10_selected_build_us_median,best10_selected_nodes_median,best10_median_build_us_median,order_search_total_us_median,reorder_build_us_median,reorder_nodes_median,node_ratio_best10_vs_fixed_median,node_ratio_reorder_vs_fixed_median
8,64,18.322840332984924,17.0,13.440148904919624,14.0,13.365177437663078,15377.545962110162,14.151446521282196,17.0,0.7928571428571429,1.0
12,64,28.277980163693428,42.0,21.22693695127964,29.0,23.014727048575878,18958.62049423158,23.821135982871056,42.0,0.7143416927899686,1.0
16,64,39.54488784074783,78.0,31.48801624774933,54.0,35.6738455593586,22277.137031778693,34.83728505671024,78.0,0.7016108891108891,1.0
