n_vars,expr_style,family_variant_style,family_size,family_reuse_ratio_median,family_unique_subtree_hashes_median,family_repeated_subtree_hash_count_median,family_max_subtree_reuse_count_median,family_bitset_total_time_s_median,family_cm_no_cache_total_time_s_median,family_cm_cache_total_time_s_median,family_robdd_build_total_time_s_median,speedup_cm_cache_vs_cm_no_cache_median,ratio_cm_cache_over_bitset_median,ratio_cm_no_cache_over_bitset_median,family_cm_cache_persistent_hits_total_median,family_cm_cache_persistent_misses_total_median,family_bitset_ok_rate_median,family_cm_no_cache_ok_rate_median,family_cm_cache_ok_rate_median,family_robdd_ok_rate_median,family_robdd_backend,trials,max_depth
8,mixed_no_constants,composition_mix,8,0.8144144144144144,110.0,45.0,48.0,0.00035039999056607485,0.006898800027556717,,,,,19.869292733710243,,,1.0,1.0,,,auto,17,4
12,mixed_no_constants,composition_mix,8,0.7953410981697171,119.0,53.0,40.0,0.000507200020365417,0.008068600029218942,,,,,14.407385556124837,,,1.0,1.0,,,auto,17,4
