role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
heldout-structural,warm,dense,preparation_compile_and_lower,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,materialization_dense_whole_call,24,24,"{""ok"": 24}","{""underestimates"": 24, ""max_peak_over_estimate"": 113.6875, ""median_peak_over_estimate"": 15.9951171875, ""max_estimate_over_peak"": 0.8792883689104155, ""estimate_over_peak_distribution"": [0.008796041781198461, 0.00881057268722467, 0.008830022075055188, 0.014311270125223614, 0.014349775784753363, 0.0144014401440144, 0.022376644377431056, 0.022400140000875004, 0.022431544359255203, 0.044160772813524235, 0.0442523768366465, 0.04437510833766684, 0.10576327205122908, 0.10579605331129249, 0.10583979328165374, 0.17028175894072772, 0.1702870684100027, 0.17029414821744102, 0.2921540656205421, 0.2924043403769275, 0.29273870783304745, 0.8789581684795, 0.8790996525774993, 0.8792883689104155]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.18388157894736842, ""median_peak_over_estimate"": 0.1542139850034913, ""max_estimate_over_peak"": 26.00512524653509, ""estimate_over_peak_distribution"": [5.438282647584973, 5.452914798206278, 5.472547254725473, 5.4822778724706085, 5.488034300214376, 5.495728368017525, 5.629466739967015, 5.638766519823789, 5.6512141280353205, 5.685699499741246, 5.697493517718237, 5.713295198474605, 7.496385044412312, 7.498708544271103, 7.5018087855297155, 9.717546362339515, 9.725870930896631, 9.736992567181247, 11.715185466185808, 11.715550751449893, 11.716037833905, 25.99535950429849, 25.999543924130435, 26.00512524653509]}"
heldout-structural,warm,dense,evaluation_dense_ir_after_materialization,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,conversion_packed_to_uint8,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,serialization_dense_json,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,bigint,preparation_compile_and_lower,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,bigint,evaluation_packed_whole_call,24,24,"{""ok"": 24}","{""underestimates"": 24, ""max_peak_over_estimate"": 9.5, ""median_peak_over_estimate"": 2.552083333333333, ""max_estimate_over_peak"": 0.9815697899213817, ""estimate_over_peak_distribution"": [0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.12149532710280375, 0.12149532710280375, 0.12149532710280375, 0.37412314886983633, 0.37412314886983633, 0.37412314886983633, 0.384, 0.384, 0.384, 0.4, 0.4, 0.4, 0.47841216651630364, 0.47841216651630364, 0.47841216651630364, 0.7233047544816836, 0.7233047544816836, 0.7233047544816836, 0.9815697899213817, 0.9815697899213817, 0.9815697899213817]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.47329012581014107, ""median_peak_over_estimate"": 0.11555268406665224, ""max_estimate_over_peak"": 31.779595015576323, ""estimate_over_peak_distribution"": [2.112868926408042, 2.112868926408042, 2.112868926408042, 2.9310317051166384, 2.9310317051166384, 2.9310317051166384, 3.2514938945180565, 3.2514938945180565, 3.2514938945180565, 5.254611587425305, 5.254611587425305, 5.254611587425305, 24.511999999999997, 24.511999999999997, 24.511999999999997, 26.090909090909093, 26.090909090909093, 26.090909090909093, 27.9233409610984, 27.9233409610984, 27.9233409610984, 31.779595015576323, 31.779595015576323, 31.779595015576323]}"
heldout-structural,cold,bigint,conversion_packed_to_uint8,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,bigint,serialization_dense_json,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,preparation_compile_and_lower,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,evaluation_packed_whole_call,24,24,"{""ok"": 24}","{""underestimates"": 12, ""max_peak_over_estimate"": 4.243589743589744, ""median_peak_over_estimate"": 0.9458782327586207, ""max_estimate_over_peak"": 2.3182794020063233, ""estimate_over_peak_distribution"": [0.23564954682779457, 0.23564954682779457, 0.23564954682779457, 0.2911392405063291, 0.2911392405063291, 0.2911392405063291, 0.6386066763425254, 0.6386066763425254, 0.6386066763425254, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 1.263014630826812, 1.263014630826812, 1.263014630826812, 1.3184382928768887, 1.3184382928768887, 1.3184382928768887, 2.106032906764168, 2.106032906764168, 2.106032906764168, 2.3182794020063233, 2.3182794020063233, 2.3182794020063233]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.25400417731607444, ""median_peak_over_estimate"": 0.03932070365735334, ""max_estimate_over_peak"": 77.23101265822785, ""estimate_over_peak_distribution"": [3.936943126551942, 3.936943126551942, 3.936943126551942, 9.175456504479982, 9.175456504479982, 9.175456504479982, 10.23849486709083, 10.23849486709083, 10.23849486709083, 18.30347349177331, 18.30347349177331, 18.30347349177331, 41.654571843251084, 41.654571843251084, 41.654571843251084, 58.03030303030303, 58.03030303030303, 58.03030303030303, 61.63897280966767, 61.63897280966767, 61.63897280966767, 77.23101265822785, 77.23101265822785, 77.23101265822785]}"
heldout-structural,warm,bigint,conversion_packed_to_uint8,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,serialization_dense_json,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,preparation_compile_and_lower,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,evaluation_packed_whole_call,24,24,"{""ok"": 24}","{""underestimates"": 24, ""max_peak_over_estimate"": 33.66847826086956, ""median_peak_over_estimate"": 5.262373737373737, ""max_estimate_over_peak"": 0.9617527742261368, ""estimate_over_peak_distribution"": [0.029701372074253433, 0.029701372074253433, 0.029701372074253433, 0.0319051027712445, 0.0319051027712445, 0.0319051027712445, 0.11968582471013589, 0.11968582471013589, 0.11968582471013589, 0.13145119127642094, 0.13145119127642094, 0.13145119127642094, 0.342775529635801, 0.342775529635801, 0.342775529635801, 0.4750713902909204, 0.4750713902909204, 0.4750713902909204, 0.5821831869510665, 0.5821831869510665, 0.5821831869510665, 0.9617527742261368, 0.9617527742261368, 0.9617527742261368]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.5295535411724839, ""median_peak_over_estimate"": 0.19642136734105076, ""max_estimate_over_peak"": 8.6160280827545, ""estimate_over_peak_distribution"": [1.8883831798875355, 1.8883831798875355, 1.8883831798875355, 1.9846569114931096, 1.9846569114931096, 1.9846569114931096, 2.8921685313020706, 2.8921685313020706, 2.8921685313020706, 3.734838979506483, 3.734838979506483, 3.734838979506483, 7.994015708764493, 7.994015708764493, 7.994015708764493, 8.290556900726392, 8.290556900726392, 8.290556900726392, 8.524388996829941, 8.524388996829941, 8.524388996829941, 8.6160280827545, 8.6160280827545, 8.6160280827545]}"
heldout-structural,cold,words,conversion_packed_to_uint8,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,serialization_dense_json,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,preparation_compile_and_lower,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,evaluation_packed_whole_call,24,24,"{""ok"": 24}","{""underestimates"": 6, ""max_peak_over_estimate"": 2.9402173913043477, ""median_peak_over_estimate"": 0.20155263573232324, ""max_estimate_over_peak"": 55.753388618816125, ""estimate_over_peak_distribution"": [0.3401109057301294, 0.3401109057301294, 0.3401109057301294, 0.5767097966728281, 0.5767097966728281, 0.5767097966728281, 1.6298811544991512, 1.6298811544991512, 1.6298811544991512, 2.9881154499151106, 2.9881154499151106, 2.9881154499151106, 14.61001902346227, 14.61001902346227, 14.61001902346227, 27.229984526333887, 27.229984526333887, 27.229984526333887, 28.174573055028464, 28.174573055028464, 28.174573055028464, 55.753388618816125, 55.753388618816125, 55.753388618816125]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.01053348909657321, ""median_peak_over_estimate"": 0.00840194007735565, ""max_estimate_over_peak"": 195.85738539898134, ""estimate_over_peak_distribution"": [94.93530499075784, 94.93530499075784, 94.93530499075784, 108.23772135939022, 108.23772135939022, 108.23772135939022, 108.86247877758913, 108.86247877758913, 108.86247877758913, 115.05175865027167, 115.05175865027167, 115.05175865027167, 123.27203551046291, 123.27203551046291, 123.27203551046291, 154.08502772643254, 154.08502772643254, 154.08502772643254, 180.74636306135358, 180.74636306135358, 180.74636306135358, 195.85738539898134, 195.85738539898134, 195.85738539898134]}"
heldout-structural,warm,words,conversion_packed_to_uint8,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,serialization_dense_json,24,0,"{""ok"": 24}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
