corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k16-impeqv_dom-tree-3-01da67660395,3476691762425883568,6eca2c4bc082b0802c1c2ec4897191c392a9aa04049295ebb289b5966f58ca11,,impeqv_dom,16,40,47,39,6081.0,160.0,23,60,41,6,24,60,41,28032.0,37770.0,17151.0,961,241298.0,237055.12285232544,4753.470420837402,16614.794731140137,64104.79545593262,42878.09133529663,35095.0,23874.0,ok,66044.6,26673.6,66603.6,26226.8,33923.0,310537.0,0.40387253462054423,0.39377451068710995,1.2934479234981011,6eca2c4bc082b0802c1c2ec4897191c392a9aa04049295ebb289b5966f58ca11,True,8192,131072,385024,40960,49152,8388608,5,5,01da676603950bf10ac55f06ccb310ec
b2,held_out,b2-k16-impeqv_dom-tree-4-f1d16cc1ccd8,5028277784127778536,b2800e59b7e91c0103d66c14b98bd8f6bd2802fc6614fcd1cba5ce28391b0a8d,,impeqv_dom,16,36,37,36,5300.0,160.0,20,54,35,5,20,54,35,24305.0,29775.0,16019.0,844,188630.0,184744.59648132324,1132.4882507324219,9909.272193908691,56646.764278411865,30115.246772766113,30567.0,16811.0,ok,62033.2,22948.6,62682.4,22065.0,29335.0,247950.0,0.36994061244623844,0.35201268617666204,1.3294810786313165,b2800e59b7e91c0103d66c14b98bd8f6bd2802fc6614fcd1cba5ce28391b0a8d,True,8192,131072,303104,32768,40960,8388608,5,5,f1d16cc1ccd87cd3bdbf93dc2d4cbb76
b2,held_out,b2-k16-impeqv_dom-shared-1-37e51ffa951a,8541885619864290971,3750f3194b5162b24abdb770fe535cd77b4bef4322b4e5dfa973574f347c175c,,impeqv_dom,16,46,75,46,6783.0,160.0,30,77,52,7,39,93,64,33262.0,41457.0,20257.0,1118,293615.0,288747.25103378296,4276.633262634277,16063.451766967773,78782.43923187256,63195.82462310791,41357.0,35135.0,ok,109563.4,39341.0,94238.8,31053.6,39013.0,371399.0,0.35907063855265536,0.32952032496169303,1.2563116675683335,3750f3194b5162b24abdb770fe535cd77b4bef4322b4e5dfa973574f347c175c,True,8192,131072,614400,32768,57344,8388608,5,5,37e51ffa951a5efa0431ecfe2e1e7612
b2,held_out,b2-k16-impeqv_dom-shared-2-c84cd9722277,7728009916220492791,1c30a6291e46f89c84bcae3dadbeef7d015272b03ccf65928a8dfa7f459ee9b9,,impeqv_dom,16,52,105,49,7654.0,161.0,33,80,54,8,58,118,82,38952.0,46216.0,22873.0,1262,317129.0,311955.8095932007,6489.455699920654,16972.42259979248,81032.51457214355,66198.40860366821,44633.0,50533.0,ok,134159.2,51758.0,102838.8,32686.6,40606.0,405864.0,0.38579538339524977,0.3178430709031999,1.2422827703095458,1c30a6291e46f89c84bcae3dadbeef7d015272b03ccf65928a8dfa7f459ee9b9,True,8192,131072,860160,40960,65536,8388608,5,5,c84cd972227722d3994c261dbed9935f
b2,held_out,b2-k16-impeqv_dom-shared-3-dd3d88c4a1c4,4375186941912038214,5d121794535354beda6ba2813e5aba86727dc7c786f7fc871639de7cbca6eb44,,impeqv_dom,16,47,125,42,6702.0,140.0,26,74,49,7,63,185,123,33072.0,51706.0,25938.0,1148,274589.0,269897.2821235657,1057.9824447631836,12457.37075805664,73574.4833946228,58501.9588470459,40846.0,66694.0,ok,221240.6,71448.6,95068.6,28891.6,37049.0,349759.0,0.32294524603531183,0.30390265555609314,1.2823450414653395,5d121794535354beda6ba2813e5aba86727dc7c786f7fc871639de7cbca6eb44,True,8192,131072,1024000,49152,57344,8388608,5,5,dd3d88c4a1c4c77c937babcfe278be7c
b2,held_out,b2-k16-impeqv_dom-shared-4-750f3169f2d6,1888028651262616953,516f91b25b608fbd7314967bd76f9d270ad918c97cc184abb9d442d58cab63a2,,impeqv_dom,16,40,83,39,5961.0,150.0,23,67,44,6,44,124,81,28082.0,35456.0,18244.0,969,232522.0,228442.2516822815,1080.334186553955,10997.05696105957,62845.64733505249,53547.32275009155,34254.0,36148.0,ok,145590.4,44707.0,87386.2,25872.0,33523.0,298584.0,0.30707381805393763,0.2960650537499056,1.2957251082251082,516f91b25b608fbd7314967bd76f9d270ad918c97cc184abb9d442d58cab63a2,True,8192,131072,679936,32768,49152,8388608,5,5,750f3169f2d63d844b1f4544bdd21e36
b2,held_out,b2-k16-mixed-tree-1-d1b5689114e3,2031832896383559571,cfd9c47fbac4cfe26ed662ae3188f5f7e58968533c6a4898b9d815378ce18e20,,mixed,16,32,32,29,4027.0,151.0,13,25,20,6,16,25,20,23263.0,24455.0,14457.0,752,193008.0,189252.19774246216,9872.019290924072,12896.955013275146,49337.74471282959,28863.54923248291,28663.0,18335.0,ok,24571.6,17418.2,24952.4,16648.8,24505.0,241889.0,0.708875286916603,0.6672223914332889,1.4718778530584788,cfd9c47fbac4cfe26ed662ae3188f5f7e58968533c6a4898b9d815378ce18e20,True,8192,131072,262144,40960,49152,8388608,5,5,d1b5689114e3546f3a1d158264d1cd1a
b2,held_out,b2-k16-mixed-tree-2-9cf5c64922ce,7206917432231053046,c4c0eb0b91911ee77095e3f1861624778ca5fc74b348b68586b378949000912b,,mixed,16,32,33,32,4528.0,171.0,16,26,21,5,16,26,21,25627.0,27842.0,14517.0,759,192738.0,189132.98845291138,8046.627044677734,13001.26314163208,48987.56742477417,30152.499675750732,27901.0,15408.0,ok,20115.4,17967.4,21365.6,18001.4,25547.0,247770.0,0.8932161428557225,0.8425412813120157,1.4191673980912594,c4c0eb0b91911ee77095e3f1861624778ca5fc74b348b68586b378949000912b,True,8192,131072,270336,40960,40960,8388608,5,5,9cf5c64922ce0571249969b7df68a600
b2,held_out,b2-k16-mixed-tree-3-813773e1451b,8471364858595781130,a95812dc6dbc063bb8164d6abbc45375d73fcfc19d0625b01d15b5c6e8414b8e,,mixed,16,40,48,40,6242.0,171.0,24,53,38,6,24,53,38,30366.0,35436.0,17853.0,966,244644.0,240243.97134780884,7547.438144683838,15020.370483398438,63687.56294250488,41544.437408447266,35375.0,23173.0,ok,60061.6,26671.4,61614.4,26359.0,34063.0,320204.0,0.44406742411124583,0.427805837596406,1.2922720892294852,a95812dc6dbc063bb8164d6abbc45375d73fcfc19d0625b01d15b5c6e8414b8e,True,8192,131072,393216,40960,49152,8388608,5,5,813773e1451bbd6a2f98e96ceefda0d9
b2,held_out,b2-k16-mixed-tree-4-8eb11693eacf,7546548295398555270,4d6d9f055df5a6ee20cb816584dc2ae46a7f5e44347816ed8de2c611a8529f3b,,mixed,16,37,43,36,5661.0,160.0,20,43,32,5,21,43,32,41166.0,33131.0,16952.0,893,236078.0,231735.40830612183,8657.574653625488,17501.413822174072,58315.6943321228,40307.64102935791,32540.0,20769.0,ok,41296.6,23533.8,41889.8,23217.2,31639.0,298514.0,0.5698725803092749,0.5542447087357781,1.3627396929862343,4d6d9f055df5a6ee20cb816584dc2ae46a7f5e44347816ed8de2c611a8529f3b,True,8192,131072,352256,32768,40960,8388608,5,5,8eb11693eacf1038682e614ce5d178ae
