corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k10-andor_dom-shared-1-071d6b8e4bb7,10,10,andor_dom,shared,flat,17,17,53,31,33,62,28,30,57,6380.0,18788.0,6810.0,10562.0,0.9368575624082232,2.758883994126285,0.6040522628290097,1.7788297670895663,0.6447642491952281,6172.0,26508.0,6748.0,28274.0,10174.0,61048.0,2023bed7c6d67a4c9d4c5e68fc10a864e8a221cce3a504eeb9a5a1df50f2397f,2023bed7c6d67a4c9d4c5e68fc10a864e8a221cce3a504eeb9a5a1df50f2397f,True,25,24
b2,b2-k10-andor_dom-shared-2-16ca12c11ee1,10,10,andor_dom,shared,flat,14,14,42,27,27,47,24,24,43,5836.0,18094.0,6236.0,8906.0,0.935856318152662,2.901539448364336,0.6552885695037054,2.031664046710083,0.7002021109364474,5762.0,24152.0,6212.0,24344.0,8544.0,50406.0,d25214afe652c886762108a089e935eff46230b85de72818e00ca84571629e82,d25214afe652c886762108a089e935eff46230b85de72818e00ca84571629e82,True,25,24
b2,b2-k10-andor_dom-shared-3-22432c1ba51e,10,10,andor_dom,shared,flat,9,10,25,18,19,27,17,18,25,4220.0,16438.0,4774.0,5472.0,0.8839547549224969,3.443234185169669,0.7711988304093568,3.0040204678362574,0.8724415204678363,3818.0,16676.0,4392.0,17796.0,4848.0,27734.0,61292e14dd3f798c3df8a836c0490e4eb6288368a970d63c20944478da823ce4,61292e14dd3f798c3df8a836c0490e4eb6288368a970d63c20944478da823ce4,True,25,24
b2,b2-k10-andor_dom-shared-4-7f3eabfd2bc0,10,10,andor_dom,shared,flat,15,15,28,30,31,35,25,26,30,5888.0,17694.0,6286.0,6268.0,0.936684696150175,2.814826598790964,0.9393746011486918,2.822910019144863,1.0028717294192726,5638.0,23616.0,6168.0,24790.0,5940.0,31892.0,ef41308852853f4cc52229ddade54e424af29dd99a564d4718ea4177daccf4d1,ef41308852853f4cc52229ddade54e424af29dd99a564d4718ea4177daccf4d1,True,25,24
b2,b2-k10-impeqv_dom-tree-1-d65cd8c37d53,10,10,impeqv_dom,tree,flat,17,17,17,44,44,44,29,29,29,6912.0,18818.0,7334.0,6702.0,0.942459776383965,2.5658576493046086,1.0313339301700986,2.807818561623396,1.0943002088928677,6784.0,23664.0,7188.0,23740.0,6382.0,23584.0,6a277e9b6f1a2c9d5406a1ad99b4f6882da9542b22cd8fbe9d99c3005a604450,6a277e9b6f1a2c9d5406a1ad99b4f6882da9542b22cd8fbe9d99c3005a604450,True,25,24
b2,b2-k10-impeqv_dom-tree-2-c28e8c343d74,10,10,impeqv_dom,tree,flat,9,9,9,23,23,23,16,16,16,4604.0,16764.0,4948.0,4386.0,0.9304769603880356,3.3880355699272435,1.049703602371181,3.8221614227086183,1.1281349749202005,4490.0,15338.0,4966.0,15250.0,4236.0,15212.0,7f49ad0ac1c2e262607d04e82a59052fca7b1a050532196ae13874ad77ddf3d1,7f49ad0ac1c2e262607d04e82a59052fca7b1a050532196ae13874ad77ddf3d1,True,25,24
b2,b2-k10-impeqv_dom-tree-3-4537a75ce604,10,10,impeqv_dom,tree,flat,14,14,14,35,35,35,24,24,24,6448.0,19366.0,6814.0,6152.0,0.9462870560610508,2.8420898150865863,1.048114434330299,3.147919375812744,1.1076072821846554,6216.0,21760.0,6646.0,21688.0,5872.0,21448.0,56d24a658c7cbe708adf0414be52f24ddc0aa1f015579185dc0cd48a1f240882,56d24a658c7cbe708adf0414be52f24ddc0aa1f015579185dc0cd48a1f240882,True,25,24
b2,b2-k10-impeqv_dom-tree-4-146866abdaef,10,10,impeqv_dom,tree,flat,11,11,11,27,27,27,18,18,18,5348.0,17538.0,5620.0,5098.0,0.9516014234875445,3.1206405693950177,1.0490388387602982,3.4401726167124362,1.1023930953315026,5156.0,16540.0,5566.0,17052.0,4888.0,16730.0,5314217abb5a6447b09852854165d1b704f2905cddd68cebeadfdaf9cceb96dd,5314217abb5a6447b09852854165d1b704f2905cddd68cebeadfdaf9cceb96dd,True,25,24
b2,b2-k10-impeqv_dom-shared-1-a2d9511bd8a2,10,10,impeqv_dom,shared,flat,24,26,30,68,74,86,46,50,58,10572.0,23180.0,11668.0,12544.0,0.906067877956805,1.9866300994172095,0.8427933673469388,1.8478954081632653,0.9301658163265306,10042.0,35620.0,11182.0,39086.0,11512.0,43926.0,3b07de64b0c63311c34ee1d14d51cd0dbff4fa063cc3cc72eda1bc51bd02dfc6,3b07de64b0c63311c34ee1d14d51cd0dbff4fa063cc3cc72eda1bc51bd02dfc6,True,25,24
b2,b2-k10-impeqv_dom-shared-2-e0619ddaeb12,10,10,impeqv_dom,shared,flat,22,22,28,61,61,79,40,40,52,8980.0,20672.0,9396.0,10830.0,0.955725840783312,2.200085142613878,0.8291782086795937,1.9087719298245613,0.867590027700831,8800.0,30284.0,9278.0,30620.0,10518.0,39254.0,f834dbdf22fd8cf1b2092bb052117469798775d42c4cc697442cc22ba86df612,f834dbdf22fd8cf1b2092bb052117469798775d42c4cc697442cc22ba86df612,True,25,24
b2,b2-k10-impeqv_dom-shared-3-456d3bc52660,10,10,impeqv_dom,shared,flat,20,25,51,51,64,114,35,44,82,8240.0,20336.0,10436.0,16116.0,0.7895745496358758,1.9486393254120353,0.5112931248448747,1.2618515760734674,0.6475552246214942,8390.0,29018.0,10660.0,35948.0,16150.0,71146.0,e90aaf1e4409cd954c1689522f626be0c05bd03a907bba5e153335cd2fa656c5,e90aaf1e4409cd954c1689522f626be0c05bd03a907bba5e153335cd2fa656c5,True,25,24
b2,b2-k10-impeqv_dom-shared-4-2386e2077320,10,10,impeqv_dom,shared,flat,22,22,43,56,56,105,38,38,71,8962.0,21140.0,9298.0,15128.0,0.9638631963863197,2.273607227360723,0.5924114225277631,1.3974087784241143,0.6146218931782126,8722.0,30096.0,9218.0,30360.0,14702.0,55768.0,650e7da2e8455d8ed3c88f0b1bd75c14a36dcec3d79f9bf1ab2e401e20537b2b,650e7da2e8455d8ed3c88f0b1bd75c14a36dcec3d79f9bf1ab2e401e20537b2b,True,25,24
b2,b2-k10-mixed-tree-1-f431ce588c32,10,10,mixed,tree,flat,7,7,10,14,14,14,12,12,12,3514.0,15818.0,3808.0,3396.0,0.9227941176470589,4.153886554621849,1.0347467608951708,4.657832744405183,1.121319199057715,3392.0,12778.0,3782.0,12814.0,3190.0,13810.0,4745731af5e9243209198887508a49500828d5e3b5b95a785cd4015c2c9746c2,4745731af5e9243209198887508a49500828d5e3b5b95a785cd4015c2c9746c2,True,25,24
b2,b2-k10-mixed-tree-2-82994a7af72e,10,10,mixed,tree,flat,12,12,13,26,26,26,19,19,19,5256.0,17240.0,5558.0,4924.0,0.9456639078805326,3.1018351925152934,1.0674248578391552,3.5012185215272136,1.128757108042242,5096.0,18034.0,5516.0,18056.0,4696.0,18064.0,999e6cb468a0387d197bfc65cc9bfd4b994d448c970bc3da29f6bd6f9fffd95e,999e6cb468a0387d197bfc65cc9bfd4b994d448c970bc3da29f6bd6f9fffd95e,True,25,24
b2,b2-k10-mixed-tree-3-961dbd1e0dd8,10,10,mixed,tree,flat,10,10,12,15,15,15,13,13,13,4178.0,16040.0,4444.0,3614.0,0.9401440144014401,3.6093609360936094,1.1560597675705588,4.438295517432208,1.2296624239070282,4076.0,14692.0,4440.0,14654.0,3438.0,15280.0,c764aed964b41ffe8a6d6671bb0382489e45362d47d9f79f5f06116a50ae4f44,c764aed964b41ffe8a6d6671bb0382489e45362d47d9f79f5f06116a50ae4f44,True,25,24
b2,b2-k10-mixed-tree-4-a46b1cdc2617,10,10,mixed,tree,flat,9,9,9,15,15,15,12,12,12,4044.0,15968.0,4342.0,3474.0,0.9313680331644404,3.6775679410409947,1.1640759930915372,4.596430627518711,1.2498560736902706,3930.0,13380.0,4292.0,13354.0,3306.0,13134.0,2482721c239c03e6563c0d339ad648261c9bde5695c190c7e3fc844e703949e8,2482721c239c03e6563c0d339ad648261c9bde5695c190c7e3fc844e703949e8,True,25,24
b2,b2-k10-mixed-shared-1-ed6b5cd37350,10,10,mixed,shared,flat,18,18,30,38,38,51,29,29,39,7444.0,19880.0,7726.0,8520.0,0.9634998705669169,2.573129691949262,0.8737089201877934,2.3333333333333335,0.9068075117370892,7164.0,27042.0,7550.0,27226.0,8106.0,38806.0,6d93321deb38f1132aad525ae54ba3a0281a6927f26d0ef1270e7b1a966ce072,6d93321deb38f1132aad525ae54ba3a0281a6927f26d0ef1270e7b1a966ce072,True,25,24
