n_vars,trial,expr_style,partial_output_mode,partial_reference_arrays_available_count,partial_reference_source,partial_correctness_reference,partial_context_count,partial_fixed_var_count_median,partial_fixed_var_fraction_median,partial_context_style,partial_unique_contexts,partial_repeated_contexts,partial_remaining_var_count_median,partial_context_overlap_ratio,partial_bitset_baseline_kind,partial_bitset_restricted_baseline_kinds,partial_bitset_full_recompute_total_s,partial_bitset_full_recompute_per_context_median_s,partial_bitset_ok_rate,partial_bitset_restricted_total_s,partial_bitset_restricted_per_context_median_s,partial_bitset_restricted_ok_rate,partial_cm_no_cache_total_s,partial_cm_no_cache_compile_total_s,partial_cm_no_cache_eval_total_s,partial_cm_no_cache_per_context_median_s,partial_cm_no_cache_live_vars_median,partial_cm_no_cache_live_vars_max,partial_cm_no_cache_ok_rate,partial_cm_cache_compile_once_s,partial_cm_cache_eval_contexts_total_s,partial_cm_cache_total_s,partial_cm_cache_per_context_median_s,partial_cm_cache_live_vars_median,partial_cm_cache_live_vars_max,partial_cm_cache_persistent_hits_total,partial_cm_cache_persistent_misses_total,partial_cm_cache_ok_rate,partial_robdd_backend,partial_robdd_build_once_s,partial_robdd_restrict_contexts_total_s,partial_robdd_total_s,partial_robdd_restrict_per_context_median_s,partial_robdd_nodes_base,partial_robdd_restricted_nodes_median,partial_robdd_ok_rate,partial_robdd_status,partial_robdd_error,partial_robdd_extract_total_s,partial_robdd_build_restrict_extract_total_s,speedup_cm_cache_vs_cm_no_cache,ratio_cm_cache_over_bitset_full_recompute,ratio_cm_cache_over_bitset_restricted,ratio_cm_cache_over_robdd_restrict,expr_depth_actual,expr_node_count,expr_leaf_count,expr_op_count,expr_unique_var_count,expr_vars_used,expr_vars_used_count,expr_vars_used_list,expr_uses_all_vars,expr_const_count,expr_not_count,expr_and_count,expr_or_count,expr_xor_count,expr_imp_count,expr_eqv_count,expr_simplified_const_if_available,expr_structural_hash_if_available,tt_true_count,tt_false_count,tt_density,tt_is_constant,tt_is_balancedish,expr_regeneration_attempts,expr_filter_reason
8,0,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,4.0,0.5,sliding_window,8,17,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.00020889996085315943,7.299997378140688e-06,1.0,0.0006362000131048262,8.700008038431406e-06,1.0,0.009732200007420033,0.007833199866581708,0.0013957999763078988,0.0003543999628163874,4.0,4.0,1.0,0.0004678000113926828,0.0010162999969907105,0.0018721000524237752,4.0199956856667995e-05,4.0,4.0,8,24,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.198546944550278,8.961706095003613,2.942628126157097,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,3,3,5,2,2,False,f06ef7ee67dd637120e53ce80c43b6b9,118,138,0.4609375,False,True,0,
8,1,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,4.0,0.5,sliding_window,8,17,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.00022279995027929544,8.300004992634058e-06,1.0,0.000658300006762147,9.7999582067132e-06,1.0,0.01075810001930222,0.008681599865667522,0.0014995999517850578,0.0003836999530903995,4.0,4.0,1.0,0.0004453000146895647,0.001063500065356493,0.0019532000296749175,4.060001811012626e-05,4.0,4.0,8,26,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.507935621469733,8.76660891183523,2.967036320236035,,6,34,16,18,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,3,2,5,3,4,1,True,59f2a4636c86aa6c187a1ef626841181,256,0,1.0,True,False,0,
8,2,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,4.0,0.5,sliding_window,8,17,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.00018850003834813833,6.999995093792677e-06,1.0,0.0005172999808564782,8.500006515532732e-06,1.0,0.010412899951916188,0.008340600004885346,0.0015304000698961318,0.0003600000054575503,4.0,4.0,1.0,0.000424400030169636,0.0009820000850595534,0.0017733999993652105,3.840000135824084e-05,4.0,4.0,8,23,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.871715324034899,9.407955642374674,3.4281849313604167,,5,31,16,15,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,0,3,5,4,1,2,False,831e90df7a4bda3cf23e6e06aefef697,92,164,0.359375,False,True,0,
12,0,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,6.0,0.5,sliding_window,12,13,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.0003627000260166824,1.2300035450607538e-05,1.0,0.0007903999648988247,1.0399962775409222e-05,1.0,0.011350899992976338,0.009318199998233467,0.0014541999553330243,0.0004059000057168305,6.0,6.0,1.0,0.00046420004218816757,0.0011165000614710152,0.002030000032391399,4.280003486201167e-05,6.0,6.0,4,27,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.591576261998699,5.596911736361522,2.568319993095204,,5,31,16,15,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,0,1,4,6,2,2,False,a2c6cbf85e656c364478a127eb492c58,2048,2048,0.5,False,True,0,
12,1,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,6.0,0.5,sliding_window,12,13,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.0003969999961555004,1.3699987903237343e-05,1.0,0.0007051000138744712,1.0800024028867483e-05,1.0,0.010945799993351102,0.008800100011285394,0.0015326000284403563,0.0003866000333800912,6.0,6.0,1.0,0.0004561999812722206,0.001112600148189813,0.0019998999778181314,4.239997360855341e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.473173716063964,5.037531479055212,2.8363351843220546,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,3,5,2,3,2,False,5f549d07f24eec4bed82d1a1b6fb25e0,924,3172,0.2255859375,False,False,0,
12,2,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,6.0,0.5,sliding_window,12,13,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.000348100031260401,1.2499978765845299e-05,1.0,0.0006420999998226762,1.0300020221620798e-05,1.0,0.010995400021784008,0.008857899985741824,0.0015364999417215586,0.00039950001519173384,6.0,6.0,1.0,0.00045810005394741893,0.0010852997656911612,0.0019610000890679657,4.2899977415800095e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.607036982344024,5.63343841701931,3.054041566126024,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,4,2,5,2,2,False,433c915aecfbd4b06b0d7fb62b308a74,3968,128,0.96875,False,False,0,
16,0,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,8.0,0.5,sliding_window,16,9,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.0016370000084862113,6.19000056758523e-05,1.0,0.0010632999474182725,1.0800024028867483e-05,1.0,0.010551299958024174,0.008467099803965539,0.0015201001660898328,0.00036780000664293766,8.0,8.0,1.0,0.00048020004760473967,0.00132719986140728,0.0023882000823505223,4.800001624971628e-05,8.0,8.0,0,31,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,4.418097141860634,1.458888252883377,2.2460267097249007,,5,31,16,15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,0,2,4,2,5,2,False,43e65bddd707f35b8e2c335392fb1d68,62896,2640,0.959716796875,False,False,0,
16,1,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,8.0,0.5,sliding_window,16,9,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.0017146000172942877,6.419996498152614e-05,1.0,0.0006947999936528504,1.0899966582655907e-05,1.0,0.010807300044689327,0.008687599969562143,0.0015356001094914973,0.00040310004260390997,8.0,8.0,1.0,0.00045330001739785075,0.0011692999978549778,0.002093500050250441,4.439998883754015e-05,8.0,8.0,0,33,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.162311815276276,1.220984503169476,3.0130973940342844,,6,33,16,17,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,2,4,3,2,3,3,False,24f2559d8f320a7c270770a12d7346fa,22560,42976,0.34423828125,False,True,0,
16,2,mixed_no_constants,remaining-vars,25,eval_expr_tt,eval_expr_tt,25,8.0,0.5,sliding_window,16,9,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.001706700015347451,5.690002581104636e-05,1.0,0.000730200030375272,1.1599971912801266e-05,1.0,0.013589399983175099,0.011354700080119073,0.0016374000115320086,0.0004287000047042966,8.0,8.0,1.0,0.0004884999943897128,0.001124599832110107,0.002039999992121011,4.3899985030293465e-05,8.0,8.0,0,35,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.661470605716055,1.1952891391435927,2.7937550085729153,,6,35,16,19,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,4,6,4,1,0,4,False,fc19066c4898b9a5b5747ba2e04e85eb,51424,14112,0.78466796875,False,False,0,
