n_vars,trial,expr_style,partial_output_mode,partial_reference_arrays_available_count,partial_reference_source,partial_correctness_reference,partial_context_count,partial_fixed_var_count_median,partial_fixed_var_fraction_median,partial_context_style,partial_unique_contexts,partial_repeated_contexts,partial_remaining_var_count_median,partial_context_overlap_ratio,partial_bitset_baseline_kind,partial_bitset_restricted_baseline_kinds,partial_bitset_full_recompute_total_s,partial_bitset_full_recompute_per_context_median_s,partial_bitset_ok_rate,partial_bitset_restricted_total_s,partial_bitset_restricted_per_context_median_s,partial_bitset_restricted_ok_rate,partial_cm_no_cache_total_s,partial_cm_no_cache_compile_total_s,partial_cm_no_cache_eval_total_s,partial_cm_no_cache_per_context_median_s,partial_cm_no_cache_live_vars_median,partial_cm_no_cache_live_vars_max,partial_cm_no_cache_ok_rate,partial_cm_cache_compile_once_s,partial_cm_cache_eval_contexts_total_s,partial_cm_cache_total_s,partial_cm_cache_per_context_median_s,partial_cm_cache_live_vars_median,partial_cm_cache_live_vars_max,partial_cm_cache_persistent_hits_total,partial_cm_cache_persistent_misses_total,partial_cm_cache_ok_rate,partial_robdd_backend,partial_robdd_build_once_s,partial_robdd_restrict_contexts_total_s,partial_robdd_total_s,partial_robdd_restrict_per_context_median_s,partial_robdd_nodes_base,partial_robdd_restricted_nodes_median,partial_robdd_ok_rate,partial_robdd_status,partial_robdd_error,partial_robdd_extract_total_s,partial_robdd_build_restrict_extract_total_s,speedup_cm_cache_vs_cm_no_cache,ratio_cm_cache_over_bitset_full_recompute,ratio_cm_cache_over_bitset_restricted,ratio_cm_cache_over_robdd_restrict,expr_depth_actual,expr_node_count,expr_leaf_count,expr_op_count,expr_unique_var_count,expr_vars_used,expr_vars_used_count,expr_vars_used_list,expr_uses_all_vars,expr_const_count,expr_not_count,expr_and_count,expr_or_count,expr_xor_count,expr_imp_count,expr_eqv_count,expr_simplified_const_if_available,expr_structural_hash_if_available,tt_true_count,tt_false_count,tt_density,tt_is_constant,tt_is_balancedish,expr_regeneration_attempts,expr_filter_reason
8,0,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,4.0,0.5,sliding_window,8,492,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.004353899974375963,8.100003469735384e-06,1.0,0.0110082000028342,9.200011845678091e-06,1.0,0.20064599998295307,0.16305770009057596,0.027189899934455752,0.00036590005038306117,4.0,4.0,1.0,0.0005495999939739704,0.022010599786881357,0.03048989997478202,4.1300023440271616e-05,4.0,4.0,8,24,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.580736576666567,7.002893992564008,2.7697443693730137,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,3,3,5,2,2,False,f06ef7ee67dd637120e53ce80c43b6b9,118,138,0.4609375,False,True,0,
8,1,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,4.0,0.5,sliding_window,8,492,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.004841800022404641,8.100003469735384e-06,1.0,0.010310199984814972,9.100011084228754e-06,1.0,0.20745570003055036,0.16808119940105826,0.028772400110028684,0.0003713500336743891,4.0,4.0,1.0,0.00048399996012449265,0.02223359962226823,0.030305799969937652,3.99000127799809e-05,4.0,4.0,8,26,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.845412437102453,6.25920108837674,2.9393998190697097,,6,34,16,18,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,3,2,5,3,4,1,True,59f2a4636c86aa6c187a1ef626841181,256,0,1.0,True,False,0,
8,2,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,4.0,0.5,sliding_window,8,492,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.004533900006208569,7.499998901039362e-06,1.0,0.05818160000490025,7.90000194683671e-06,1.0,0.1997014000080526,0.1613143995637074,0.027895599603652954,0.0003583999932743609,4.0,4.0,1.0,0.0005317000322975218,0.02132259967038408,0.029701200022827834,3.850000211969018e-05,4.0,4.0,8,23,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.723681193169485,6.550916425628271,0.5104912896916947,,5,31,16,15,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,0,3,5,4,1,2,False,831e90df7a4bda3cf23e6e06aefef697,92,164,0.359375,False,True,0,
12,0,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,6.0,0.5,sliding_window,12,488,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.006897000013850629,1.1700030881911516e-05,1.0,0.01110020000487566,9.299954399466515e-06,1.0,0.22039510001195595,0.1791756001766771,0.029186199535615742,0.00040084999636746943,6.0,6.0,1.0,0.0005110999918542802,0.02263699989998713,0.03172819997416809,4.18000272475183e-05,6.0,6.0,4,27,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.946347419374353,4.60028996816749,2.8583448911039238,,5,31,16,15,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,0,1,4,6,2,2,False,a2c6cbf85e656c364478a127eb492c58,2048,2048,0.5,False,True,0,
12,1,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,6.0,0.5,sliding_window,12,488,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.007678300025872886,1.3999990187585354e-05,1.0,0.012100399995688349,1.0199961252510548e-05,1.0,0.21080569998594,0.1698394999257289,0.0294966003857553,0.0003803500148933381,6.0,6.0,1.0,0.0005359000060707331,0.023854299681261182,0.03318530000979081,4.4199987314641476e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.35238192584503,4.321959274575003,2.742496117617227,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,3,5,2,3,2,False,5f549d07f24eec4bed82d1a1b6fb25e0,924,3172,0.2255859375,False,False,0,
12,2,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,6.0,0.5,sliding_window,12,488,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.00742430001264438,1.3299984857439995e-05,1.0,0.011620000004768372,1.0100018698722124e-05,1.0,0.22671269997954369,0.18446390080498531,0.030657000024802983,0.0004236999957356602,6.0,6.0,1.0,0.0005392000311985612,0.023705400060862303,0.03280679997988045,4.39999857917428e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.910539891686499,4.4188408232435314,2.823304644270042,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,4,2,5,2,2,False,433c915aecfbd4b06b0d7fb62b308a74,3968,128,0.96875,False,False,0,
16,0,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,8.0,0.5,sliding_window,16,484,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.03398100001504645,6.464999751187861e-05,1.0,0.012071300006937236,1.0200019460171461e-05,1.0,0.20049690001178533,0.15971110097598284,0.02968229993712157,0.00037239998346194625,8.0,8.0,1.0,0.00044710002839565277,0.022744399961084127,0.03163099999073893,4.339998122304678e-05,8.0,8.0,0,31,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.338620343033345,0.9308437060926117,2.62034743338008,,5,31,16,15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,0,2,4,2,5,2,False,43e65bddd707f35b8e2c335392fb1d68,62896,2640,0.959716796875,False,False,0,
16,1,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,8.0,0.5,sliding_window,16,484,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.034963600046467036,6.269995355978608e-05,1.0,0.012662199966143817,9.800016414374113e-06,1.0,0.21728859998984262,0.17448679899098352,0.030990901228506118,0.00039865000871941447,8.0,8.0,1.0,0.000493600033223629,0.02392349939327687,0.03323790000285953,4.499999340623617e-05,8.0,8.0,0,33,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.5373745023346475,0.9506429532052184,2.6249703915378855,,6,33,16,17,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,2,4,3,2,3,3,False,24f2559d8f320a7c270770a12d7346fa,22560,42976,0.34423828125,False,True,0,
16,2,mixed_no_constants,remaining-vars,500,eval_expr_tt,eval_expr_tt,500,8.0,0.5,sliding_window,16,484,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.027908199990633875,5.3099996875971556e-05,1.0,0.011098299990408123,9.90001717582345e-06,1.0,0.23054909997154027,0.18794849986443296,0.031214399612508714,0.0004320500011090189,8.0,8.0,1.0,0.0005116999964229763,0.023281299974769354,0.032335099996998906,4.3300038669258356e-05,8.0,8.0,0,35,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,7.129994958819922,1.1586236306121755,2.913518288832075,,6,35,16,19,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,4,6,4,1,0,4,False,fc19066c4898b9a5b5747ba2e04e85eb,51424,14112,0.78466796875,False,False,0,
