n_vars,trial,expr_style,partial_output_mode,partial_reference_arrays_available_count,partial_reference_source,partial_correctness_reference,partial_context_count,partial_fixed_var_count_median,partial_fixed_var_fraction_median,partial_context_style,partial_unique_contexts,partial_repeated_contexts,partial_remaining_var_count_median,partial_context_overlap_ratio,partial_bitset_baseline_kind,partial_bitset_restricted_baseline_kinds,partial_bitset_full_recompute_total_s,partial_bitset_full_recompute_per_context_median_s,partial_bitset_ok_rate,partial_bitset_restricted_total_s,partial_bitset_restricted_per_context_median_s,partial_bitset_restricted_ok_rate,partial_cm_no_cache_total_s,partial_cm_no_cache_compile_total_s,partial_cm_no_cache_eval_total_s,partial_cm_no_cache_per_context_median_s,partial_cm_no_cache_live_vars_median,partial_cm_no_cache_live_vars_max,partial_cm_no_cache_ok_rate,partial_cm_cache_compile_once_s,partial_cm_cache_eval_contexts_total_s,partial_cm_cache_total_s,partial_cm_cache_per_context_median_s,partial_cm_cache_live_vars_median,partial_cm_cache_live_vars_max,partial_cm_cache_persistent_hits_total,partial_cm_cache_persistent_misses_total,partial_cm_cache_ok_rate,partial_robdd_backend,partial_robdd_build_once_s,partial_robdd_restrict_contexts_total_s,partial_robdd_total_s,partial_robdd_restrict_per_context_median_s,partial_robdd_nodes_base,partial_robdd_restricted_nodes_median,partial_robdd_ok_rate,partial_robdd_status,partial_robdd_error,partial_robdd_extract_total_s,partial_robdd_build_restrict_extract_total_s,speedup_cm_cache_vs_cm_no_cache,ratio_cm_cache_over_bitset_full_recompute,ratio_cm_cache_over_bitset_restricted,ratio_cm_cache_over_robdd_restrict,expr_depth_actual,expr_node_count,expr_leaf_count,expr_op_count,expr_unique_var_count,expr_vars_used,expr_vars_used_count,expr_vars_used_list,expr_uses_all_vars,expr_const_count,expr_not_count,expr_and_count,expr_or_count,expr_xor_count,expr_imp_count,expr_eqv_count,expr_simplified_const_if_available,expr_structural_hash_if_available,tt_true_count,tt_false_count,tt_density,tt_is_constant,tt_is_balancedish,expr_regeneration_attempts,expr_filter_reason
8,0,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,4.0,0.5,sliding_window,8,92,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.0008209000225178897,7.499998901039362e-06,1.0,0.0021893999655731022,8.800008799880743e-06,1.0,0.04977039998630062,0.04017530026612803,0.006920099898707122,0.0004400000034365803,4.0,4.0,1.0,0.000589100003708154,0.004832100297790021,0.007242400024551898,4.6600005589425564e-05,4.0,4.0,8,24,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.872086575938619,8.822511665108483,3.3079383111509784,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,3,3,5,2,2,False,f06ef7ee67dd637120e53ce80c43b6b9,118,138,0.4609375,False,True,0,
8,1,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,4.0,0.5,sliding_window,8,92,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.0011449999874457717,9.90001717582345e-06,1.0,0.004192200023680925,1.5700003132224083e-05,1.0,0.0529802999808453,0.0421413000440225,0.007910400279797614,0.0004535000189207494,4.0,4.0,1.0,0.0005157999694347382,0.004891699820291251,0.007045699981972575,4.379998426884413e-05,4.0,4.0,8,26,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,7.519522562187281,6.153449833383746,1.6806688474244507,,6,34,16,18,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,3,2,5,3,4,1,True,59f2a4636c86aa6c187a1ef626841181,256,0,1.0,True,False,0,
8,2,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,4.0,0.5,sliding_window,8,92,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.0008503999561071396,7.499998901039362e-06,1.0,0.0022067000390961766,9.300012607127428e-06,1.0,0.04598999995505437,0.037360599962994456,0.006183399760629982,0.00038664997555315495,4.0,4.0,1.0,0.0006123999482952058,0.0056865999940782785,0.008523299940861762,5.49999822396785e-05,4.0,4.0,8,23,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.3957974345796025,10.022695650031212,3.86246421799709,,5,31,16,15,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,0,3,5,4,1,2,False,831e90df7a4bda3cf23e6e06aefef697,92,164,0.359375,False,True,0,
12,0,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,6.0,0.5,sliding_window,12,88,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.0016432999982498586,1.2200005585327744e-05,1.0,0.0024796000216156244,9.800016414374113e-06,1.0,0.04423610004596412,0.03606319980463013,0.005799899983685464,0.0004089499998372048,6.0,6.0,1.0,0.00047910003922879696,0.005279199918732047,0.007792900025378913,5.33499987795949e-05,6.0,6.0,4,27,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,5.6764618950457075,4.742226029135568,3.1428052740140404,,5,31,16,15,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,0,1,4,6,2,2,False,a2c6cbf85e656c364478a127eb492c58,2048,2048,0.5,False,True,0,
12,1,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,6.0,0.5,sliding_window,12,88,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.0015755000058561563,1.4200049918144941e-05,1.0,0.003282100020442158,1.090002479031682e-05,1.0,0.046053199970629066,0.03706130007049069,0.0065047998214140534,0.00042655004654079676,6.0,6.0,1.0,0.00047369999811053276,0.004503299773205072,0.006607200019061565,4.1449995478615165e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.970153747089088,4.193716277056494,2.0131013612959476,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,3,5,2,3,2,False,5f549d07f24eec4bed82d1a1b6fb25e0,924,3172,0.2255859375,False,False,0,
12,2,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,6.0,0.5,sliding_window,12,88,6.0,0.7142857142857143,raw_ast_recursive,raw_ast_recursive,0.001399700006004423,1.3299984857439995e-05,1.0,0.0023706000065431,1.0000017937272787e-05,1.0,0.04425989999435842,0.03601059992797673,0.0060124999727122486,0.00040669998270459473,6.0,6.0,1.0,0.0004875999875366688,0.0046498001902364194,0.006723900034558028,4.2150000808760524e-05,6.0,6.0,4,29,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.582474422118278,4.803815107318633,2.8363705458531054,,6,33,16,17,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,12,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11,True,0,2,4,2,5,2,2,False,433c915aecfbd4b06b0d7fb62b308a74,3968,128,0.96875,False,False,0,
16,0,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,8.0,0.5,sliding_window,16,84,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.007087100006174296,6.349995965138078e-05,1.0,0.0028179999790154397,9.90001717582345e-06,1.0,0.04030719998991117,0.032067300460767,0.00604289973853156,0.00036815000930801034,8.0,8.0,1.0,0.0004485000390559435,0.004484199918806553,0.0065697000827640295,4.409998655319214e-05,8.0,8.0,0,31,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.135318124439094,0.9269941269405672,2.3313343263612687,,5,31,16,15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,0,2,4,2,5,2,False,43e65bddd707f35b8e2c335392fb1d68,62896,2640,0.959716796875,False,False,0,
16,1,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,8.0,0.5,sliding_window,16,84,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.00646720000077039,6.260001100599766e-05,1.0,0.0025360999861732125,1.0449992259964347e-05,1.0,0.04289879999123514,0.03468640003120527,0.005943400494288653,0.00039334999746643007,8.0,8.0,1.0,0.0004703000304289162,0.00494710000930354,0.0071177000645548105,4.460001946426928e-05,8.0,8.0,0,33,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.027059246970155,1.1005844977280634,2.806553410102294,,6,33,16,17,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,2,4,3,2,3,3,False,24f2559d8f320a7c270770a12d7346fa,22560,42976,0.34423828125,False,True,0,
16,2,mixed_no_constants,remaining-vars,100,eval_expr_tt,eval_expr_tt,100,8.0,0.5,sliding_window,16,84,8.0,0.7777777777777778,raw_ast_recursive,raw_ast_recursive,0.00575750001007691,5.504998262040317e-05,1.0,0.0024674999876879156,1.0200019460171461e-05,1.0,0.04523509996943176,0.03678630042122677,0.006211500091012567,0.0004100500082131475,8.0,8.0,1.0,0.0006525000208057463,0.0046779997064732015,0.0071502000209875405,4.325000918470323e-05,8.0,8.0,0,35,1.0,autoref,,,,,,,,error,"NameError(""name '_declare_dd_vars' is not defined"")",,,6.32641042721266,1.241893184276699,2.897750782842915,,6,35,16,19,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,16,x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15,True,0,4,6,4,1,0,4,False,fc19066c4898b9a5b5747ba2e04e85eb,51424,14112,0.78466796875,False,False,0,
