n_vars,cm_time_s_median,cm_tt_extract_time_s_median,pair_attempts_median,pair_collapses_median,pairable_ratio_median,pair_nodes_total_median,cm_hybrid_time_s_median,cm_hybrid_tt_extract_time_s_median,cm_partial_hybrid_time_s_median,cm_partial_hybrid_tt_extract_time_s_median,cm_parallel_time_s_median,cm_parallel_tt_extract_time_s_median,bitset_time_s_median,bitset_extract_time_s_median,numba_compile_time_s_median,numba_time_s_median,bdd_time_s_median,dd_time_s_median,robdd_build_time_s_median,robdd_reorder_time_s_median,robdd_total_build_plus_reorder_time_s_median,robdd_tt_extract_time_s_median,robdd_tt_extract_elements_median,robdd_total_build_plus_extract_time_s_median,sympy_time_s_median,bdd_nodes_median,dd_nodes_median,custom_tt_robdd_time_s_median,custom_tt_robdd_nodes_median,robdd_node_count_median,robdd_best_time_s_median,robdd_fastest_build_time_s_median,robdd_smallest_node_build_time_s_median,robdd_selected_build_time_s_median,robdd_selected_trial_index_median,robdd_order_generation_time_s_median,robdd_order_search_time_s_median,robdd_all_in_search_time_s_median,robdd_median_time_s_median,robdd_worst_time_s_median,robdd_best_nodes_median,robdd_median_nodes_median,robdd_worst_nodes_median,robdd_nodes_before_reorder_median,robdd_nodes_after_reorder_median,robdd_nodes_per_expr_node_median,robdd_nodes_per_used_var_median,robdd_log2_nodes_median,robdd_timeout_or_error_rate,cm_nodes_median,expr_depth_actual_median,expr_node_count_median,expr_leaf_count_median,expr_op_count_median,expr_unique_var_count_median,expr_vars_used_count_median,expr_uses_all_vars_rate,pct_uses_all_vars,expr_const_count_median,expr_not_count_median,expr_and_count_median,expr_or_count_median,expr_xor_count_median,expr_imp_count_median,expr_eqv_count_median,tt_true_count_median,tt_false_count_median,tt_density_median,median_tt_density,tt_is_constant_rate,pct_constant_tt,tt_is_balancedish_rate,expr_regeneration_attempts_median,expr_filter_reason,cm_subtree_cache_hits_median,cm_canonical_rewrites_median,cm_pruned_branches_median,cm_materializations_median,cm_live_vars_max_median,cm_bitset_materializations_median,cm_numpy_materializations_median,cm_bitset_nodes_median,cm_numpy_nodes_median,cm_materialization_live_vars_total_median,cm_materialization_avg_k_median,cm_hybrid_depth_max_median,cm_full_collapse_occurred_median,cm_decision_bitset_k_le_threshold_median,cm_decision_numpy_k_gt_threshold_median,cm_decision_numpy_root_forced_median,cm_decision_numpy_mode_forced_median,cm_decision_bitset_fixed_var_reduction_helped_median,cm_decision_cache_hit_median,cm_boundary_bitset_eval_time_s_median,cm_boundary_bitset_to_hypercube_time_s_median,cm_boundary_align_time_s_median,cm_boundary_dispatch_time_s_median,cm_boundary_bitset_eval_calls_median,cm_boundary_bitset_to_hypercube_calls_median,cm_boundary_elements_converted_median,cm_boundary_align_calls_median,cm_boundary_align_transpose_calls_median,cm_boundary_align_insert_axes_total_median,cm_boundary_bitset_const_fastpath_calls_median,cm_hybrid_subtree_cache_hits_median,cm_hybrid_canonical_rewrites_median,cm_hybrid_pruned_branches_median,cm_hybrid_materializations_median,cm_hybrid_live_vars_max_median,cm_hybrid_bitset_materializations_median,cm_hybrid_numpy_materializations_median,cm_hybrid_bitset_nodes_median,cm_hybrid_numpy_nodes_median,cm_hybrid_materialization_live_vars_total_median,cm_hybrid_materialization_avg_k_median,cm_hybrid_hybrid_depth_max_median,cm_hybrid_full_collapse_occurred_median,cm_hybrid_decision_bitset_k_le_threshold_median,cm_hybrid_decision_numpy_k_gt_threshold_median,cm_hybrid_decision_numpy_root_forced_median,cm_hybrid_decision_numpy_mode_forced_median,cm_hybrid_decision_bitset_fixed_var_reduction_helped_median,cm_hybrid_decision_cache_hit_median,cm_hybrid_boundary_bitset_eval_time_s_median,cm_hybrid_boundary_bitset_to_hypercube_time_s_median,cm_hybrid_boundary_align_time_s_median,cm_hybrid_boundary_dispatch_time_s_median,cm_hybrid_boundary_bitset_eval_calls_median,cm_hybrid_boundary_bitset_to_hypercube_calls_median,cm_hybrid_boundary_elements_converted_median,cm_hybrid_boundary_align_calls_median,cm_hybrid_boundary_align_transpose_calls_median,cm_hybrid_boundary_align_insert_axes_total_median,cm_hybrid_boundary_bitset_const_fastpath_calls_median,cm_partial_hybrid_subtree_cache_hits_median,cm_partial_hybrid_canonical_rewrites_median,cm_partial_hybrid_pruned_branches_median,cm_partial_hybrid_materializations_median,cm_partial_hybrid_live_vars_max_median,cm_partial_hybrid_bitset_materializations_median,cm_partial_hybrid_numpy_materializations_median,cm_partial_hybrid_bitset_nodes_median,cm_partial_hybrid_numpy_nodes_median,cm_partial_hybrid_materialization_live_vars_total_median,cm_partial_hybrid_materialization_avg_k_median,cm_partial_hybrid_hybrid_depth_max_median,cm_partial_hybrid_full_collapse_occurred_median,cm_partial_hybrid_decision_bitset_k_le_threshold_median,cm_partial_hybrid_decision_numpy_k_gt_threshold_median,cm_partial_hybrid_decision_numpy_root_forced_median,cm_partial_hybrid_decision_numpy_mode_forced_median,cm_partial_hybrid_decision_bitset_fixed_var_reduction_helped_median,cm_partial_hybrid_decision_cache_hit_median,cm_partial_hybrid_boundary_bitset_eval_time_s_median,cm_partial_hybrid_boundary_bitset_to_hypercube_time_s_median,cm_partial_hybrid_boundary_align_time_s_median,cm_partial_hybrid_boundary_dispatch_time_s_median,cm_partial_hybrid_boundary_bitset_eval_calls_median,cm_partial_hybrid_boundary_bitset_to_hypercube_calls_median,cm_partial_hybrid_boundary_elements_converted_median,cm_partial_hybrid_boundary_align_calls_median,cm_partial_hybrid_boundary_align_transpose_calls_median,cm_partial_hybrid_boundary_align_insert_axes_total_median,cm_partial_hybrid_boundary_bitset_const_fastpath_calls_median,cm_parallel_subtree_cache_hits_median,cm_parallel_canonical_rewrites_median,cm_parallel_pruned_branches_median,cm_parallel_materializations_median,cm_parallel_live_vars_max_median,cm_parallel_bitset_materializations_median,cm_parallel_numpy_materializations_median,cm_parallel_bitset_nodes_median,cm_parallel_numpy_nodes_median,cm_parallel_materialization_live_vars_total_median,cm_parallel_materialization_avg_k_median,cm_parallel_hybrid_depth_max_median,cm_parallel_full_collapse_occurred_median,cm_parallel_decision_bitset_k_le_threshold_median,cm_parallel_decision_numpy_k_gt_threshold_median,cm_parallel_decision_numpy_root_forced_median,cm_parallel_decision_numpy_mode_forced_median,cm_parallel_decision_bitset_fixed_var_reduction_helped_median,cm_parallel_decision_cache_hit_median,cm_parallel_boundary_bitset_eval_time_s_median,cm_parallel_boundary_bitset_to_hypercube_time_s_median,cm_parallel_boundary_align_time_s_median,cm_parallel_boundary_dispatch_time_s_median,cm_parallel_boundary_bitset_eval_calls_median,cm_parallel_boundary_bitset_to_hypercube_calls_median,cm_parallel_boundary_elements_converted_median,cm_parallel_boundary_align_calls_median,cm_parallel_boundary_align_transpose_calls_median,cm_parallel_boundary_align_insert_axes_total_median,cm_parallel_boundary_bitset_const_fastpath_calls_median,espresso_time_s_median,cm_ok_all,cm_hybrid_ok_all,cm_partial_hybrid_ok_all,cm_parallel_ok_all,bitset_ok_all,numba_ok_all,sympy_ok_all,custom_tt_robdd_ok_all,robdd_ok_all,robdd_backend,robdd_backend_module,robdd_backend_class,robdd_is_cudd_all,robdd_is_autoref_all,robdd_cudd_available_all,robdd_backend_preference,robdd_order_policy,robdd_order_seed_median,robdd_order_sweeps_median,robdd_order_used,robdd_selection_objective,robdd_selection_tiebreak,robdd_dynamic_reordering_requested_all,robdd_dynamic_reordering_available_all,robdd_dynamic_reordering_used_all,robdd_reorder_method,robdd_status,robdd_error,robdd_tt_extract_ok_all,robdd_tt_extract_status,robdd_extract_method,robdd_tt_extract_error,robdd_correctness_mode,sympy_ok_count,bdd_sop_time_s_median,bdd_sop_ok_all,espresso_ok_all,sampled_correctness_samples_median,sampled_correctness_mismatches_median,sampled_correctness_mismatch_rate_median,trials,cm_hybrid_no_reinflate_time_s_median,cm_no_reinflate_time_s_median,cm_persistent_cache_no_reinflate_time_s_median,cm_hybrid_no_reinflate_tt_extract_time_s_median,cm_hybrid_no_reinflate_ok_all,cm_hybrid_no_reinflate_declined_count,cm_materializations_median_alias,cm_final_repr_median,cm_final_cm_materialized_median,cm_exec_target,cm_final_cm_materialization_performed_median,cm_final_cm_materialization_time_s_median,cm_final_truth_table_materialization_time_s_median,cm_final_bitset_returned_median,cm_final_output_elements_median,cm_final_output_nominal_elements_median,cm_final_output_vars_count_median,cm_final_output_reduced_median,cm_large_n_output_guard_triggered_median,cm_final_output_representation_code_median,cm_hybrid_final_cm_materialization_performed_median,cm_hybrid_final_cm_materialization_time_s_median,cm_hybrid_final_truth_table_materialization_time_s_median,cm_hybrid_final_bitset_returned_median,cm_hybrid_final_output_elements_median,cm_hybrid_final_output_nominal_elements_median,cm_hybrid_final_output_vars_count_median,cm_hybrid_final_output_reduced_median,cm_hybrid_large_n_output_guard_triggered_median,cm_hybrid_final_output_representation_code_median,cm_partial_hybrid_final_cm_materialization_performed_median,cm_partial_hybrid_final_cm_materialization_time_s_median,cm_partial_hybrid_final_truth_table_materialization_time_s_median,cm_partial_hybrid_final_bitset_returned_median,cm_partial_hybrid_final_output_elements_median,cm_partial_hybrid_final_output_nominal_elements_median,cm_partial_hybrid_final_output_vars_count_median,cm_partial_hybrid_final_output_reduced_median,cm_partial_hybrid_large_n_output_guard_triggered_median,cm_partial_hybrid_final_output_representation_code_median,cm_parallel_final_cm_materialization_performed_median,cm_parallel_final_cm_materialization_time_s_median,cm_parallel_final_truth_table_materialization_time_s_median,cm_parallel_final_bitset_returned_median,cm_parallel_final_output_elements_median,cm_parallel_final_output_nominal_elements_median,cm_parallel_final_output_vars_count_median,cm_parallel_final_output_reduced_median,cm_parallel_large_n_output_guard_triggered_median,cm_parallel_final_output_representation_code_median,cm_hybrid_no_reinflate_final_cm_materialization_performed_median,cm_hybrid_no_reinflate_final_cm_materialization_time_s_median,cm_hybrid_no_reinflate_final_truth_table_materialization_time_s_median,cm_hybrid_no_reinflate_final_bitset_returned_median,cm_hybrid_no_reinflate_final_output_elements_median,cm_hybrid_no_reinflate_final_output_nominal_elements_median,cm_hybrid_no_reinflate_final_output_vars_count_median,cm_hybrid_no_reinflate_final_output_reduced_median,cm_hybrid_no_reinflate_large_n_output_guard_triggered_median,cm_hybrid_no_reinflate_final_output_representation_code_median,ratio_cm_parallel_over_cm,ratio_cm_parallel_over_bitset,ratio_cm_hybrid_over_cm,ratio_cm_hybrid_over_bitset,ratio_cm_partial_hybrid_over_cm,ratio_cm_partial_hybrid_over_bitset,ratio_robdd_build_over_bitset,ratio_robdd_build_extract_over_bitset,ratio_cm_hybrid_no_reinflate_over_cm,ratio_cm_hybrid_no_reinflate_over_cm_hybrid,ratio_cm_hybrid_no_reinflate_over_bitset,ratio_robdd_build_over_cm_no_reinflate,ratio_robdd_build_extract_over_cm_no_reinflate,ratio_cm_plus_extract_over_bitset_plus_extract,paired_cm_nr_over_bitset_attempted,paired_cm_nr_over_bitset_paired_success,paired_cm_nr_over_bitset_pairing_complete,paired_cm_nr_over_bitset_headline_ratio_available,paired_cm_nr_over_bitset_ratio_of_medians,paired_cm_nr_over_bitset_median_of_paired_ratios,paired_cm_nr_over_bitset_paired_ratio_p10,paired_cm_nr_over_bitset_paired_ratio_p90,paired_cm_nr_over_bitset_paired_ratio_min,paired_cm_nr_over_bitset_paired_ratio_max,paired_cm_nr_over_bitset_left_success,paired_cm_nr_over_bitset_left_declined,paired_cm_nr_over_bitset_left_refused,paired_cm_nr_over_bitset_left_timeout,paired_cm_nr_over_bitset_left_error,paired_cm_nr_over_bitset_left_oom,paired_cm_nr_over_bitset_left_missing,paired_cm_nr_over_bitset_right_success,paired_cm_nr_over_bitset_right_declined,paired_cm_nr_over_bitset_right_refused,paired_cm_nr_over_bitset_right_timeout,paired_cm_nr_over_bitset_right_error,paired_cm_nr_over_bitset_right_oom,paired_cm_nr_over_bitset_right_missing,paired_cm_nr_over_bitset_incompatible_pairs,paired_cm_nr_over_bitset_headline_ratio,backend_robdd,backend_dd,backend_robdd_dd,backend_espresso,backend_bitset,backend_numba,backend_cm_parallel,backend_cm_compare_hybrid,backend_cm_compare_no_reinflate,cm_hybrid_threshold,cm_words_eval,cm_default_materialize_mode,cm_layout,expr_style,max_depth
4,0.00040800002170726657,8.300004992634058e-06,,,,,0.00013269996270537376,5.89998671784997e-06,0.00016029999824240804,5.299982149153948e-06,,,9.500014130026102e-06,1.0100018698722124e-05,,,3.3100019209086895e-05,,,,,,,,0.0008575999527238309,5.0,,3.3100019209086895e-05,5.0,,,,,,,,,,,,,,,,,,,,1.0,9.0,5.0,9.0,4.0,5.0,3.0,3.0,0.4,0.4,0.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,8.0,0.5,0.5,0.0,0.0,0.8,0.0,,0.0,2.0,0.0,8.0,3.0,0.0,8.0,0.0,8.0,14.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2000033166259527e-05,1.0199961252510548e-05,1.8000020645558834e-05,2.700020559132099e-06,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.3699987903237343e-05,1.4999997802078724e-05,6.999995093792677e-06,3.89997148886323e-06,2.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,True,True,,,,,False,False,False,auto,fixed,22511.0,1.0,,composite,"nodes,build_time,trial_index",False,False,False,sift,disabled,,,skipped_flag_off,,,,5,8.240004535764456e-05,True,,0.0,,,5,0.00011289998656138778,0.00011289998656138778,0.00011289998656138778,0.0,True,0,8.0,2.0,0.0,local,1.0,2.7500034775584936e-05,0.0,0.0,16.0,16.0,4.0,0.0,0.0,0.0,1.0,1.8000020645558834e-05,0.0,0.0,16.0,16.0,4.0,0.0,0.0,0.0,1.0,1.4299992471933365e-05,0.0,0.0,16.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,16.0,16.0,4.0,0.0,0.0,2.0,,,0.32524498932645607,13.968396350691444,0.3928921316514554,16.873658928122836,,,0.27671563861433246,0.85079139631752,11.884191435521325,,,21.239761705362817,5,5,True,True,11.884191435521325,12.982935662971881,10.875581755226463,14.7262776761366,10.855806794649354,14.777852513937574,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12.982935662971881,True,False,False,False,True,False,False,True,True,7,False,numpy,balanced,ordinary,4
8,0.00041640002746134996,9.700015652924776e-06,,,,,0.00013539998326450586,7.199996616691351e-06,0.00015600002370774746,6.499991286545992e-06,,,8.700008038431406e-06,1.109996810555458e-05,,,0.0003697999636642635,,,,,,,,0.001053699990734458,7.0,,0.0003697999636642635,7.0,,,,,,,,,,,,,,,,,,,,1.0,10.0,5.0,10.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64.0,192.0,0.25,0.25,0.0,0.0,0.6,0.0,,0.0,1.0,0.0,10.0,5.0,0.0,10.0,0.0,10.0,18.0,1.8,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6700010746717453e-05,1.1100026313215494e-05,2.3900007363408804e-05,3.300025127828121e-06,1.0,1.0,32.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,2.0,1.0,10.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.2199976481497288e-05,1.5100056771188974e-05,9.7999582067132e-06,3.5999109968543053e-06,2.0,2.0,12.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,True,True,,,,,False,False,False,auto,fixed,26547.0,1.0,,composite,"nodes,build_time,trial_index",False,False,False,sift,disabled,,,skipped_flag_off,,,,5,0.00023399997735396028,True,,0.0,,,5,0.00011169997742399573,0.00011169997742399573,0.00011169997742399573,0.0,True,0,10.0,2.0,0.0,local,1.0,3.539997851476073e-05,0.0,0.0,256.0,256.0,8.0,0.0,0.0,0.0,1.0,2.3900007363408804e-05,0.0,0.0,256.0,256.0,8.0,0.0,0.0,0.0,1.0,1.9899976905435324e-05,0.0,0.0,256.0,256.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,256.0,256.0,8.0,0.0,0.0,2.0,,,0.32516804595329574,15.563202087445221,0.37463980168019395,17.931020640283677,,,0.26825160916773394,0.8249630076082667,12.839066002074064,,,21.520230126322534,5,5,True,True,12.839066002074064,12.839066002074064,11.313583763649557,14.128740819093325,10.464625678353256,14.516162042904755,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12.839066002074064,True,False,False,False,True,False,False,True,True,7,False,numpy,balanced,ordinary,4
12,0.0004714000388048589,1.1300027836114168e-05,,,,,0.00016060000052675605,9.999959729611874e-06,0.0001905999961309135,9.500014130026102e-06,,,1.309998333454132e-05,1.309998333454132e-05,,,0.006380299979355186,,,,,,,,0.0024759999942034483,11.0,,0.006380299979355186,11.0,,,,,,,,,,,,,,,,,,,,1.0,15.0,5.0,15.0,7.0,8.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2048.0,2048.0,0.5,0.5,0.0,0.0,1.0,0.0,,0.0,2.0,0.0,14.0,5.0,0.0,14.0,0.0,14.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0499981474131346e-05,1.0399962775409222e-05,2.9399991035461426e-05,2.800021320581436e-06,1.0,1.0,32.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,2.0,1.0,12.0,3.5,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.1199986804276705e-05,1.5300000086426735e-05,8.100003469735384e-06,4.100031219422817e-06,2.0,2.0,18.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,True,True,,,,,False,False,False,auto,fixed,30583.0,1.0,,composite,"nodes,build_time,trial_index",False,False,False,sift,disabled,,,skipped_flag_off,,,,5,,,,0.0,,,5,0.00011870003072544932,0.00011870003072544932,0.00011870003072544932,0.0,True,0,14.0,2.0,0.0,local,1.0,3.819999983534217e-05,0.0,0.0,4096.0,4096.0,12.0,0.0,0.0,0.0,1.0,2.9399991035461426e-05,0.0,0.0,4096.0,4096.0,12.0,0.0,0.0,0.0,1.0,2.6100024115294218e-05,0.0,0.0,4096.0,4096.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,4096.0,4096.0,12.0,0.0,0.0,2.0,,,0.3406872874553117,12.259557621214276,0.40432749351090824,14.549636534906867,,,0.2518031840353464,0.73910355128345,9.061082575003555,,,18.42369010379639,5,5,True,True,9.061082575003555,9.061082575003555,8.416140188912339,10.78375667239523,8.026897620053514,11.267607827705223,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9.061082575003555,True,False,False,False,True,False,False,True,True,7,False,numpy,balanced,ordinary,4
16,0.0005094999796710908,4.8600020818412304e-05,,,,,0.0002199000446125865,4.579999949783087e-05,0.00025430001551285386,4.4199987314641476e-05,,,4.250003257766366e-05,3.840000135824084e-05,,,0.0965548999956809,,,,,,,,0.0012306999997235835,7.0,,0.0965548999956809,7.0,,,,,,,,,,,,,,,,,,,,1.0,12.0,5.0,12.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,32768.0,32768.0,0.5,0.5,0.0,0.0,1.0,0.0,,0.0,2.0,0.0,8.0,4.0,0.0,8.0,0.0,8.0,17.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4199991710484028e-05,1.0399962775409222e-05,7.499998901039362e-05,3.100023604929447e-06,1.0,1.0,16.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,8.0,3.6666666666666665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.89999433234334e-06,9.90001717582345e-06,7.200054824352264e-06,4.299974534660578e-06,1.0,1.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,True,True,,,,,False,False,False,auto,fixed,34619.0,1.0,,composite,"nodes,build_time,trial_index",False,False,False,sift,disabled,,,skipped_flag_off,,,,5,,,,0.0,,,5,0.0001330999657511711,0.0001330999657511711,0.0001330999657511711,0.0,True,0,8.0,2.0,0.0,local,1.0,8.669996168464422e-05,0.0,0.0,65536.0,65536.0,16.0,0.0,0.0,0.0,1.0,7.499998901039362e-05,0.0,0.0,65536.0,65536.0,16.0,0.0,0.0,0.0,1.0,9.440002031624317e-05,0.0,0.0,65536.0,65536.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,65536.0,65536.0,16.0,0.0,0.0,2.0,,,0.4315997122405061,5.174114730635695,0.4991168315198324,5.983525190201946,,,0.26123644958159603,0.6052748465133909,3.1317614994281957,,,6.89863740887519,5,5,True,True,3.1317614994281957,2.861508350019146,2.606211017891669,3.205636622283313,2.4833332039829568,3.319199957033762,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.861508350019146,True,False,False,False,True,False,False,True,True,7,False,numpy,balanced,ordinary,4
