corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
b2,validation_reused,b2-k4-xor_dom-tree-1-8b6c553e4c62,b2:family:unknown:tree,4,11,93500.0,91800.0,0.9818181818181818,92300.0,125300.0,90000.0,98400.0,5804,5228,0.9007580978635424,True,True,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6
b2,validation_reused,b2-k6-xor_dom-tree-1-bd603bfcb13b,b2:family:unknown:tree,6,11,121100.0,115200.0,0.9512799339388934,115600.0,125700.0,113600.0,116300.0,8330,7410,0.8895558223289316,True,True,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a
b2,validation_reused,b2-k8-xor_dom-tree-1-e3305253a197,b2:family:unknown:tree,8,11,184800.0,175200.0,0.948051948051948,175400.0,234800.0,171800.0,208400.0,10384,9272,0.8929121725731896,True,True,46af8650e56cb3d8316990197ae711b02c6005066cac2953e04fc0ca70015a55
b2,validation_reused,b2-k10-xor_dom-tree-1-77230e81be62,b2:family:unknown:tree,10,11,231600.0,239300.0,1.0332469775474957,215100.0,283200.0,218200.0,401700.0,11846,10670,0.9007259834543305,True,True,f4bd7cb6d894da1941302437ccf55c6d9bd9cb292196c1d561dedb49901754e4
b2,validation_reused,b2-k12-xor_dom-tree-1-58b08f43ff42,b2:family:unknown:tree,12,11,263400.0,244500.0,0.928246013667426,238900.0,290100.0,234500.0,288900.0,14350,12510,0.8717770034843205,True,True,b47bd399acce2d9e4a4446b7ddedd667546ab768effebe79232934adf8822fcd
b2,validation_reused,b2-k16-xor_dom-tree-1-2f5ce8a982ff,b2:family:unknown:tree,16,11,413500.0,397100.0,0.9603385731559855,394400.0,473800.0,383400.0,521200.0,19189,16869,0.8790973995518265,True,True,018e0ba07f27a37af3716edbabbd12ddb0b4c19c71b3e0d33f1ffc9c32f618c8
epfl,validation_reused,epfl-arithmetic-adder-po3-e22ec7119f,epfl:circuit:adder.aig,8,11,339400.0,331000.0,0.9752504419563937,337300.0,347700.0,325100.0,340800.0,19928,17720,0.8892011240465676,True,True,5f85ccec0d99b17c1f1e24b9cc46ce3319945912648ce0a7842f2114eafcb741
epfl,validation_reused,epfl-arithmetic-adder-po4-ed17ac917c,epfl:circuit:adder.aig,10,11,432200.0,416200.0,0.96298010180472,424600.0,445900.0,410200.0,420400.0,29158,25262,0.8663831538514302,True,True,7438036983e270a3aae7df9a97a7adb27b08600271f54b1528fb7c79033c2900
epfl,validation_reused,epfl-arithmetic-adder-po5-d8df03f32b,epfl:circuit:adder.aig,12,11,532800.0,512800.0,0.9624624624624625,525800.0,584100.0,503200.0,531400.0,32942,28662,0.870074676704511,True,True,cc1392ab2872a16263358c49d54f6f6a042ee879c568ff666eff15a4b702977b
epfl,validation_reused,epfl-arithmetic-adder-po6-5e5f8d2bf9,epfl:circuit:adder.aig,14,11,626100.0,605300.0,0.9667784698929883,616300.0,655500.0,598700.0,615400.0,36501,31837,0.8722226788307169,True,True,ed2f865d4c1d045128523bd100e5c1052d90c4ffdde819b5e6e720ddda2ec6d0
epfl,validation_reused,epfl-arithmetic-adder-po7-7187a359bb,epfl:circuit:adder.aig,16,11,685700.0,668300.0,0.974624471343153,669100.0,708800.0,647500.0,671400.0,52165,44693,0.8567621968752995,True,True,9d28057f0e1c91056edd5e0780e22fabb109924591d348fee488088f94b03a13
epfl,validation_reused,epfl-arithmetic-max-internal199-d7c9bf4c7a,epfl:circuit:max.aig,11,11,443900.0,425900.0,0.9594503266501464,424700.0,456800.0,412400.0,629800.0,28818,24954,0.8659171351238809,True,True,0e225e0385ddf5af7e7a80679873b1d5ab4d660032c9ca1b9d66c7e0e25cafe0
epfl,validation_reused,epfl-arithmetic-multiplier-internal2314-b18e1af7fc,epfl:circuit:multiplier.aig,15,11,1370600.0,1319800.0,0.9629359404640303,1227600.0,1514600.0,1164900.0,1570000.0,70809,61801,0.8727845330395854,True,True,1d27d2717ee24a52912668cd788986209715cce7ce28d164e08dddf51a004507
epfl,validation_reused,epfl-arithmetic-sin-internal618-7a9d438d5b,epfl:circuit:sin.aig,13,11,365000.0,350400.0,0.96,345400.0,442700.0,334700.0,399400.0,19793,17473,0.8827868438336786,True,True,4c6aae58f1e5eb08bba9e16f5446a4787129b7312b7602726bae9c99a71c442f
epfl,validation_reused,epfl-arithmetic-square-po9-6849ed374c,epfl:circuit:square.aig,9,11,1906900.0,1897900.0,0.9952802978656458,1846300.0,2027200.0,1809800.0,2147900.0,117995,102387,0.8677232086105343,True,True,6f7a70c010ef837cd8692273bc1237a0dcb5f7351652921433c8142c1c008302
