n_vars,round,order,null_backend_total_s,trace_backend_total_s,null_wrapper_total_s,trace_wrapper_total_s,trace_over_null_ratio,trace_minus_null_s,exact_match
8,0,null-trace,0.00043079996248707175,0.00043100002221763134,0.00043779995758086443,0.0005534000229090452,1.264047685081899,0.00011560006532818079,True
8,1,trace-null,0.00041939999209716916,0.0004387000226415694,0.00042459997348487377,0.0004463000223040581,1.0511070423322986,2.1700048819184303e-05,True
8,2,null-trace,0.00041450001299381256,0.00041660002898424864,0.00041909998981282115,0.0004222000134177506,1.0073968591750957,3.100023604929447e-06,True
12,0,null-trace,0.0006887000054121017,0.000707999977748841,0.0006950999959371984,0.0007154999766498804,1.0293482676333163,2.039998071268201e-05,True
12,1,trace-null,0.0006722999969497323,0.0006739000091329217,0.0006779999821446836,0.0006813000072725117,1.004867293827043,3.300025127828121e-06,True
12,2,null-trace,0.0006862999871373177,0.0007757000275887549,0.0006923999753780663,0.0007835000287741423,1.131571427838849,9.110005339607596e-05,True
