corpus,live_k,ambient_n,current_engine,n,cm_current_over_cse_flat_current_geomean,cm_current_over_cse_flat_current_median,cm_current_over_cse_flat_current_min,cm_current_over_cse_flat_current_max,cm_wrapper_over_cse_flat_current_geomean,cm_wrapper_over_cse_flat_current_median,cm_wrapper_over_cse_flat_current_min,cm_wrapper_over_cse_flat_current_max,cm_current_over_raw_current_geomean,cm_current_over_raw_current_median,cm_current_over_raw_current_min,cm_current_over_raw_current_max,cm_wrapper_over_raw_current_geomean,cm_wrapper_over_raw_current_median,cm_wrapper_over_raw_current_min,cm_wrapper_over_raw_current_max,cse_flat_current_over_raw_current_geomean,cse_flat_current_over_raw_current_median,cse_flat_current_over_raw_current_min,cse_flat_current_over_raw_current_max
b2,4,4,flat,32,0.8373151519307179,0.8697030999233168,0.4710910141510348,0.9422255919748046,4.873537466220688,4.874625621401269,3.069114755624154,7.199151171421503,0.8625831432689258,0.9260366835166982,0.30869549749183,1.4025411311592078,5.020608138713528,5.547048974946605,2.011122857128336,9.065847904524007,1.0301773965035075,1.13264737677413,0.5855611871681301,1.5497655628584586
b2,6,6,flat,32,0.8722287580924647,0.9010787207445309,0.5307345903734434,0.9647137622854742,4.0996326448670874,4.221916603705166,2.766487608521859,7.1521353731861295,0.8479004413595915,0.9187125740005478,0.24080418665822798,1.1975093594009985,3.9852851637190514,4.427945825295082,1.4633219252628094,7.6051914290979985,0.9721078713500821,0.9932766842492762,0.4537186590547825,1.3012362208818635
b2,8,8,flat,32,0.9038391380660148,0.9208213875898801,0.7082177409954541,0.9613608177438936,3.6012438135106106,3.5950767141722135,2.695205662359198,4.713047565226635,0.9245776499727932,1.0155353775516227,0.4917884171759278,1.3032235233560674,3.683874045551135,3.57350952995093,1.734857550720391,6.206760179091048,1.0229449146793461,1.085804867236547,0.6436828086810324,1.417584609445374
b2,10,10,flat,32,0.9118545417778311,0.9346876445556831,0.6722544183150534,0.9634276860164213,3.141385485595538,3.1224621012598055,2.0242906989038874,5.121937653275353,0.9115042517036288,0.9463674718278706,0.5182439508350328,1.2911527484799603,3.140178718392622,3.1847185212102707,1.319039482628746,5.5920089341109325,0.9996158487366644,1.0498963022715997,0.6134413844126192,1.4271497704429832
b2,12,12,flat,32,0.9292171612589036,0.9496928028499851,0.6986640604332618,0.9768514482013009,2.3864353680781707,2.3821283826929758,1.6237416439130024,3.654951526257263,0.8399076762142391,0.8762478852856139,0.31834847333228417,1.1952661956156017,2.1570688403155045,2.2110012167556383,0.8914473794352719,3.925450084546268,0.9038873917011304,0.940451032884035,0.4556531405592368,1.2572404689805108
b2,16,16,words,32,0.9726043567319592,0.9895979927523232,0.8515952318740032,1.02871592732248,1.3106339046725308,1.3151090498732718,1.10543774584877,1.4806981196401878,0.7749529250680071,0.8318563509198149,0.42546794501705204,0.9921571144342468,1.0442885342731332,1.1311491468083048,0.5488041492754858,1.4494705089532123,0.7967812602360951,0.8383636851984966,0.4964586665657111,1.0017484555309477
b4,8,16,flat,8,0.8907837854128026,0.9203309200929809,0.730651935312724,0.9494264497112106,3.7332032390320693,3.7181193459637023,2.8322382191323516,5.543892896048059,0.8554239712003023,0.937671611879783,0.4809375373811718,1.16197072987679,3.5850131000652885,3.775380464614086,1.511786767241076,6.868284035009263,0.9603048295315413,1.0393952279664895,0.5065558659414426,1.2596681051556278
b4,8,20,flat,8,0.8936384313004607,0.9189207744229442,0.7383771284766479,0.9531544042078929,3.7241885913109005,3.73587129173859,2.7865991904953895,5.586191093984986,0.8625623350451062,0.9482043997641314,0.48808413555486263,1.1881418054282915,3.5946806839928915,3.7572989221553845,1.5220814915041885,6.9036007147187375,0.9652252016398496,1.046825047314278,0.5120724757710992,1.2764594984570339
b4,8,24,flat,8,0.8933667430927033,0.9257721002430795,0.7252655452960548,0.9555329623287672,3.7190459858666682,3.6905830511227835,2.759766932667427,5.525239792425182,0.8572616245539249,0.939605798892706,0.47485241468883216,1.1804937698973244,3.5687419845043182,3.7800531919505787,1.5014527601042402,6.830543602075686,0.9595853339986803,1.0435194657153284,0.4969503234420617,1.2846239800974046
b4,12,16,flat,8,0.9442662964434455,0.9504623058550634,0.8857878527793205,0.9712827590039504,2.72459983412055,3.0247054897112235,1.8283197496596715,3.7237305106565586,0.8551008195436356,0.9101375976836421,0.5509809361499742,1.2339011546758025,2.467320458074269,2.583744123736177,1.215205091724136,4.225780357822611,0.905571683289291,0.9898572182045609,0.600539019460188,1.3028644842025123
b4,12,20,flat,8,0.9385101273081923,0.954459922859217,0.8515182881410039,0.9816693981096917,2.6837628736004437,2.897609758164565,1.8028156682834577,3.6721750395854325,0.8668233123376744,0.9143005931981896,0.5320957925170863,1.4011311202255832,2.478767309944302,2.614627577010531,1.2238724105746737,4.42216739297616,0.9236163650400578,1.0116737854790148,0.5885410578324333,1.427294283517047
b4,12,24,flat,8,0.9435628768409661,0.9561437263711765,0.8984591586644703,0.9670089929544472,2.7165847093526785,3.0242936579703774,1.8023856910795708,3.69788323128915,0.859253621929318,0.922114282910665,0.5481540483491975,1.2511530928160737,2.4738523611739325,2.6128140672654405,1.1923276631981223,4.272840715233462,0.9106479737800683,0.9907568179301499,0.6076068342028755,1.3107980034118911
b4,16,16,words,8,0.978796085219733,0.9940797183550951,0.8659533869428923,1.012308552017235,1.3329576185394414,1.312002445973409,1.2439199509157604,1.4561141485531404,0.7905267148606013,0.7974590822299495,0.5797650279457055,1.0058519253879514,1.0765660214056108,1.1255780419988985,0.842019687892123,1.3924964293001427,0.8076521011862582,0.8024762956838866,0.6695106649937265,1.0059302993886827
b4,16,20,words,8,0.978090774698583,0.9888022122457402,0.8948156053874085,0.9989599133261106,1.3763809040081791,1.3686807760385373,1.2398466692436543,1.5218281671786278,0.7874362781906805,0.7952767793875196,0.5837868111740976,0.9976542077108184,1.1080896420466924,1.1491519241791268,0.84327936375786,1.4618578034386733,0.8050748443398249,0.8049426183875457,0.6524101811136255,0.9986929349237401
