regime,n,session,trial,method,seconds,microseconds,repeats,raw_slots,cm_slots,live_k
cached_depth4,8,0,1,raw_recursive,3.848000196740031e-06,3.8480001967400312,300,12,12,5
cached_depth4,8,0,2,raw_flat_liveness,3.3583332939694327e-06,3.358333293969433,300,10,10,4
cached_depth4,8,0,2,cm_recursive,1.0920666779081027e-05,10.920666779081028,300,10,10,4
cached_depth4,8,0,2,cm_flat_retained,4.1156669612973926e-06,4.115666961297393,300,10,10,4
cached_depth4,8,0,2,cm_flat_liveness,2.9916669397304453e-06,2.9916669397304454,300,10,10,4
cached_depth4,8,0,2,cm_wrapper_generic,5.124666495248676e-06,5.124666495248675,300,10,10,4
cached_depth4,8,0,2,cm_wrapper_liveness,4.322333261370659e-06,4.322333261370659,300,10,10,4
cached_depth4,8,0,2,raw_recursive,3.146999903644125e-06,3.146999903644125,300,10,10,4
cached_depth4,8,0,2,raw_flat_retained,2.2636668290942907e-06,2.2636668290942907,300,10,10,4
cached_depth4,8,0,3,cm_recursive,6.840000084290902e-06,6.840000084290902,300,13,10,5
cached_depth4,8,0,3,cm_flat_retained,2.636000281199813e-06,2.636000281199813,300,13,10,5
cached_depth4,8,0,3,cm_flat_liveness,2.609000075608492e-06,2.609000075608492,300,13,10,5
cached_depth4,8,0,3,cm_wrapper_generic,5.772333436956008e-06,5.772333436956008,300,13,10,5
cached_depth4,8,0,3,cm_wrapper_liveness,4.412333170572917e-06,4.412333170572917,300,13,10,5
cached_depth4,8,0,3,raw_recursive,6.1556665847698845e-06,6.155666584769884,300,13,10,5
cached_depth4,8,0,3,raw_flat_retained,2.691999931509296e-06,2.691999931509296,300,13,10,5
cached_depth4,8,0,3,raw_flat_liveness,3.1663333841909967e-06,3.1663333841909966,300,13,10,5
cached_depth4,8,0,4,cm_flat_retained,1.0866667920102677e-06,1.0866667920102677,300,3,1,1
cached_depth4,8,0,4,cm_flat_liveness,9.316667759170135e-07,0.9316667759170135,300,3,1,1
cached_depth4,8,0,4,cm_wrapper_generic,3.218333392093579e-06,3.2183333920935793,300,3,1,1
cached_depth4,8,0,4,cm_wrapper_liveness,2.6643334422260524e-06,2.6643334422260523,300,3,1,1
cached_depth4,8,0,4,raw_recursive,1.255999862526854e-06,1.2559998625268538,300,3,1,1
cached_depth4,8,0,4,raw_flat_retained,1.4049998329331477e-06,1.4049998329331477,300,3,1,1
cached_depth4,8,0,4,raw_flat_liveness,1.4676665887236595e-06,1.4676665887236595,300,3,1,1
cached_depth4,8,0,4,cm_recursive,1.9923333699504533e-06,1.9923333699504533,300,3,1,1
cached_depth4,12,0,0,cm_flat_retained,9.078666723022859e-06,9.078666723022858,150,15,13,5
cached_depth4,12,0,0,cm_flat_liveness,1.006266645466288e-05,10.06266645466288,150,15,13,5
cached_depth4,12,0,0,cm_wrapper_generic,1.2471333611756563e-05,12.471333611756563,150,15,13,5
cached_depth4,12,0,0,cm_wrapper_liveness,9.589333397646746e-06,9.589333397646746,150,15,13,5
cached_depth4,12,0,0,raw_recursive,9.817333581546942e-06,9.817333581546942,150,15,13,5
cached_depth4,12,0,0,raw_flat_retained,7.596000408132871e-06,7.596000408132871,150,15,13,5
cached_depth4,12,0,0,raw_flat_liveness,7.77933280915022e-06,7.77933280915022,150,15,13,5
cached_depth4,12,0,0,cm_recursive,2.4918667040765286e-05,24.918667040765285,150,15,13,5
cached_depth4,12,0,1,cm_flat_liveness,8.013333038737377e-06,8.013333038737377,150,21,16,6
cached_depth4,12,0,1,cm_wrapper_generic,1.0330000271399817e-05,10.330000271399816,150,21,16,6
cached_depth4,12,0,1,cm_wrapper_liveness,9.382666709522406e-06,9.382666709522406,150,21,16,6
cached_depth4,12,0,1,raw_recursive,1.0157333842168251e-05,10.157333842168251,150,21,16,6
cached_depth4,12,0,1,raw_flat_retained,1.180999989931782e-05,11.80999989931782,150,21,16,6
cached_depth4,12,0,1,raw_flat_liveness,1.3951333239674567e-05,13.951333239674568,150,21,16,6
cached_depth4,12,0,1,cm_recursive,3.656933316960931e-05,36.56933316960931,150,21,16,6
cached_depth4,12,0,1,cm_flat_retained,1.5382000710815192e-05,15.382000710815191,150,21,16,6
cached_depth4,12,0,2,cm_wrapper_generic,2.195799956098199e-05,21.95799956098199,150,20,14,5
cached_depth4,12,0,2,cm_wrapper_liveness,1.5814000119765598e-05,15.814000119765598,150,20,14,5
cached_depth4,12,0,2,raw_recursive,1.2331333321829637e-05,12.331333321829637,150,20,14,5
cached_depth4,12,0,2,raw_flat_retained,1.0656666321059068e-05,10.656666321059069,150,20,14,5
cached_depth4,12,0,2,raw_flat_liveness,9.956666423628727e-06,9.956666423628727,150,20,14,5
cached_depth4,12,0,2,cm_recursive,2.544333382199208e-05,25.44333382199208,150,20,14,5
cached_depth4,12,0,2,cm_flat_retained,8.269333435843389e-06,8.26933343584339,150,20,14,5
cached_depth4,12,0,2,cm_flat_liveness,8.194000304987033e-06,8.194000304987034,150,20,14,5
cached_depth4,12,0,3,cm_wrapper_liveness,6.803333138426145e-06,6.8033331384261455,150,8,8,4
cached_depth4,12,0,3,raw_recursive,6.206666585057974e-06,6.206666585057974,150,8,8,4
cached_depth4,12,0,3,raw_flat_retained,7.68666621297598e-06,7.68666621297598,150,8,8,4
cached_depth4,12,0,3,raw_flat_liveness,7.380000315606594e-06,7.380000315606594,150,8,8,4
cached_depth4,12,0,3,cm_recursive,1.2736666637162367e-05,12.736666637162367,150,8,8,4
cached_depth4,12,0,3,cm_flat_retained,5.793333208809296e-06,5.793333208809297,150,8,8,4
cached_depth4,12,0,3,cm_flat_liveness,6.384000492592653e-06,6.384000492592652,150,8,8,4
cached_depth4,12,0,3,cm_wrapper_generic,8.022000547498465e-06,8.022000547498465,150,8,8,4
cached_depth4,12,0,4,raw_recursive,7.125333261986574e-06,7.125333261986573,150,19,16,9
cached_depth4,12,0,4,raw_flat_retained,4.510000192870696e-06,4.510000192870696,150,19,16,9
cached_depth4,12,0,4,raw_flat_liveness,4.4719999035199485e-06,4.471999903519949,150,19,16,9
cached_depth4,12,0,4,cm_recursive,2.2544000142564376e-05,22.544000142564375,150,19,16,9
cached_depth4,12,0,4,cm_flat_retained,4.866666470964749e-06,4.866666470964749,150,19,16,9
cached_depth4,12,0,4,cm_flat_liveness,4.5746665758391225e-06,4.574666575839123,150,19,16,9
cached_depth4,12,0,4,cm_wrapper_generic,8.423999728014073e-06,8.423999728014072,150,19,16,9
cached_depth4,12,0,4,cm_wrapper_liveness,1.3095999602228403e-05,13.095999602228403,150,19,16,9
cached_depth4,16,0,0,raw_recursive,2.1020002895966174e-05,21.020002895966172,20,9,8,4
cached_depth4,16,0,0,raw_flat_retained,1.635500229895115e-05,16.35500229895115,20,9,8,4
cached_depth4,16,0,0,raw_flat_liveness,1.443499932065606e-05,14.434999320656061,20,9,8,4
cached_depth4,16,0,0,cm_recursive,3.3064995659515264e-05,33.06499565951526,20,9,8,4
cached_depth4,16,0,0,cm_flat_retained,1.59399991389364e-05,15.939999138936399,20,9,8,4
cached_depth4,16,0,0,cm_flat_liveness,2.7514999965205787e-05,27.51499996520579,20,9,8,4
cached_depth4,16,0,0,cm_wrapper_generic,2.2325001191347836e-05,22.325001191347837,20,9,8,4
cached_depth4,16,0,0,cm_wrapper_liveness,1.6994995530694722e-05,16.994995530694723,20,9,8,4
cached_depth4,16,0,1,raw_flat_retained,4.140999517403543e-05,41.40999517403543,20,18,15,6
cached_depth4,16,0,1,raw_flat_liveness,4.880999913439155e-05,48.809999134391546,20,18,15,6
cached_depth4,16,0,1,cm_recursive,0.00010946500115096569,109.46500115096569,20,18,15,6
cached_depth4,16,0,1,cm_flat_retained,6.96500006597489e-05,69.65000065974891,20,18,15,6
cached_depth4,16,0,1,cm_flat_liveness,4.072499577887356e-05,40.72499577887356,20,18,15,6
cached_depth4,16,0,1,cm_wrapper_generic,4.474000306800008e-05,44.74000306800008,20,18,15,6
cached_depth4,16,0,1,cm_wrapper_liveness,4.5214995043352244e-05,45.214995043352246,20,18,15,6
cached_depth4,16,0,1,raw_recursive,4.5645004138350484e-05,45.64500413835049,20,18,15,6
cached_depth4,16,0,2,raw_flat_liveness,2.4635001318529247e-05,24.63500131852925,20,14,11,5
cached_depth4,16,0,2,cm_recursive,4.9314997158944604e-05,49.31499715894461,20,14,11,5
cached_depth4,16,0,2,cm_flat_retained,3.74549999833107e-05,37.4549999833107,20,14,11,5
cached_depth4,16,0,2,cm_flat_liveness,3.802500432357192e-05,38.02500432357192,20,14,11,5
cached_depth4,16,0,2,cm_wrapper_generic,4.1490001603960994e-05,41.49000160396099,20,14,11,5
cached_depth4,16,0,2,cm_wrapper_liveness,3.194499877281487e-05,31.94499877281487,20,14,11,5
cached_depth4,16,0,2,raw_recursive,3.092999686487019e-05,30.929996864870194,20,14,11,5
cached_depth4,16,0,2,raw_flat_retained,4.3320003896951675e-05,43.320003896951675,20,14,11,5
cached_depth4,16,0,3,cm_recursive,3.4585001412779095e-05,34.58500141277909,20,9,8,4
cached_depth4,16,0,3,cm_flat_retained,1.759000006131828e-05,17.59000006131828,20,9,8,4
cached_depth4,16,0,3,cm_flat_liveness,1.558000221848488e-05,15.58000221848488,20,9,8,4
cached_depth4,16,0,3,cm_wrapper_generic,1.9459996838122607e-05,19.459996838122606,20,9,8,4
cached_depth4,16,0,3,cm_wrapper_liveness,1.8324999837204813e-05,18.324999837204814,20,9,8,4
cached_depth4,16,0,3,raw_recursive,2.2814999101683498e-05,22.814999101683497,20,9,8,4
cached_depth4,16,0,3,raw_flat_retained,1.638500252738595e-05,16.38500252738595,20,9,8,4
cached_depth4,16,0,3,raw_flat_liveness,1.6360002337023617e-05,16.360002337023616,20,9,8,4
cached_depth4,16,0,4,cm_flat_retained,1.780001912266016e-06,1.780001912266016,20,5,1,1
cached_depth4,16,0,4,cm_flat_liveness,1.1200027074664831e-06,1.1200027074664831,20,5,1,1
cached_depth4,16,0,4,cm_wrapper_generic,6.554997526109219e-06,6.554997526109219,20,5,1,1
cached_depth4,16,0,4,cm_wrapper_liveness,2.924998989328742e-06,2.924998989328742,20,5,1,1
cached_depth4,16,0,4,raw_recursive,2.2834999253973364e-05,22.834999253973365,20,5,1,1
cached_depth4,16,0,4,raw_flat_retained,2.006000140681863e-05,20.06000140681863,20,5,1,1
cached_depth4,16,0,4,raw_flat_liveness,4.250499769113958e-05,42.50499769113958,20,5,1,1
cached_depth4,16,0,4,cm_recursive,1.326499623246491e-05,13.26499623246491,20,5,1,1
cached_depth4,4,1,0,cm_flat_liveness,5.612000124529004e-06,5.612000124529004,500,22,10,4
cached_depth4,4,1,0,cm_wrapper_generic,6.212800042703748e-06,6.212800042703748,500,22,10,4
cached_depth4,4,1,0,cm_wrapper_liveness,8.145999861881137e-06,8.145999861881137,500,22,10,4
