regime,n,samples_per_method,raw_recursive_us_median,raw_flat_retained_us_median,raw_flat_liveness_us_median,cm_recursive_us_median,cm_flat_retained_us_median,cm_flat_liveness_us_median,cm_wrapper_liveness_us_median,raw_flat_liveness_speedup,cm_flat_liveness_speedup,cm_live_over_raw_live,cm_wrapper_over_raw_live,session_ratio_min,session_ratio_max,session_ratio_cv,session_ratio_p10,session_ratio_p90
cached_depth4,4,25,5.148600088432431,3.5224000457674265,3.150200005620718,8.693400071933866,2.8878001030534506,2.99279997125268,6.108999950811267,1.1181512410267962,0.9649158416172798,0.9500349075972324,1.9392419338173243,0.7965081725881373,1.2315425406080027,0.18299571946101867,0.836363634802181,1.218099269067596
cached_depth4,8,25,4.429333300019304,3.1736663853128753,3.039666529123982,9.656666855638226,3.0563333226988716,3.476000080506007,6.384333440413078,1.0440837357996344,0.8792673336917634,1.1435465197255616,2.100340079822182,0.7327312885463235,1.3169003942101225,0.20222361272303732,0.8501456208945204,1.251500087647675
cached_depth4,12,25,13.150666685154041,8.444666552046934,8.441333193331957,20.082666693876188,8.645999866227308,8.68800018603603,12.833999935537577,1.0003948853384452,0.9951657091494741,1.0292213311635325,1.520375945552713,0.9756681787787869,1.5431613201894714,0.2096170606766662,0.9863802229066163,1.3488457740908875
cached_depth4,16,25,30.755001353099942,26.474997866898775,26.539998361840844,34.66999623924494,23.680005688220263,25.610002921894193,28.425001073628664,0.9975508478163463,0.9246389295791935,0.9649587227825983,1.0710249746849296,0.70388260446903,1.117398696339463,0.16355421197309966,0.7696001953854914,1.0521185845042718
cached_depth4,18,25,210.82500461488962,187.62500258162618,181.12499674316496,268.3500060811639,187.5249872682616,168.23750047478825,185.9125040937215,1.0358868513752313,1.114644396992594,0.9288475003444656,1.0264320631422577,0.5641646028029627,1.2767836002060142,0.3043983925718099,0.6248822702504403,1.158461391673988
cached_depth4,20,25,871.9666705777248,799.5333677778641,711.3666894535223,932.8666686390837,752.266690445443,712.3333246757587,733.9333339283863,1.123939846539725,1.0560599432686393,1.0013588424037383,1.0317229423438423,0.7848168946220984,1.233841569333874,0.16452228570969088,0.891931038970775,1.2178175932432702
cached_depth4,22,25,2582.8999932855368,2554.7000113874674,2242.799964733422,2809.6999740228057,2586.500020697713,1991.500030271709,2180.200070142746,1.1390672603702836,1.298769762180132,0.8879525867606377,0.9720885074126009,0.6855709961930663,1.0885986547135078,0.2029579525747223,0.7192022210447153,1.0769609734171823
cached_depth4,24,25,24821.100058034062,22097.100038081408,19699.49994236231,24056.999944150448,20561.099983751774,19851.500052027404,19662.000006064773,1.1217086780240162,1.0357454061337747,1.0077159374659166,0.9980964016138859,0.809521314654494,1.0682555651054209,0.11424389712265319,0.8161174058506254,1.0012201581216138
fulloutput_fullarity,16,25,1649.5200048666447,1669.9299972970039,1546.640001470223,1936.9949994143099,1442.6449954044074,1287.1500046458095,1344.1400020383298,1.0797147336869488,1.120805648290687,0.8322234026161586,0.8690710189576124,0.7920624706120898,0.9136355517764522,0.059637109955853695,0.8072285502553893,0.9104239342797874
fulloutput_fullarity,18,25,5492.575000971556,6399.387493729591,5518.2999931275845,7597.712494316511,5370.1500000897795,4638.587502995506,4742.224991787225,1.1596664736783613,1.1577123416604398,0.8405826991595853,0.8593633904813307,0.7941385704298237,0.938346620070983,0.07300797573996058,0.7992974974928705,0.9183044185776402
fulloutput_fullarity,20,25,22473.23332509647,25615.16663990915,21983.099984936416,26597.900005678337,25056.366653492052,19713.6333057036,20114.666665904224,1.165220858635113,1.271017182116433,0.8967631189055258,0.9150059218075473,0.8118354015413936,0.9475568954665077,0.060699824095653165,0.8360469293752827,0.9411541965621646
fulloutput_fullarity,22,25,97665.00000841916,137990.99996685982,94865.90011510998,103442.29999464005,170617.69997235388,84510.90008020401,91811.50002405047,1.4545901087685036,2.018883952371011,0.8908459201637127,0.9678029714855042,0.808464581824706,0.9607900562040184,0.06728571268250418,0.8396167668928985,0.9540746787353571
fulloutput_fullarity,24,25,833905.6000113487,819263.4000442922,818509.1000050306,765710.4999525473,729954.699985683,768544.5999959484,752312.3999126256,1.000921553638508,0.9497883401815993,0.9389566957670047,0.9191252728992283,0.8535124801251464,1.119691170034625,0.10189831366073335,0.8833838489357552,1.0724822507936544
