python,n,new_trials,new_median_s,new_min_s,new_max_s,old_trials,old_median_s,old_min_s,old_max_s,old_over_new,bit_identical
3.13.5,14,3,0.0008393999887630343,0.000709200045093894,0.0009645000100135803,3,0.009455000050365925,0.009052400011569262,0.011183899943716824,11.263998304668915,True
3.13.5,16,3,0.004725700011476874,0.004257799941115081,0.004897200036793947,3,0.08621130010578781,0.08288700005505234,0.09990650007966906,18.24307507806554,True
3.13.5,18,3,0.022162299952469766,0.021751799969933927,0.026476499973796308,3,1.0822538000065833,1.0625469000078738,1.3446353999897838,48.83309955770078,True
3.13.5,20,3,0.13646380009595305,0.11674480000510812,0.1578505999641493,1,14.003040799987502,14.003040799987502,14.003040799987502,102.61359269008642,True
3.13.5,22,3,0.460235400008969,0.4474684000015259,0.4991904000053182,0,,,,,
3.13.5,24,3,2.06036280002445,2.0345203999895602,2.1800590000348166,0,,,,,
