n_vars,expr_style,family_variant_style,family_size,family_reuse_ratio_median,family_unique_subtree_hashes_median,family_repeated_subtree_hash_count_median,family_max_subtree_reuse_count_median,family_bitset_total_time_s_median,family_cm_no_cache_total_time_s_median,family_cm_cache_total_time_s_median,family_robdd_build_total_time_s_median,speedup_cm_cache_vs_cm_no_cache_median,ratio_cm_cache_over_bitset_median,ratio_cm_no_cache_over_bitset_median,family_cm_cache_persistent_hits_total_median,family_cm_cache_persistent_misses_total_median,family_bitset_ok_rate_median,family_cm_no_cache_ok_rate_median,family_cm_cache_ok_rate_median,family_robdd_ok_rate_median,family_robdd_backend,trials,max_depth
8,ordinary,composition_mix,4,0.5996088090408578,34.5,12.5,14.5,0.0003073999978369102,0.002351200000703102,,,,,8.169535964318388,,,1.0,1.0,,,auto,2,4
12,ordinary,composition_mix,4,0.5392427884615385,42.5,17.0,9.0,0.0005086000001028879,0.0021667000000888947,,,,,5.526387818856325,,,1.0,1.0,,,auto,2,4
