family,formulas,live_k_median,cm_compile_us_median,flat_prepare_us_median,autoref_fixed_build_us_median,autoref_best10_selected_build_us_median,all_autoref_correct,cudd_mode
actual_all_live_xor,7,26,677.002128213644,58.78787487745285,1679.3408431112766,1236.7391027510166,True,available_verified
controlled_live_12,7,12,243.58369410037994,34.6209853887558,394.9911333620548,322.53190875053406,True,available_verified
controlled_live_16,7,16,351.7358563840389,41.60311073064804,655.0289690494537,512.6670002937317,True,available_verified
controlled_live_8,7,8,156.2829129397869,26.830006390810013,206.78900182247162,157.83589333295822,True,available_verified
sparse_depth4,21,5,112.75894939899445,25.268178433179855,120.4097643494606,83.87491106987,True,available_verified
