family,formulas,live_k_median,cm_compile_us_median,flat_prepare_us_median,autoref_fixed_build_us_median,autoref_best10_selected_build_us_median,all_autoref_correct,cudd_mode
actual_all_live_xor,7,26,997.9000024031848,49.700000090524554,2010.0000001548324,1353.1000004149973,True,unavailable_fail_closed
controlled_live_12,7,12,271.29999944008887,31.999999919207767,474.50000056414865,392.7000034309458,True,unavailable_fail_closed
controlled_live_16,7,16,466.9999980251305,50.80000119050965,880.4999997664709,623.7999987206422,True,unavailable_fail_closed
controlled_live_8,7,8,182.30000205221586,20.300001779105514,237.19999808236025,213.79999816417694,True,unavailable_fail_closed
sparse_depth4,21,5,133.00000136950985,21.500000002561137,163.3000028959941,125.70000035339035,True,unavailable_fail_closed
