n,trial,live_k,output_k,repr_t7,repr_t16,reps,rounds,ok_t7,ok_t16,threshold7_us,threshold16_us,bitset_us,t7_over_bitset,t16_over_bitset,t16_over_t7
16,0,6,16,2,2,30,5,True,True,55.03333328912655,49.23333181068301,40.13333236798644,1.371262490353917,1.2267441776142032,0.8946093007310262
16,1,3,16,2,2,100,5,True,True,37.64500026591122,29.485999839380383,29.30699964053929,1.2845054330924508,1.0061077626859316,0.7832646999894145
16,2,3,16,2,2,100,5,True,True,15.750000020489097,14.84000007621944,8.433000184595585,1.8676627150156297,1.7597533204525966,0.9422222258358195
16,3,6,16,2,2,100,5,True,True,37.748999893665314,32.99799980595708,44.97800022363663,0.8392769733196728,0.7336475530678691,0.8741423587090713
16,4,2,16,2,2,100,5,True,True,17.49899936839938,18.520000157877803,28.678999515250325,0.6101677068300143,0.6457686973365169,1.0583462384324784
16,5,4,16,2,2,100,5,True,True,24.556999560445547,29.186999890953302,20.435999613255262,1.201653945252441,1.4282149365486354,1.1885409623888006
16,6,6,16,2,2,100,5,True,True,96.84700053185225,83.13700091093779,69.89499903284013,1.385607008683822,1.189455641481244,0.8584365076293163
16,7,2,16,2,2,100,5,True,True,23.016000632196665,21.267998963594437,31.225000275298957,0.7371016950928211,0.681120857520659,0.9240527624005632
16,8,3,16,2,2,100,5,True,True,37.9600003361702,27.085000183433294,39.29500002413988,0.9660262199478417,0.6892734487032527,0.7135142240139905
16,9,6,16,2,2,30,5,True,True,90.78000051279864,82.85666893546781,63.61000317459306,1.427134035249628,1.30257294136659,0.9127194147105809
16,10,4,16,2,2,30,5,True,True,61.49333203211426,47.11666454871495,56.233334665497146,1.0935387772734109,0.8378778322322067,0.766207700765162
16,11,2,16,2,2,100,5,True,True,21.458000410348177,26.659000432118773,13.285999884828925,1.615083591476674,2.006548296192616,1.242380460541999
16,12,8,16,1,2,7,5,True,True,449.37144100133867,92.39998845649617,77.75715286178249,5.7791653174354325,1.188314965965152,0.20562051796304723
16,13,5,16,2,2,30,5,True,True,42.35333375011881,53.45999961718917,30.716663847366974,1.3788389898256912,1.7404233702864105,1.2622382911484318
16,14,7,16,2,2,100,5,True,True,36.428000312298536,32.18600060790777,21.745000267401338,1.6752356801259267,1.480156367537916,0.8835511236404977
16,15,8,16,1,2,7,5,True,True,607.9999896298561,101.14286227950029,90.5285622658474,6.716112290001858,1.1172480789265469,0.16635339474442257
16,16,5,16,2,2,30,5,True,True,91.57666936516762,66.81000037739675,71.87000010162592,1.2741988205882286,0.9295951062046165,0.7295526343176748
16,17,5,16,2,2,30,5,True,True,69.76666627451777,67.02333533515532,57.53666628152132,1.212560107899826,1.1648804087330442,0.9606784860757429
16,18,7,16,2,2,100,5,True,True,55.0570001360029,67.19899945892394,74.32200014591217,0.7407900759924735,0.9041602665024616,1.2205350689817394
16,19,2,16,2,2,100,5,True,True,33.42100069858134,25.318999541923404,28.865999775007367,1.1577981347979418,0.8771218644519283,0.757577541446811
16,20,2,16,2,2,100,5,True,True,25.886999210342765,33.86300057172775,40.21800006739795,0.6436669940564157,0.8419861881490778,1.3081083789038899
16,21,5,16,2,2,100,5,True,True,53.21300006471574,44.68400031328201,50.30400003306568,1.0578284038990524,0.8882792677304083,0.8397196222528129
16,22,3,16,2,2,100,5,True,True,15.816999366506932,21.531999809667468,10.65799966454506,1.4840495275228636,2.0202665122326753,1.361320141117427
16,23,6,16,2,2,30,5,True,True,122.1533321465055,109.92999887093902,96.13333192343514,1.270665748314995,1.1435159550954934,0.8999345080418573
16,24,8,16,1,2,7,5,True,True,978.971432362284,63.89998764331852,40.69999392543521,24.05335573650987,1.570024500750223,0.06527257643170052
16,25,7,16,2,2,30,5,True,True,80.24333122496803,98.93000048274794,76.5733343238632,1.0479278711513693,1.29196411983744,1.232875043601947
16,26,6,16,2,2,30,5,True,True,85.45000261316697,100.70666903629899,90.11333265031377,0.9482503875953304,1.1175557054036924,1.1785449497549942
16,27,3,16,2,2,100,5,True,True,24.105999618768692,28.24300085194409,50.38500064983964,0.4784360287359729,0.5605438223217325,1.1716170786775575
16,28,8,16,1,2,7,5,True,True,597.8285833927137,66.3714184026633,56.27144128084183,10.624014060863416,1.1794867323801799,0.11102081808467813
16,29,6,16,2,2,30,5,True,True,95.123335874329,70.62333170324564,89.19000004728636,1.0665246756799744,0.7918301565848511,0.7424396027968233
16,30,5,16,2,2,30,5,True,True,113.6266665222744,95.36999665821592,115.76666729524732,0.9815145341662542,0.8238122327127857,0.8393275942801719
16,31,11,16,1,2,7,5,True,True,1008.2142959747995,67.17142449425799,58.68572874792984,17.179888833030205,1.1445955588755892,0.06662415397444131
16,32,3,16,2,2,100,5,True,True,7.716999389231206,6.881000008434057,17.202000599354506,0.44861057553507944,0.400011613108086,0.8916678181983848
16,33,3,16,2,2,100,5,True,True,32.017999328672886,28.629000298678875,34.7290001809597,0.9219384134826567,0.8243542903482384,0.8941533168514036
16,34,8,16,1,2,7,5,True,True,461.485719175211,51.80001192327056,47.84285556524992,9.64586485741469,1.0827115420111937,0.1122461861135161
16,35,5,16,2,2,100,5,True,True,28.099000919610262,26.66299929842353,24.89000093191862,1.1289272747104022,1.071233358783496,0.9488949224459953
16,36,3,16,2,2,100,5,True,True,52.04900051467121,48.09299949556589,40.34999990835786,1.2899380578162054,1.1918959009862151,0.9239946784762904
16,37,7,16,2,2,30,5,True,True,68.47000137592356,56.063333371033266,59.956665306041636,1.1419914871253531,0.9350642348913949,0.8188014056437144
16,38,3,16,2,2,30,5,True,True,43.58999819184343,36.5033318909506,55.64666741217176,0.7833352870707376,0.655984151226388,0.8374244873857579
16,39,5,16,2,2,30,5,True,True,40.523335337638855,56.84666490803163,65.18999968344967,0.6216188914620727,0.8720151125029652,1.4028130812626212
16,40,4,16,2,2,100,5,True,True,31.40300046652555,23.79799960181117,36.8470000103116,0.8522539272596805,0.6458598961964697,0.757825661505784
16,41,1,16,2,2,100,5,True,True,4.136000061407685,3.0289997812360525,15.219999477267265,0.27174771376209667,0.19901444712663724,0.7323500329458733
16,42,1,16,2,2,100,5,True,True,3.461999585852027,3.5640003625303507,22.462999913841486,0.15412009077731315,0.15866092579799404,1.0294629661699455
16,43,8,16,1,2,30,5,True,True,459.1700000067552,44.786670090009764,33.52333248282472,13.697027294109422,1.3359850221619727,0.09753831933565102
16,44,5,16,2,2,100,5,True,True,28.288000030443072,31.286999583244327,26.02200023829937,1.0870801541538913,1.2023287716828122,1.1060166695974896
16,45,3,16,2,2,100,5,True,True,35.75799986720085,36.16599948145449,38.97800110280514,0.917389267163509,0.9278567001439109,1.0114100233729202
16,46,7,16,2,2,30,5,True,True,87.1033330137531,69.76999963323274,61.476665238539375,1.4168519498541132,1.1349021512880357,0.801002639270032
16,47,5,16,2,2,30,5,True,True,63.41666836912433,60.26666766653458,63.266667226950325,1.0023709347868115,0.9525816722784821,0.9503285053662107
16,48,6,16,2,2,30,5,True,True,49.953333412607506,50.070000967631735,42.57333154479663,1.1733479997929095,1.1760883903329702,1.0023355309256456
16,49,9,16,1,2,7,5,True,True,770.3714239011917,94.71427516213484,80.29999610568797,9.593667014469796,1.179505351874181,0.12294624673705828
16,50,7,16,2,2,30,5,True,True,73.81333271041512,80.36333601921797,53.87999893476566,1.3699579467286818,1.4915244544922241,1.0887374010668216
16,51,4,16,2,2,30,5,True,True,62.72666699563464,54.45999947066108,47.996663488447666,1.3068964056372865,1.1346621934203631,0.8682112740734517
16,52,7,16,2,2,30,5,True,True,147.56333160524568,187.8033314521114,159.0066667025288,0.9280323565382864,1.181103505574742,1.272696471468358
16,53,8,16,1,2,7,5,True,True,530.085709345128,46.32857495120594,41.71428736299276,12.707533625886622,1.1106164789070994,0.08739827189161659
16,54,6,16,2,2,30,5,True,True,56.483332688609764,68.07666504755616,73.27666583781442,0.7708229085317027,0.9290360617421161,1.2052522719022256
16,55,5,16,2,2,30,5,True,True,76.11666806042194,59.98333217576146,57.02666627864043,1.3347557033845368,1.0518470759394272,0.7880446386348161
16,56,3,16,2,2,30,5,True,True,31.320001774777968,45.10333140691122,43.513334821909666,0.7197793941320223,1.036540444245633,1.4400807423718915
16,57,11,16,1,2,7,5,True,True,509.92857930915693,105.75714986771345,97.0571335139019,5.253901087405572,1.089638092933843,0.20739600437965558
16,58,4,16,2,2,100,5,True,True,31.190000008791685,38.57300034724176,35.960000241175294,0.8673526084429273,1.0726640736524384,1.2367104949140426
16,59,4,16,2,2,100,5,True,True,30.734000029042363,25.972999865189195,33.946000039577484,0.905379131361861,0.7651269614949447,0.8450901230118364
16,60,9,16,1,2,7,5,True,True,799.2000152756061,83.31427151071173,55.44286354311875,14.414840147173427,1.502705058621602,0.10424708448232524
16,61,4,16,2,2,30,5,True,True,25.843336091687284,33.79666789745291,23.366666088501614,1.1059915862111114,1.4463624279752834,1.307751746041947
16,62,5,16,2,2,100,5,True,True,32.648000633344054,46.158001059666276,41.831000708043575,0.7804738132182971,1.10344003916671,1.4138078952535975
16,63,0,16,2,2,100,5,True,True,3.0670000705868006,5.2740005776286125,68.56100051663816,0.04473388730437956,0.07692420673395417,1.7195958448802882
16,64,6,16,2,2,100,5,True,True,74.60399996489286,63.70499962940812,96.72899963334203,0.7712681848017088,0.6585925613919955,0.8539086330409416
16,65,4,16,2,2,100,5,True,True,51.51799996383488,46.97600030340254,54.34400052763522,0.9479979291851499,0.8644192523057652,0.9118366461504566
16,66,5,16,2,2,100,5,True,True,31.22800029814243,26.820999337360263,52.77200019918382,0.5917532058719541,0.5082429931805973,0.8588766197416645
16,67,6,16,2,2,100,5,True,True,62.08700011484325,65.1310000102967,53.304999601095915,1.1647500343207353,1.2218553699971824,1.0490279750966052
16,68,4,16,2,2,100,5,True,True,30.040000565350056,26.714999694377184,26.196999242529273,1.14669624132301,1.0197732742995604,0.8893142207590992
16,69,5,16,2,2,30,5,True,True,50.91666632021467,46.4700007190307,41.87333397567272,1.2159687678510596,1.1097755136008163,0.912667778105917
16,70,5,16,2,2,100,5,True,True,28.991999570280313,26.787000242620707,26.645000325515866,1.0880840388850326,1.0053293269044872,0.9239445584870954
16,71,6,16,2,2,100,5,True,True,78.41999991796911,69.2039995919913,61.92700006067753,1.2663297082230909,1.1175093178126438,0.882478955169368
16,72,8,16,1,2,7,5,True,True,602.3857110579099,67.95714476278849,60.699996538460255,9.923982626197203,1.1195576381908032,0.11281334121196555
16,73,5,16,2,2,30,5,True,True,53.096667397767305,41.566668854405485,26.763331455489,1.983933408517328,1.5531201309349854,0.7828489223817717
16,74,4,16,2,2,100,5,True,True,55.39700039662421,52.74799885228276,46.68000037781894,1.1867395018905644,1.1299913972868596,0.9521814985400749
16,75,5,16,2,2,30,5,True,True,32.87666865314047,33.11666660010815,31.006666055570047,1.0603096957995746,1.0680499006489947,1.007299947251339
16,76,7,16,2,2,30,5,True,True,65.5433318267266,81.27999802430472,46.6466648504138,1.4051022090627594,1.7424610802284117,1.240095609408144
16,77,3,16,2,2,100,5,True,True,15.194000443443656,21.643999498337507,15.41399979032576,0.9857273031092045,1.40417800653675,1.4245096002795683
16,78,7,16,2,2,100,5,True,True,85.99199936725199,53.61199961043894,59.121999656781554,1.454483946186829,0.9068028808509594,0.6234533445544679
16,79,2,16,2,2,100,5,True,True,10.079999919980764,13.38199945166707,8.082999847829342,1.2470617480820205,1.6555733890383226,1.3275793212201341
16,80,4,16,2,2,30,5,True,True,69.76666627451777,77.48666685074568,54.666667710989714,1.2762194806414455,1.417439000679539,1.1106545717098084
16,81,8,16,1,2,7,5,True,True,746.3571548994098,47.814283919121536,44.34284554528338,16.8315124056985,1.0782863240089788,0.06406354331200281
16,82,9,16,1,2,7,5,True,True,1013.0857117474079,97.34284997518574,89.057139120996,11.375682194001268,1.0930381431064442,0.096085502782667
16,83,7,16,2,2,30,5,True,True,89.0166653941075,84.36999827002487,90.95666852469246,0.9786711281091139,0.9275845261100402,0.9478000315613909
16,84,6,16,2,2,30,5,True,True,51.64999747648835,48.7600026341776,43.4733306368192,1.188084665239429,1.1216072456358088,0.9440465637268171
16,85,5,16,2,2,100,5,True,True,54.586000042036176,54.097999818623066,46.12399963662028,1.183461982310343,1.1728818022032894,0.9910599746631498
16,86,8,16,1,2,7,5,True,True,632.1285618469119,83.34285978760039,84.51428064810378,7.479547326196106,0.9861393737067835,0.13184479363516605
16,87,3,16,2,2,100,5,True,True,26.369000552222133,28.535000747069716,47.771999379619956,0.5519760716456726,0.5973164430551979,1.0821419147289242
16,88,6,16,2,2,30,5,True,True,70.55666452894607,65.78333365420501,70.07000191758075,1.006945377451791,0.9388230605670898,0.9323475548821786
16,89,3,16,2,2,100,5,True,True,35.761999897658825,35.86299950256944,49.667999846860766,0.7200209391946983,0.7220544337026717,1.0028242157932903
16,90,7,16,2,2,30,5,True,True,99.42000033333898,142.30333423862854,101.48666721458237,0.9796360749843755,1.4021874808219272,1.4313350810853829
16,91,5,16,2,2,30,5,True,True,49.15666844074924,73.43666705613334,40.9800016010801,1.1995282215765857,1.7920123032449515,1.4939309230170854
16,92,4,16,2,2,30,5,True,True,60.356668351838984,65.59666944667697,50.5199966331323,1.1947084793005616,1.2984298063800148,1.086817268711591
16,93,9,16,1,2,7,5,True,True,626.1000110368643,165.51428208393708,118.1142870336771,5.3007982925752986,1.4013061945397438,0.2643575773299127
