n,trials,all_correct,live_k_median,live_k_p90,live_k_max,repr4_count,cm_us_median,bitset_us_median,ratio_median,ratio_p10,ratio_p90,ratio_by_livek_le4,ratio_by_livek_5_7,ratio_by_livek_ge8,count_livek_ge8
16,300,True,5.0,8.0,11,0,45.86,45.7,1.037,0.61,1.342,0.873,1.056,1.123,44
18,300,True,5.0,8.0,10,0,5.68,4.56,1.249,0.952,1.555,1.159,1.276,1.383,47
20,300,True,6.0,9.0,11,0,5.84,4.93,1.179,0.889,1.512,1.06,1.2,1.291,68
22,300,True,6.0,9.0,12,0,5.77,5.13,1.118,0.792,1.43,0.995,1.166,1.23,62
24,300,True,6.0,9.0,12,0,5.74,5.29,1.016,0.778,1.356,0.888,1.052,1.188,60
