n,trial,status,est_bytes,avail_bytes,cm_bigint_us,bs_bigint_us,cm_words_us,bs_words_us,wrapper_us,all_agree,oracle_ok
28,0,ok,2738041651,128000000000,1592456.2,2416283.4,170826.4,268003.4,1563011.3,True,True
28,1,ok,2738041651,128000000000,2503255.2,12899456.9,266389.4,1194245.3,2485360.1,True,True
30,0,ok,11542724608,128000000000,,,946548.0,1920924.2,,True,True
30,1,ok,11542724608,128000000000,,,992504.6,1873172.1,,True,True
32,0,ok,48533130444,128000000000,,,3855592.7,7778044.6,,True,True
