trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
0,24,5,19,15,9,6.154666577155392,2.6183330919593573,2.6396669757862883,0.7516665694614251,2.463666411737601,6.457000272348523,3.5149996013691034
0,32,5,27,15,9,7.5770002634574976,5.542333625877897,1.961000186080734,0.7190000421057144,4.564000216002266,8.218666383375725,5.616000077376763
1,24,7,17,18,9,9.509000228717923,3.8403330836445093,2.949999955793222,0.6556666145722071,2.166666478539507,8.87033335554103,6.559000272924701
1,32,7,25,18,9,11.650666904946167,6.098333202923338,4.084666725248098,0.8850001419583956,4.54533340719839,11.40166656114161,7.566000179698069
2,24,6,18,19,10,10.093000018969178,4.304333512360851,5.2553333807736635,0.7963331881910563,3.4573336597532034,11.290000208343068,4.837666638195515
2,32,6,26,19,10,8.869666683798036,5.691666544104616,4.832666600123048,0.9880001501490673,3.990666785587867,10.105999729906518,4.037000083674988
3,24,3,21,8,5,7.154666818678379,5.038333280632893,2.089333332454165,0.9529998836417993,3.573333378881216,8.725999699284632,5.065333486224214
3,32,3,29,8,5,8.937000141789516,4.384666681289673,1.246333122253418,0.715000011647741,5.077000241726637,5.208333410943547,7.690667019536098
4,24,3,21,8,5,6.512999922658006,3.3579999580979347,1.4689999322096505,0.64466653081278,2.827666855106751,5.584999841327469,5.043999990448356
4,32,3,29,8,5,9.175000013783574,4.596000071614981,1.7306666510800521,0.8363331047197183,5.233999884997805,4.760000156238675,7.444333362703522
5,24,7,17,16,8,5.419666413217783,2.8063333593308926,1.8470000941306353,0.4503332699338595,2.9523333068937063,8.367333405961594,3.5726663190871477
5,32,7,25,16,8,6.953000168626507,4.1856667182097835,2.5506666861474514,0.6366668579479058,3.861999915291866,10.251000057905912,4.402333482479055
6,24,4,20,9,5,5.376666861896713,3.0556666509558754,1.5890000698467095,0.6350001785904169,2.848333291088541,6.239666448285182,3.787666792050004
6,32,4,28,9,5,6.8896667410929995,4.762333507339159,1.783666666597128,0.7846668207397064,4.673333217700322,6.265999982133508,5.106000074495872
7,24,4,20,10,5,4.83833330993851,4.2993334742883835,1.8799999573578436,0.503999957193931,3.0620000325143337,5.608000016460816,2.9583333525806665
7,32,4,28,10,5,8.860000331575671,5.552666649843256,1.8819999725868304,1.2700003571808338,6.28366678332289,6.436000112444162,6.978000358988841
8,24,7,17,18,10,13.21500012030204,4.328666642929117,4.949000043173632,0.858666996161143,3.0436665595819554,10.159000133474668,8.266000077128409
8,32,7,25,18,10,9.736000016952554,6.603666891654332,5.096333334222436,1.0373330830285945,5.959999980404973,12.933000301321346,4.639666682730118
9,24,2,22,5,3,11.557666584849358,8.729333446050683,2.076999905208747,1.2599998929848275,6.5696666327615585,9.579333321501812,9.48066667964061
9,32,2,30,5,3,10.36833350857099,8.766333339735866,1.4183332677930593,0.8473331884791454,7.560333081831535,6.848666428898771,8.95000024077793
10,24,4,20,11,6,8.993000180150073,4.2586668860167265,2.1930000123878317,0.9889997697124878,5.545333648721377,11.991666785130898,6.800000167762241
10,32,4,28,11,6,6.826999985302487,3.9646665876110396,1.2716666484872499,0.7116666529327631,3.4736667294055223,5.51466674854358,5.555333336815238
11,24,7,17,14,7,5.657000001519918,2.726666474093993,1.7239999336500964,0.6736667516330878,2.4590000975877047,6.4473335320750875,3.933000067869822
11,32,7,25,14,7,10.248333370933931,5.780666833743453,1.698666407416264,1.1093332432210445,5.099000021194418,8.53233349819978,8.549666963517668
12,24,3,21,6,3,8.842999814078212,5.897333224614461,1.841000048443675,1.066999975591898,4.640000018601617,9.232333395630121,7.001999765634537
12,32,3,29,6,3,10.331666562706232,8.365666726604104,1.7340000097950299,1.1380001281698544,6.8303333440174665,8.157333359122276,8.597666552911202
13,24,5,19,10,5,8.286666513110202,4.338000047331055,2.5553333883484206,0.8196663111448288,3.1510003221531706,11.316333354140323,5.731333124761781
13,32,5,27,10,5,11.136333535735805,7.925333144764106,2.9413332231342793,1.2850000833471618,5.926666393255194,10.646999968836706,8.195000312601525
14,24,2,22,4,2,4.358999819184342,3.4186666986594596,0.6800001331915458,0.7309997454285622,2.720999764278531,4.337000039716562,3.6789996859927965
14,32,2,30,4,2,7.862999724845092,6.350333569571376,1.1516665108501911,1.069999998435378,4.834999951223533,5.5216668018450346,6.711333213994901
15,24,6,18,16,8,9.315999923273921,4.419999895617366,2.8369998714576163,0.9073336453487475,4.059000251193842,11.493999821444353,6.479000051816305
15,32,6,26,16,8,9.866000230734546,4.2860000394284725,3.0093333528687554,0.7763334239522617,5.234999892612298,9.90999978967011,6.85666687786579
16,24,4,20,8,4,4.685999980817239,4.539000025639932,0.9349997465809187,0.49799991150697076,3.0580000020563602,4.685999980817239,3.75100023423632
16,32,4,28,8,4,9.866999850297967,5.707333330065012,0.9290000889450312,1.1393334716558456,6.0076666219780845,8.187999871249,8.937999761352936
17,24,0,24,15,8,6.356999898950259,5.529000191017985,2.0339999658366046,0.9556665706137816,4.175999977936347,3.405000315979123,4.322999933113655
17,32,0,32,15,8,8.793333157276113,6.676666671410203,1.8203332244108121,0.8633333103110392,6.084333484371503,4.027000007530053,6.9729999328653
18,24,0,24,11,7,5.956999957561493,3.662999952211976,1.8656665148834386,0.7639999967068434,3.0896669098486504,5.131999884421627,4.091333442678055
