n,trials,all_live_all,all_agree,raw_ops_over_cm_ops_median,cm_words_us_median,bitset_words_us_median,cm_over_bitset_median
16,10,True,True,3.1336898395721926,164.44750071968883,308.5500007728115,0.4758200171319995
18,10,True,True,4.350840336134453,369.1675025038421,722.5100009236485,0.5257346970066973
20,8,True,True,4.105263157894736,1252.4428561196796,2281.935719240989,0.5727720625403123
22,6,True,True,5.342934782608696,6595.092850537704,14662.842856653566,0.4812079264918433
24,5,True,True,6.7317073170731705,32325.200038030744,81394.90010216832,0.3971403613427325
26,3,True,True,3.870967741935484,184430.00002298504,353951.3999130577,0.5266484902212198
