n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio,cudd_backend,cudd_is_cudd,cudd_status,cudd_ok,cudd_build_best_us,cudd_build_median_us,cudd_nodes,autoref_backend,autoref_is_cudd,autoref_status,autoref_ok,autoref_build_best_us,autoref_build_median_us,autoref_nodes
16,0,6,2,16,200,True,31.406523194164034,30.925020109862093,1.0155700168533888,dd.cudd,True,ok,True,22.819731384515762,24.884939193725586,13.0,dd.autoref,False,ok,True,122.92992323637009,157.05055557191372,13.0
16,1,3,2,16,200,True,14.8976338095963,13.52568157017231,1.1014331316544894,dd.cudd,True,ok,True,12.610107660293579,16.395002603530884,4.0,dd.autoref,False,ok,True,49.15008321404457,54.304953664541245,4.0
16,2,3,2,16,200,True,4.85770870000124,3.459660802036524,1.4040997016649024,dd.cudd,True,ok,True,10.439660400152206,11.905096471309662,5.0,dd.autoref,False,ok,True,41.79030656814575,49.205031245946884,5.0
16,3,6,2,16,200,True,15.510537195950747,22.428748197853565,0.6915471634495904,dd.cudd,True,ok,True,15.900004655122757,21.40505239367485,12.0,dd.autoref,False,ok,True,106.26018047332764,124.67987835407257,12.0
16,4,2,2,16,200,True,9.503820911049843,15.294735785573721,0.6213785608518994,dd.cudd,True,ok,True,7.1302056312561035,9.029870852828026,3.0,dd.autoref,False,ok,True,24.380162358283997,28.32501195371151,3.0
16,5,4,2,16,200,True,10.599121451377869,10.560324881225824,1.0036738046024527,dd.cudd,True,ok,True,7.939990609884262,8.50483775138855,5.0,dd.autoref,False,ok,True,69.05104964971542,78.06997746229172,5.0
16,6,6,2,16,200,True,26.83436032384634,25.52645979449153,1.0512370512748128,dd.cudd,True,ok,True,15.959609299898148,20.0753565877676,14.5,dd.autoref,False,ok,True,128.80098074674606,140.27534052729607,14.5
16,7,2,2,16,200,True,9.72737092524767,15.685884281992912,0.6201353236052175,dd.cudd,True,ok,True,7.260125130414963,8.670147508382797,3.0,dd.autoref,False,ok,True,21.98014408349991,26.919879019260406,3.0
16,8,3,2,16,200,True,10.812876280397177,16.581839881837368,0.6520914661732365,dd.cudd,True,ok,True,8.91042873263359,10.709976777434349,4.0,dd.autoref,False,ok,True,41.319988667964935,50.45998841524124,4.0
16,9,6,2,16,200,True,29.219016432762146,27.78361551463604,1.0516635755116162,dd.cudd,True,ok,True,13.050157576799393,16.789883375167847,11.0,dd.autoref,False,ok,True,89.17972445487976,109.03063230216503,11.0
16,10,4,2,16,200,True,20.771201234310865,19.526996184140444,1.0637171758747486,dd.cudd,True,ok,True,8.49040225148201,9.620096534490585,7.0,dd.autoref,False,ok,True,57.59997293353081,63.05496208369732,7.0
16,11,2,2,16,200,True,9.507820941507816,8.274819701910019,1.1490064175432357,dd.cudd,True,ok,True,6.12996518611908,7.514841854572296,3.0,dd.autoref,False,ok,True,19.56988126039505,23.395288735628128,3.0
16,12,8,2,16,40,True,53.65363322198391,52.12087417021394,1.029407777136745,dd.cudd,True,ok,True,13.910233974456787,14.379853382706642,15.0,dd.autoref,False,ok,True,154.95996922254562,167.20546409487724,15.0
16,13,5,2,16,200,True,19.896794110536575,18.476289696991444,1.0768825579616472,dd.cudd,True,ok,True,10.870397090911865,12.419885024428368,6.0,dd.autoref,False,ok,True,82.90121331810951,101.73511691391468,6.0
16,14,7,2,16,200,True,12.18387857079506,11.142524890601635,1.093457604126312,dd.cudd,True,ok,True,11.340249329805374,12.674834579229355,11.5,dd.autoref,False,ok,True,107.08998888731003,127.55603529512882,11.5
16,15,8,2,16,200,True,30.72161925956607,28.632564935833216,1.0729607818375515,dd.cudd,True,ok,True,16.320031136274338,18.185703083872795,12.5,dd.autoref,False,ok,True,187.87989392876625,216.46101959049702,12.5
16,16,5,2,16,200,True,35.29412904754281,33.66467542946339,1.048402475214519,dd.cudd,True,ok,True,11.879950761795044,13.069948181509972,11.0,dd.autoref,False,ok,True,108.64995419979095,121.99487537145615,11.0
16,17,5,2,16,200,True,22.3610014654696,20.85440093651414,1.0722437692428528,dd.cudd,True,ok,True,9.709969162940979,11.344905942678452,8.0,dd.autoref,False,ok,True,78.89000698924065,87.71009743213654,8.0
16,18,7,2,16,200,True,29.587470926344395,28.19161396473646,1.0495131979089223,dd.cudd,True,ok,True,14.910008758306503,16.985228285193443,12.5,dd.autoref,False,ok,True,149.98018741607666,179.97040413320065,12.5
16,19,2,2,16,200,True,15.659285709261892,15.843641012907028,0.9883640822526242,dd.cudd,True,ok,True,7.139984518289566,7.850117981433868,3.0,dd.autoref,False,ok,True,38.35977986454964,41.37004725635052,3.0
16,20,2,2,16,200,True,13.091631699353456,18.457542173564434,0.7092835858776348,dd.cudd,True,ok,True,7.049646228551865,8.54511745274067,3.0,dd.autoref,False,ok,True,33.561140298843384,35.85987724363804,3.0
16,21,5,2,16,200,True,18.79264134913683,17.393489833921194,1.0804411034573969,dd.cudd,True,ok,True,12.150034308433533,15.374971553683281,10.5,dd.autoref,False,ok,True,73.78030568361282,94.09082122147083,10.5
16,22,3,2,16,200,True,8.075220976024866,6.590515840798616,1.2252790481186884,dd.cudd,True,ok,True,6.0801394283771515,7.250113412737846,4.0,dd.autoref,False,ok,True,26.110094040632248,34.30037759244442,4.0
16,23,6,2,16,200,True,37.888940423727036,36.376731004565954,1.0415707892765644,dd.cudd,True,ok,True,18.639955669641495,20.7400880753994,8.0,dd.autoref,False,ok,True,170.969869941473,185.7704482972622,8.0
16,24,8,2,16,200,True,18.551943358033895,17.07659102976322,1.0863961856145201,dd.cudd,True,ok,True,13.309996575117111,18.810154870152473,17.0,dd.autoref,False,ok,True,114.60017412900925,136.24015264213085,17.0
16,25,7,2,16,200,True,32.19132078811526,30.514420941472054,1.054954339453453,dd.cudd,True,ok,True,16.74983650445938,18.80503259599209,8.5,dd.autoref,False,ok,True,148.70986342430115,161.33044846355915,8.5
16,26,6,2,16,200,True,34.510474652051926,34.00258021429181,1.014936938154671,dd.cudd,True,ok,True,14.360062777996063,17.129816114902496,11.0,dd.autoref,False,ok,True,122.31012806296349,132.37539678812027,11.0
16,27,3,2,16,200,True,7.6405657455325136,20.173199009150267,0.3787483453698576,dd.cudd,True,ok,True,10.509975254535675,11.350028216838837,5.0,dd.autoref,False,ok,True,52.381306886672974,58.51523019373417,5.0
16,28,8,2,16,200,True,32.00387582182884,30.453719664365053,1.0509020301804932,dd.cudd,True,ok,True,16.46997407078743,19.219936802983284,20.0,dd.autoref,False,ok,True,150.5608670413494,179.25561405718327,20.0
16,29,6,2,16,200,True,34.11697456613183,35.93498142436147,0.9494084375121687,dd.cudd,True,ok,True,17.420388758182526,20.549865439534187,11.5,dd.autoref,False,ok,True,120.78974395990372,137.86554336547852,11.5
16,30,5,2,16,200,True,39.03878619894385,37.29593474417925,1.0467303331239501,dd.cudd,True,ok,True,16.34005457162857,18.069986253976822,9.5,dd.autoref,False,ok,True,107.8103668987751,133.59985314309597,9.5
16,31,11,2,16,200,True,34.301779232919216,32.844324596226215,1.0443746265027616,dd.cudd,True,ok,True,20.40015533566475,25.070039555430412,26.0,dd.autoref,False,ok,True,222.45105355978012,285.0655000656843,26.0
16,32,3,2,16,200,True,4.347560461610556,10.074225720018148,0.4315528143241487,dd.cudd,True,ok,True,5.320180207490921,6.295274943113327,4.0,dd.autoref,False,ok,True,30.269846320152283,34.315045922994614,4.0
16,33,3,2,16,200,True,10.998176876455545,16.564191319048405,0.6639730648249588,dd.cudd,True,ok,True,9.329989552497864,10.789837688207626,4.0,dd.autoref,False,ok,True,37.579797208309174,43.19031722843647,4.0
16,34,8,2,16,200,True,25.381860323250294,24.03495367616415,1.0560394941980642,dd.cudd,True,ok,True,12.170057743787766,16.069971024990082,15.0,dd.autoref,False,ok,True,111.69025674462318,131.49017468094826,15.0
16,35,5,2,16,200,True,13.663729187101126,12.26307824254036,1.114216913311532,dd.cudd,True,ok,True,10.159797966480255,11.045252904295921,8.0,dd.autoref,False,ok,True,79.85113188624382,91.65494702756405,8.0
16,36,3,2,16,200,True,17.429389990866184,16.07828540727496,1.0840328772233316,dd.cudd,True,ok,True,8.299946784973145,9.630108252167702,4.0,dd.autoref,False,ok,True,33.670105040073395,43.68484951555729,4.0
16,37,7,2,16,200,True,31.957475002855062,31.73526842147112,1.0070018812644927,dd.cudd,True,ok,True,14.740042388439178,15.869969502091408,11.0,dd.autoref,False,ok,True,154.1096717119217,163.26061449944973,11.0
16,38,3,2,16,200,True,20.676350686699152,19.253594800829887,1.0738955971903978,dd.cudd,True,ok,True,8.319970220327377,10.940246284008026,4.0,dd.autoref,False,ok,True,46.41013219952583,53.65977995097637,4.0
16,39,5,2,16,200,True,18.075138796120882,30.640370678156618,0.5899125368286281,dd.cudd,True,ok,True,13.410113751888275,14.350051060318947,7.0,dd.autoref,False,ok,True,89.12011981010437,97.52041660249233,7.0
16,40,4,2,16,200,True,10.729024652391672,16.45053504034877,0.6521991306712056,dd.cudd,True,ok,True,7.919967174530029,8.929986506700516,6.0,dd.autoref,False,ok,True,48.14984276890755,58.774836361408234,6.0
16,41,1,2,16,200,True,1.9684061408042908,7.857615128159522,0.2505093604992267,dd.cudd,True,ok,True,2.4801120162010193,3.149965777993202,2.0,dd.autoref,False,ok,True,8.330214768648148,9.234994649887085,2.0
16,42,1,2,16,200,True,1.940454822033644,7.918665651232005,0.2450482072988829,dd.cudd,True,ok,True,2.6402994990348816,3.1548552215099335,2.0,dd.autoref,False,ok,True,8.230097591876984,8.609844371676445,2.0
16,43,8,2,16,200,True,17.452090978622437,16.014035791158676,1.0897996736249151,dd.cudd,True,ok,True,13.610348105430603,14.314893633127213,25.0,dd.autoref,False,ok,True,137.83015310764313,189.02518786489964,25.0
16,44,5,2,16,200,True,16.01828495040536,14.536879025399685,1.1019067381944416,dd.cudd,True,ok,True,6.299931555986404,7.185153663158417,8.5,dd.autoref,False,ok,True,55.17993122339249,71.37516513466835,8.5
16,45,3,2,16,200,True,16.83569047600031,15.531335957348347,1.083982119904813,dd.cudd,True,ok,True,6.590038537979126,7.390044629573822,4.5,dd.autoref,False,ok,True,31.119678169488907,39.13533873856068,4.5
16,46,7,2,16,200,True,27.552114333957434,26.166760362684727,1.0529432742942186,dd.cudd,True,ok,True,11.119991540908813,12.489967048168182,10.0,dd.autoref,False,ok,True,104.87018153071404,121.16995640099049,10.0
16,47,5,2,16,200,True,21.821199916303158,20.386043470352888,1.070398969178958,dd.cudd,True,ok,True,11.119991540908813,12.864824384450912,8.0,dd.autoref,False,ok,True,73.45015183091164,90.0097656995058,8.0
16,48,6,2,16,200,True,13.67832999676466,11.968379840254784,1.1428723168326078,dd.cudd,True,ok,True,12.720003724098206,14.43503424525261,13.0,dd.autoref,False,ok,True,122.76973575353622,147.36037701368332,13.0
