n_vars,cm_reduced_cached_us,bitset_matched_cached_us,cm_over_bitset_ratio,bitset_full_output_ms,oracle_eval_expr_tt_ms,dd_autoref_build_ms,cudd_run,notes
16,123.8,73.5,1.68,0.126,3.2,0.227,NO (Windows; CUDD absent),CM full output (repr 1/2)
18,29.8,16.6,1.8,0.463,16.6,0.266,NO (Windows; CUDD absent),"CM reduced output (repr 3/4), guard active"
20,16.4,16.4,1.0,1.373,86.8,0.167,NO (Windows; CUDD absent),"CM reduced output (repr 3/4), guard active"
22,19.6,11.7,1.67,5.247,491.0,not-run-at-this-n,NO (Windows; CUDD absent),"CM reduced output (repr 3/4), guard active"
24,19.7,19.3,1.02,37.48,2353.6,not-run-at-this-n,NO (Windows; CUDD absent),"CM reduced output (repr 3/4), guard active"
