family,rows,actually_all_live_count,semantic_live_k_median,raw_ops_over_cm_ops_median,cm_over_bitset_ratio_median,corr_compression_vs_bitset_advantage,corr_log_compression_vs_log_advantage
fable_claimed_all_live,29,4,16,4.352941176470588,0.538316582914573,0.9451088819196016,0.9271832574610968
sparse_depth4,1500,,,1.1180555555555556,1.1178109858893532,0.5456064036633919,0.5776092404410959
