ambient_n,trials,live_k_median,fixed_count_median,full_raw_us_median,bind_hit_us_median,prebound_eval_us_median,prekey_lookup_us_median,key_sort_hash_us_median,cm_wrapper_us_median,full_minus_prebound_us_median
24,200,5.0,19.0,7.082999800331891,3.3696667136003575,2.423833357170224,0.6423331797122955,2.8386665508151054,7.853333372622728,4.581666629140576
32,200,5.0,27.0,8.90866678673774,4.865166653568546,2.3466666849950952,0.8055003127083182,4.388833379683396,7.727833193105956,6.289666634984314
delta_32_minus_24,200,,8,1.8256669864058495,1.4954999399681888,-0.07716667217512896,0.1631671329960227,1.5501668288682904,-0.12550017951677273,1.9028336585809784
