trial,live_k,output_k,reps,t7_us,t16_us,t16_over_t7
0,12,12,30,669.7233339461188,28.113333974033594,0.041977533929399256
1,15,15,7,1538.7142941887892,130.32856596899882,0.08469965247038151
2,14,14,7,1094.9142909209645,110.05713271775417,0.1005166647566376
3,15,15,7,1383.714294726295,203.1714123274599,0.14683046428139135
4,14,14,7,903.3285646832414,55.314291135541026,0.06123385587273815
5,14,14,7,1091.9142847082444,78.07142433843441,0.0714995906105348
6,13,13,7,771.2428424773473,37.68571852041143,0.04886362173470456
7,15,15,7,1239.3285620159336,115.94285855868034,0.09355296255747046
8,3,3,100,5.47099974937737,4.563999827951193,0.8342167861496614
9,16,16,7,1693.2428614901646,224.95714282350883,0.13285580464549063
10,14,14,7,1171.4714346453547,111.94286136222738,0.09555748271072131
11,15,15,7,1537.0000120518462,212.0285727349775,0.1379496233392517
12,8,8,7,480.1571402432663,14.414279056446894,0.030019920247659045
13,14,14,7,922.1142889665705,56.02856565799031,0.06076097760157529
14,11,11,7,479.17143508259744,32.28571066366774,0.06737820391589594
15,10,10,30,483.5699995358785,13.266666792333126,0.02743484253586084
16,9,9,30,415.20666563883424,9.49666912977894,0.02287214998142534
17,12,12,7,763.4714378842286,31.87142179480621,0.041745401613359545
18,10,10,7,400.057145660477,11.514290235936642,0.028781613729026257
19,13,13,7,670.1428542977997,26.028570053832873,0.0388403306651782
20,11,11,30,600.4366635655364,24.45333326856295,0.04072591624127883
21,12,12,7,527.9428525162596,22.00000121125153,0.04167117919372528
23,15,15,7,1763.8999935505644,245.91427895107438,0.13941509147356598
24,14,14,7,1221.9857224928483,98.37142923580748,0.08050129181143785
25,12,12,30,508.1466670768957,29.3366649808983,0.05773267224137653
26,8,8,7,432.71428772381375,16.928567284984247,0.039121812626139015
28,15,15,7,1293.971436098218,82.28572551161051,0.06359160891505543
29,12,12,7,485.9999919842396,34.59999736930642,0.07119341139912705
30,13,13,7,670.0999968286071,55.68570590444973,0.08310059120727407
31,16,16,7,1804.8000056296587,271.71427583588024,0.1505509059110871
32,14,14,7,1143.1571495320118,74.40000107245785,0.06508291629275634
34,15,15,7,1329.771425974156,125.58572260396822,0.09444158608835153
35,14,14,7,1173.0571443747199,65.24285501135248,0.05561779775539339
36,11,11,7,410.59999992804865,13.014285026916436,0.031695774547484144
37,13,13,7,634.8999948906046,66.21427434895719,0.10429087239222003
38,12,12,7,626.2571384598102,21.985715388187337,0.03510653058942858
39,5,5,100,9.841000428423285,10.788999497890472,1.0963315748599225
40,14,14,7,1015.3999984530466,65.44285653425115,0.06445032168007957
42,14,14,7,1185.8285704095447,117.85714221852166,0.09938801034100386
43,12,12,7,681.2285698418107,27.371420791106566,0.04017949628487034
44,16,16,7,1164.471431236182,285.9999991155097,0.24560499420058524
45,12,12,7,893.3285716921091,33.771419631583356,0.03780402944866614
46,7,7,100,15.764000127092006,15.396999660879374,0.9767190774388599
47,16,16,7,1273.299999801176,291.3714353261249,0.22883172494433532
48,10,10,7,423.98571635463406,14.157134241291455,0.033390592407245186
49,11,11,7,529.2571316074047,18.9714233524033,0.03584538066550991
50,16,16,7,1511.1571410670877,221.11428968076194,0.14632117578759837
51,12,12,30,504.8433318734169,30.306664605935413,0.060031821146316396
52,11,11,30,530.0166667439044,18.2966662881275,0.034520926295640735
53,7,7,100,8.33700061775744,8.75400030054152,1.05001795032807
54,12,12,7,365.80000804471115,22.442861726241453,0.0613528191161174
55,13,13,7,660.3857202987585,51.6428512388042,0.07820104168127828
56,12,12,7,794.2714229492206,45.67142709025315,0.05750103273345769
57,4,4,100,8.359000785276294,5.632999818772078,0.6738843509494763
58,14,14,7,802.4285613958325,68.9714215695858,0.0859533482327814
59,5,5,100,7.673000218346716,9.559999452903867,1.2459271707102517
60,16,16,7,1768.82856924619,203.94286340368643,0.11529826403165763
61,8,8,7,476.6857185001884,15.400000847876072,0.032306402835666215
62,15,15,7,1563.8857148587704,154.88571287798032,0.09903902274084496
63,14,14,7,1029.2000037484936,56.49999781910863,0.05489700506541737
64,13,13,7,652.4571383904133,29.271418627883705,0.04486335868758394
65,15,15,7,984.6285684034228,67.22858441727502,0.06827811681950921
66,14,14,7,880.7714330032468,68.14286046262299,0.07736724638112984
67,13,13,7,985.4857177872742,69.7714276611805,0.07079902468585676
68,9,9,30,562.4966657099624,19.30999957645933,0.034329091625968956
69,11,11,30,509.03999945148826,15.51666452238957,0.030482210708607224
70,13,13,7,551.7857082720313,40.60000979474613,0.07357930657879644
71,10,10,7,262.2857157673154,15.771415616784777,0.06013066922323843
72,5,5,100,9.589999681338668,5.726999370381236,0.5971845214474297
75,9,9,30,278.59666539976996,7.3100013347963495,0.026238653374787972
76,14,14,7,839.2142896939602,78.28571168439728,0.09328453131195617
77,11,11,30,382.15666621302563,18.726665681848925,0.049002588041759075
78,15,15,7,971.1571536692124,126.88571587204933,0.13065415354523363
79,14,14,30,669.8533310554922,55.15333032235503,0.0823364276407338
80,13,13,7,748.4857259052139,49.8428541634764,0.06659158944306756
81,16,16,7,1513.0285672577365,195.65713591873646,0.12931489870898602
82,4,4,100,8.698999881744385,9.938000002875924,1.1424301802476962
83,8,8,30,408.1466662076612,12.47999801610907,0.03057723864822496
84,5,5,100,10.95699961297214,10.878000175580382,0.9927900483542749
