corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k6-andor_dom-tree-2-eff74425a5c6,6,6,andor_dom,tree,flat,4,4,8,7,8,8,7,8,8,2339.5,21001.5,2628.0,2372.0,0.890220700152207,7.991438356164384,0.9862984822934233,8.853920741989882,1.1079258010118045,2303.5,11393.5,2713.5,12901.0,2359.5,11116.0,cad6be77a54376f1a05420a4bc3d4683a92d6e8e364fbca00e2996debd78f326,cad6be77a54376f1a05420a4bc3d4683a92d6e8e364fbca00e2996debd78f326,True,100,24
b2,b2-k6-andor_dom-tree-3-d47d0c96cf7f,6,6,andor_dom,tree,flat,5,5,7,8,9,9,7,8,8,2653.5,22740.0,2946.0,2469.0,0.9007128309572301,7.718940936863544,1.074726609963548,9.210206561360875,1.1931956257594167,2501.5,10882.5,2869.0,12158.5,2369.5,11335.0,50914e4773046b53f84ce0f6f4539f4b538cc3fe27541eabae848d1b199cf00b,50914e4773046b53f84ce0f6f4539f4b538cc3fe27541eabae848d1b199cf00b,True,100,24
b2,b2-k6-andor_dom-tree-4-9dc0cd28326c,6,6,andor_dom,tree,flat,5,5,8,8,8,8,8,8,8,2772.5,24719.0,3115.5,2568.5,0.8899053121489328,7.9341999679024235,1.0794237882032314,9.623905002919992,1.2129647654272921,2405.0,12052.0,2685.0,12074.5,2183.0,10737.0,c9b8b2d93f46839e42d4fa0c013558ab346efeafcd9458aa0784a14e80460c26,c9b8b2d93f46839e42d4fa0c013558ab346efeafcd9458aa0784a14e80460c26,True,100,24
b2,b2-k6-andor_dom-shared-1-b8d344418390,6,6,andor_dom,shared,flat,10,13,29,18,21,36,15,18,29,4132.5,25135.0,5271.0,6240.5,0.7840068298235628,4.768544868146462,0.6622065539620223,4.027722137649227,0.8446438586651711,3802.5,18956.0,4814.0,22494.0,5913.0,30976.0,3e990d45c83fa01d9bf0c64b79ed7678df3c723614f0f7eccdc3d196fa3073e9,3e990d45c83fa01d9bf0c64b79ed7678df3c723614f0f7eccdc3d196fa3073e9,True,100,24
b2,b2-k6-andor_dom-shared-2-64893da6cbd9,6,6,andor_dom,shared,flat,8,12,43,16,21,48,14,19,44,3411.5,23715.5,4683.5,7920.5,0.7284082416995836,5.0636276289100035,0.43071775771731585,2.9941922858405405,0.5913136796919386,3426.0,19281.5,4693.5,24310.0,8376.5,49891.5,46386ff0eccd7a7871daa3122b418bbf8e0d0180eca74808a53b2c3ed970f50e,46386ff0eccd7a7871daa3122b418bbf8e0d0180eca74808a53b2c3ed970f50e,True,100,24
b2,b2-k6-andor_dom-shared-3-a125454cd529,6,6,andor_dom,shared,flat,6,8,21,15,18,25,13,16,22,3035.5,22504.5,3845.5,4718.5,0.7893641919126252,5.852164868027565,0.6433188513298718,4.769418247324362,0.814983575288757,2979.5,18863.0,3995.0,22853.5,4855.5,26096.5,3f710ac088db33363087de2b9a657541fe5447821debaa9fe5cbd538eb1a5f29,3f710ac088db33363087de2b9a657541fe5447821debaa9fe5cbd538eb1a5f29,True,100,24
b2,b2-k6-andor_dom-shared-4-0dd35386d57d,6,6,andor_dom,shared,flat,7,7,20,15,16,22,14,15,21,3284.5,22155.0,3631.5,4180.5,0.9044471981274955,6.100784799669558,0.7856715703863174,5.299605310369573,0.868675995694295,3299.0,20762.5,3711.5,22551.0,4289.5,26489.0,1656c269d0236784b54b17c8ef8406cea69739a8e3a204b3cbb8bfa53449f35b,1656c269d0236784b54b17c8ef8406cea69739a8e3a204b3cbb8bfa53449f35b,True,100,24
b2,b2-k6-impeqv_dom-tree-1-c05059f5591f,6,6,impeqv_dom,tree,flat,5,5,5,13,13,13,9,9,9,2753.0,22176.0,2994.5,2671.0,0.9193521456002671,7.405576890966772,1.0307001123174842,8.302508423811307,1.121115687008611,2706.0,12798.0,3005.5,12713.0,2635.0,12313.5,7524471d915b02b29cef6bb1183791a371f6ace366b980da3b4594da2e301b21,7524471d915b02b29cef6bb1183791a371f6ace366b980da3b4594da2e301b21,True,100,24
b2,b2-k6-impeqv_dom-tree-2-187a6f599749,6,6,impeqv_dom,tree,flat,8,8,8,20,20,20,13,13,13,3447.5,22301.0,3745.5,3355.5,0.92043785876385,5.95407822720598,1.027417672478021,6.64610341230815,1.116227089852481,3371.5,15795.0,3624.5,16094.0,3296.0,15850.0,1e13d706fb3dda034bfb6bd79f1f24f0a35baa6c661823432c53d2ac2c6be21a,1e13d706fb3dda034bfb6bd79f1f24f0a35baa6c661823432c53d2ac2c6be21a,True,100,24
b2,b2-k6-impeqv_dom-tree-3-9df370a422d4,6,6,impeqv_dom,tree,flat,9,9,9,22,22,22,15,15,15,3683.5,22068.5,3950.0,3473.0,0.9325316455696202,5.586962025316455,1.0606104232651885,6.354304635761589,1.1373452346674344,3617.0,18307.5,3883.5,18479.5,3375.0,18345.0,28a94295a090f24e443f2d252b023381603f14ffb2377f65b6be6020665e3e9a,28a94295a090f24e443f2d252b023381603f14ffb2377f65b6be6020665e3e9a,True,100,24
