corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-andor_dom-tree-3-269b85d31c4b,4,4,andor_dom,tree,flat,3,3,3,5,5,5,4,4,4,3303.0,30324.43,3736.405,2873.665,0.8840048121121773,8.115937645945769,1.1494032881355343,10.552527869462864,1.3002228861053742,3250.025,3311.715,3880.9700000000003,3820.5299999999997,2712.07,2902.6,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,100,24
b2,b2-k4-andor_dom-tree-4-d96f9fff14ea,4,4,andor_dom,tree,flat,5,5,5,5,5,5,5,5,5,4316.27,31390.93,4743.21,3203.6,0.9099892267051217,6.618077209316054,1.347318641528281,9.79864215257835,1.4805874641028842,4092.935,4267.799999999999,4706.955,4661.44,2923.0299999999997,3094.09,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,True,100,24
b2,b2-k4-andor_dom-shared-1-17ce9f3e12c6,4,4,andor_dom,shared,flat,7,8,22,15,16,26,14,15,24,5657.735000000001,32628.89,6510.51,7340.51,0.8690156377918167,5.011725655900997,0.7707550292827066,4.44504400920372,0.8869288373696106,5432.45,5587.735000000001,6535.055,6476.415,7093.34,7240.855,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,True,100,24
b2,b2-k4-andor_dom-shared-2-f7cba4ce652b,4,4,andor_dom,shared,flat,6,7,15,10,12,15,10,12,15,5213.07,32201.795,6139.21,5554.775,0.8491434565685161,5.245266899161292,0.9384844570662179,5.797137597832496,1.1052130824380826,4889.485000000001,5102.5,6131.14,6101.145,5229.889999999999,5465.65,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,True,100,24
b2,b2-k4-andor_dom-shared-3-44c5bbe1b3b1,4,4,andor_dom,shared,flat,7,8,26,11,16,31,9,14,26,4934.094999999999,32352.27,6011.365,7927.1849999999995,0.8207944451884055,5.381850877462939,0.6224271289240758,4.081180141500419,0.7583227841913618,4916.57,5071.455,6319.275,6358.280000000001,7743.415,8088.73,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,True,100,24
b2,b2-k4-andor_dom-shared-4-f79caff75ff2,4,4,andor_dom,shared,flat,5,6,19,8,11,19,8,11,19,4898.594999999999,36074.755000000005,6070.049999999999,6667.7,0.807010650653619,5.943073780281877,0.7346753753168258,5.410374641930502,0.9103663932090525,4651.68,4840.86,6032.5,5961.645,6288.385,6572.055,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,True,100,24
b2,b2-k4-impeqv_dom-tree-1-d73fd085a946,4,4,impeqv_dom,tree,flat,3,3,3,9,9,9,6,6,6,3374.96,33459.53,3858.49,3387.2250000000004,0.8746841380954726,8.671664303911633,0.996379041841035,9.878153946076802,1.1391301138837837,3187.335,3353.38,3869.75,3804.205,3134.55,3348.22,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,True,100,24
b2,b2-k4-impeqv_dom-tree-2-cf78873f00c4,4,4,impeqv_dom,tree,flat,4,4,4,12,12,12,8,8,8,3699.05,34130.08,4247.67,3730.145,0.8708421322748707,8.035012136065184,0.9916638629329423,9.149799806709927,1.1387412553667484,3406.3599999999997,3621.9849999999997,4111.57,4044.615,3393.99,3591.185,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,True,100,24
b2,b2-k4-impeqv_dom-tree-3-0dc01f652163,4,4,impeqv_dom,tree,flat,3,5,5,5,11,11,4,8,8,3526.94,33325.185,4677.87,3792.54,0.7539628078591325,7.124008362780496,0.9299677788500583,8.787035865145786,1.2334398582480344,3338.305,3537.36,4835.0,4760.735,3556.13,3787.58,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,True,100,24
b2,b2-k4-impeqv_dom-tree-4-0bc2267938a0,4,4,impeqv_dom,tree,flat,3,3,3,9,9,9,6,6,6,3287.9300000000003,32866.74,3725.8900000000003,3362.4449999999997,0.8824549302314346,8.821178295655534,0.9778390427204016,9.77465505011978,1.1080895003487048,3070.6000000000004,3220.2799999999997,3617.325,3552.58,2933.35,3118.7299999999996,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,True,100,24
b2,b2-k4-impeqv_dom-shared-1-093bd06ebf38,4,4,impeqv_dom,shared,flat,13,13,39,30,30,73,21,21,51,7196.4400000000005,36491.325,7777.415,13405.105,0.9252997300516946,4.691960632163771,0.5368432399447823,2.7221961334879508,0.5801830720460601,7179.3150000000005,7349.870000000001,8100.755,8048.07,13194.29,13623.13,6bad351a721281983a6e1f281d7336daf4112fd879642799cf6db6b2c12452a7,6bad351a721281983a6e1f281d7336daf4112fd879642799cf6db6b2c12452a7,True,100,24
b2,b2-k4-impeqv_dom-shared-2-85e742aeb5d6,4,4,impeqv_dom,shared,flat,11,12,21,28,30,55,19,21,38,6562.49,37650.115,7743.91,10142.06,0.8474388261227209,4.861899867121389,0.6470569095430317,3.712274922451652,0.7635440926202369,6336.905000000001,6549.32,7484.575,7573.8099999999995,9443.015,9899.85,29e6cfa2a6ac59fbab9d5c4d6d564f4255760cf51fd7457a3e7fe343d48ef318,29e6cfa2a6ac59fbab9d5c4d6d564f4255760cf51fd7457a3e7fe343d48ef318,True,100,24
b2,b2-k4-impeqv_dom-shared-3-8552cadc9761,4,4,impeqv_dom,shared,flat,15,15,26,41,41,72,28,28,49,8182.82,38433.89,8863.645,12090.580000000002,0.9231890492004136,4.3361269545429675,0.676793007448774,3.1788293034742745,0.7331033746933563,7598.344999999999,7905.555,8499.79,8397.8,11201.8,11381.815,5eac72d678bc6b54f36eebba0a3a7394388c0d248b38358a45456a92e9fc5724,5eac72d678bc6b54f36eebba0a3a7394388c0d248b38358a45456a92e9fc5724,True,100,24
b2,b2-k4-impeqv_dom-shared-4-f61110d6fca7,4,4,impeqv_dom,shared,flat,5,15,27,14,44,80,9,29,53,3896.3900000000003,33276.91,8097.74,12094.79,0.4811700548548114,4.10940706913287,0.3221544152482185,2.751342520209115,0.6695229929581249,3475.46,3649.2200000000003,7763.195,7707.805,11322.880000000001,11539.105,af35cf33330c8003d7af1221cd460af6401a1f4936caf864fc5772657e3ca072,af35cf33330c8003d7af1221cd460af6401a1f4936caf864fc5772657e3ca072,True,100,24
b2,b2-k4-mixed-tree-1-6a5b06e30521,4,4,mixed,tree,flat,6,6,6,7,7,7,6,6,6,4603.4,33161.18,5026.835,3482.32,0.915765088768579,6.59683080904784,1.3219348020859656,9.52272622849135,1.4435304624503205,4349.43,4534.450000000001,5003.5599999999995,4969.75,3161.74,3340.06,e9af142af8c43e431b89ecd40f29bbd8c1068cad8afec9b8b07d2e0e9768edf6,e9af142af8c43e431b89ecd40f29bbd8c1068cad8afec9b8b07d2e0e9768edf6,True,100,24
b2,b2-k4-mixed-tree-2-39dcef306168,4,4,mixed,tree,flat,7,7,7,13,13,13,9,9,9,4776.01,33397.59,5196.09,4040.705,0.9191545950897695,6.427446406817433,1.181974432679446,8.265287864370203,1.28593648880579,4499.65,4693.19,5196.64,5142.01,3731.8,3936.46,d6702270d176bac32f4c82874128788420408e580e7c3a1be862bbfe2fb1a632,d6702270d176bac32f4c82874128788420408e580e7c3a1be862bbfe2fb1a632,True,100,24
