corpus,live_k,ambient_n,current_engine,n,cm_current_over_cse_flat_current_geomean,cm_current_over_cse_flat_current_median,cm_current_over_cse_flat_current_min,cm_current_over_cse_flat_current_max,cm_wrapper_over_cse_flat_current_geomean,cm_wrapper_over_cse_flat_current_median,cm_wrapper_over_cse_flat_current_min,cm_wrapper_over_cse_flat_current_max,cm_current_over_raw_current_geomean,cm_current_over_raw_current_median,cm_current_over_raw_current_min,cm_current_over_raw_current_max,cm_wrapper_over_raw_current_geomean,cm_wrapper_over_raw_current_median,cm_wrapper_over_raw_current_min,cm_wrapper_over_raw_current_max,cse_flat_current_over_raw_current_geomean,cse_flat_current_over_raw_current_median,cse_flat_current_over_raw_current_min,cse_flat_current_over_raw_current_max
b2,4,4,flat,32,0.8245139842903939,0.8522401215904867,0.44530381576443806,0.9397274056897648,4.837483228375137,4.899601534387086,2.9534003398170063,6.92803713377702,0.8536378758917912,0.9151284274962224,0.30709678310473904,1.3036858230433572,5.008355208536913,5.542047118512057,2.036766161595234,8.891940243262972,1.0353224956232396,1.1334650320062236,0.6175071915411927,1.484889811589545
b2,6,6,flat,32,0.86078153772096,0.8798666516696898,0.5393099527906219,1.1913423871020108,4.0644732701937,4.122516263845725,2.7136010819710688,6.851381734129582,0.8303117215677585,0.8976430173450871,0.24812699141717143,1.1606316670625898,3.920599653166205,4.373465272817631,1.446337387133093,7.4819072512507185,0.9646021495374137,0.9774180735686429,0.46008235177796275,1.2890284630502604
b2,8,8,flat,32,0.8911070594539894,0.9059885122113032,0.7104176725029806,0.9445344886357389,3.569532384015076,3.6525987760741847,2.6407900861576836,4.752978683564763,0.9034149665081322,0.9718974155395863,0.5161999334175755,1.256925021815497,3.618834510334365,3.5419644578112255,1.7164834633600496,6.0783420042859575,1.0138119285708322,1.063469637561389,0.6465292321954396,1.3826661893361378
b2,10,10,flat,32,0.8915854425248912,0.9113519597031051,0.6606388877041839,0.9575537335695908,3.1091508318538286,3.0259188149227483,1.9571391365083872,5.016750383556461,0.8748431731304538,0.8600322163081253,0.527561673249954,1.238381374722838,3.0507669256883987,3.0042487228667145,1.3245747570326334,5.519578713968958,0.9812219125661981,0.9872077494992606,0.6376897936951045,1.3845011086474501
b2,12,12,flat,32,0.9243874649556103,0.9459086113674389,0.683305150075846,0.984258882487739,2.318751385140903,2.3393370892542182,1.5390976667010958,3.5368962053717015,0.8158327928046242,0.8761536445696694,0.3018844604114996,1.1242767457032545,2.0464507471982376,2.0670942115657143,0.8463811823128243,3.837317004504505,0.88256583276343,0.9382126675978613,0.44180035870941514,1.2004256638966428
b2,16,16,words,32,0.9740816274014159,0.9924307728497341,0.8455885566124309,1.0124770089597832,1.3011541786707155,1.311656758336868,1.0821506662816123,1.4610536113556116,0.7887168368479471,0.8542799166647804,0.43776282921780973,1.0119493190863216,1.05354846984476,1.1214573418932423,0.5511815987371064,1.4337824286891512,0.8097030214521431,0.8588711871893948,0.5093390559292695,1.0135500480704087
b4,8,16,flat,8,0.8826759757548226,0.9164698962550832,0.7369741597751107,0.9405233370296231,3.680894593115106,3.647278654345225,2.684163472415952,5.542649040549722,0.8372440799259827,0.9200344002851515,0.4594490653997406,1.1402173572614238,3.491436599123213,3.6284894006147885,1.4636700677001868,6.844678553991514,0.9485293617626914,1.030337438617086,0.488503631234479,1.2443770329704744
b4,8,20,flat,8,0.8751230358204547,0.9143500842615242,0.7131418863182429,0.9297044791209277,3.6693529871727684,3.615761015120106,2.685524111864318,5.4863516388056714,0.8275564645275316,0.920748981802291,0.46188880275298744,1.1171350917563392,3.469908413873862,3.6145452919193017,1.472251503176524,6.7705004775942985,0.9456458471027127,1.035026327962938,0.49810921191952806,1.2340624377237648
b4,8,24,flat,8,0.8825531622034537,0.9112995950382323,0.7317403337432183,0.9408823629545686,3.676937209243419,3.640246255755356,2.652139126956174,5.573751522197916,0.8359629089454951,0.9276465599774635,0.46451631493136175,1.1273443544299295,3.48283056147553,3.5969023297012064,1.4667494279148727,6.810182317615059,0.9472096920012868,1.0340591921091438,0.4937028615061747,1.2518030075321696
b4,12,16,flat,8,0.9339196160865502,0.9325369378095207,0.8844498235918751,0.9918971431686414,2.679531386014404,2.997228880515703,1.7001464881224495,3.8783359590623188,0.8248586366079366,0.9020850386580137,0.4963476054388641,1.1244124224933374,2.3666218888063106,2.495820324990985,1.1420317034837193,4.062929383562561,0.8832223056459427,0.9902724794531151,0.5611936281734182,1.2433340922178622
