arm,role,policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,current_k6,80,0,2.066512355273575,1.5403427100001128,5.199197446287313,6.3237440961786175,39,0.4875
raw,tuning,guard_k16,80,0,1.019939023528459,1.0,1.0173472386970808,1.7485912440398785,0,0.0
raw,held_out,current_k6,192,0,2.603015740354809,3.5249408608178863,6.134181431401602,8.733106960950764,117,0.609375
raw,held_out,guard_k16,192,0,1.0139183263341618,1.0,1.0,1.7119089316987741,0,0.0
cm,tuning,current_k6,80,0,1.885315821824649,1.3328290436336483,4.126575141507436,6.334121821407451,39,0.4875
cm,tuning,guard_k16,80,0,1.005329184575533,1.0,1.0013830813766487,1.1118012422360248,0,0.0
cm,held_out,current_k6,192,0,2.4095320325715677,2.940905661958845,5.400132482796,9.093790849673203,117,0.609375
cm,held_out,guard_k16,192,0,1.010291933023841,1.0,1.0,1.4815705128205128,0,0.0
