corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k4-mixed-tree-4-21975d9e7f15,mixed,4,9,9,9,5,9,6,2,5,9,6,13300.0,12100.0,10700.0,220,95700.0,92200.00356435776,3699.9990697950125,5600.013537332416,24500.011932104826,7700.029527768493,16000.0,11800.0,ok,1760.0,1835.0,2125.0,2129.0,27300.0,126700.0,1.0426136363636365,1.0018823529411764,12.847058823529412,46cc6a8cb5bcc0120f98b84c71699b2ac5b90cb34a781ae2a83305fa98cd8e67,True,2,0,18,0,0,268435456,100,5,21975d9e7f1523cda197d6a2afc034fa
b2,held_out,b2-k4-mixed-shared-1-1f8d2534cdb0,mixed,4,17,35,11,7,14,12,4,18,24,20,22300.0,28300.0,19600.0,432,250200.0,244900.0021442771,17800.10643415153,25599.932996556163,49700.02919435501,27800.066163763404,23400.0,30600.0,ok,3773.0,3827.0,2643.0,2735.0,26300.0,276700.0,1.014312218393851,1.0348089292470677,9.950813469542187,b8811852747cfa3620c3dd2af5d59498c240f208e689b4052bac934c29faf094,True,2,0,70,0,0,268435456,100,5,1f8d2534cdb0abf755acdf0eb3981e20
b2,held_out,b2-k4-mixed-shared-2-8d20aba853af,mixed,4,17,30,14,10,20,16,6,15,22,18,25600.0,28100.0,17900.0,435,263500.0,254599.98869337142,17699.96015354991,25300.018023699522,55099.98300112784,30399.96954612434,28600.0,26100.0,ok,4304.0,3832.0,3299.0,3388.0,28900.0,353600.0,0.8903345724907064,1.0269778720824492,8.760230372840255,fcf0a6c700dd13e274b6fba8deea8dd9b26e4eedde3495717cac8408c9c5177f,True,2,0,60,0,0,268435456,100,5,8d20aba853af3734903b0b621217f515
b2,held_out,b2-k4-mixed-shared-3-8ed832ddfd1a,mixed,4,20,54,17,13,29,22,7,27,48,37,28100.0,39300.0,19200.0,510,324300.0,313500.00062957406,19600.00372491777,31600.00778734684,65199.94349218905,41000.108467414975,54400.0,48600.0,ok,6004.0,5532.0,6873.0,5560.0,32800.0,336100.0,0.9213857428381079,0.808962607303943,4.772297395605994,c0ba8a33ac67f44abff5984dfbb6f56c46b880ac2b86e1f23e7fa9c402c53ae7,True,2,0,108,0,0,268435456,100,5,8ed832ddfd1a1d2e71bb9b68f38cf7c1
b2,held_out,b2-k4-mixed-shared-4-22af367a203f,mixed,4,16,37,13,9,24,18,6,18,40,29,22300.0,24700.0,16900.0,412,230800.0,226500.00755675137,12800.039257854223,20499.923266470432,49799.94264431298,29000.075301155448,26800.0,31400.0,ok,4609.0,5113.0,3418.0,3188.0,28800.0,250100.0,1.1093512692558039,0.9327091866588648,8.42598010532475,339e8fdd18e00f5d48bda16256b4afabd5106771063c47c993e05676cd5264e9,True,2,0,74,0,0,268435456,100,5,22af367a203f3412d92a700f0b549191
b2,held_out,b2-k6-xor_dom-tree-1-bd603bfcb13b,xor_dom,6,12,13,10,4,8,7,3,6,8,7,16900.0,17600.0,13700.0,297,168900.0,164600.00188089907,9799.987310543656,19099.970813840628,35400.036722421646,17399.9578692019,18800.0,12100.0,ok,2196.0,9600.0,2247.0,12958.0,23900.0,186400.0,4.371584699453552,5.7668001780151315,10.63640409434802,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a,True,8,48,104,24,24,268435456,100,5,bd603bfcb13bb478d5ff8d74c3a97524
b2,held_out,b2-k6-xor_dom-tree-2-186d01415e6e,xor_dom,6,11,11,7,1,5,5,1,5,5,5,12300.0,14900.0,16700.0,272,148300.0,144899.99739453197,10500.050848349929,19200.029782950878,30700.05914196372,14100.020052865148,12500.0,11100.0,ok,1875.0,7268.0,1542.0,8855.0,21300.0,221400.0,3.8762666666666665,5.74254215304799,13.813229571984436,1d32e4a54704fac550a359f8a10b86059decdcb9c5508b41ff340958805d1bc1,True,8,48,88,24,8,268435456,100,5,186d01415e6e19ebf25d33d46640fffa
b2,held_out,b2-k6-xor_dom-tree-3-db17c2d558b5,xor_dom,6,12,12,9,3,7,6,2,6,7,6,14800.0,17700.0,12900.0,292,175200.0,170399.9878372997,11800.031643360853,18799.968529492617,36699.988413602114,15500.001609325409,16500.0,11800.0,ok,2038.0,7904.0,1922.0,9138.0,19800.0,193000.0,3.878312070657507,4.754422476586889,10.301768990634756,3771c86aaf3420499795d6e04e7615973a08aa7d0e4e4225479b5e45d6d790e9,True,8,48,96,24,16,268435456,100,5,db17c2d558b5dd43e8ec864eb16dc7be
b2,held_out,b2-k6-xor_dom-tree-4-55e169562c2e,xor_dom,6,13,14,11,5,10,8,3,7,10,8,29000.0,32900.0,26700.0,317,284900.0,279100.00062547624,19699.97538253665,25899.993488565087,62800.04163272679,28700.014809146523,21500.0,13500.0,ok,3547.0,16484.0,3812.0,12273.0,60800.0,522800.0,4.647307583873696,3.219569779643232,15.949632738719831,77ec00a4540ec379e53185390153ae3788621199fb76ecced5ba563d8587d205,True,8,48,112,24,24,268435456,100,5,55e169562c2ed5d0f95d9ee8145e7c02
b2,held_out,b2-k6-xor_dom-shared-1-9e510ec73f56,xor_dom,6,25,50,14,8,18,16,7,25,28,26,62900.0,73000.0,44500.0,628,431200.0,424300.0003043562,38599.9446734786,62500.01024454832,81099.91904348135,48799.99323748052,29600.0,39500.0,ok,5176.0,38133.0,3378.0,21683.0,37700.0,511600.0,7.3672720247295205,6.418886915334517,11.160449970396684,2aec3bc90a539e122dd54736db4e4400e5b5007095003e6c684efddffc04cfad,True,8,48,400,32,56,268435456,100,5,9e510ec73f56fd2d891893c5bffdec32
