corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k16-impeqv_dom-tree-1-e08d580f6edb,impeqv_dom,16,40,48,40,10300.0,300.0,24,65,44,6,24,65,44,52600.0,57000.0,32000.0,970,426100.0,419599.99362006783,6600.021151825786,27500.00567175448,105299.92869123816,71000.01676008105,60300.0,36300.0,ok,146700.0,71600.0,143080.0,70800.0,86500.0,573900.0,0.48807089297886846,0.4948280682135868,1.2217514124293785,28939964043b92825c69db3a62cc0fd0e572fe878bc09d6abe48f167e8f38c56,True,8192,131072,393216,49152,49152,8388608,5,5,e08d580f6edb5bb7f9f29d7e6b5c87b1
b2,held_out,b2-k16-impeqv_dom-tree-2-c47a93c76ff1,impeqv_dom,16,38,41,37,9100.0,300.0,21,56,37,5,22,56,37,48300.0,50300.0,58400.0,896,393400.0,386200.0012304634,6600.050255656242,29499.991796910763,100100.00551119447,58600.009651854634,56600.0,31400.0,ok,112580.0,61300.0,113660.0,59840.0,82200.0,525700.0,0.5445016876887546,0.5264824916417385,1.3736631016042782,b02ee6a9490f8f01dae562dfc4eaee99f6b91c56c9a55de5075e040c2c8badb0,True,8192,131072,335872,40960,40960,8388608,5,5,c47a93c76ff1f90404d1101c7e522774
b2,held_out,b2-k16-impeqv_dom-tree-3-01da67660395,impeqv_dom,16,40,47,39,10000.0,300.0,23,60,41,6,24,60,41,52200.0,57700.0,32000.0,961,455200.0,448000.00614486635,9499.955922365189,37200.07953234017,109499.9024644494,73899.95153062046,60200.0,36100.0,ok,124840.0,72060.0,122400.0,67160.0,93100.0,632500.0,0.5772188401153476,0.5486928104575164,1.3862418106015486,6eca2c4bc082b0802c1c2ec4897191c392a9aa04049295ebb289b5966f58ca11,True,8192,131072,385024,40960,49152,8388608,5,5,01da676603950bf10ac55f06ccb310ec
b2,held_out,b2-k16-impeqv_dom-tree-4-f1d16cc1ccd8,impeqv_dom,16,36,37,36,9200.0,200.0,20,54,35,5,20,54,35,45400.0,47600.0,28500.0,844,373700.0,367100.0013127923,2400.018274784088,23400.00355616212,104300.15390738845,55100.012104958296,59800.0,28700.0,ok,112800.0,60300.0,115780.0,56540.0,73700.0,476500.0,0.5345744680851063,0.48833995508723443,1.3035019455252919,b2800e59b7e91c0103d66c14b98bd8f6bd2802fc6614fcd1cba5ce28391b0a8d,True,8192,131072,303104,32768,40960,8388608,5,5,f1d16cc1ccd87cd3bdbf93dc2d4cbb76
b2,held_out,b2-k16-impeqv_dom-shared-1-37e51ffa951a,impeqv_dom,16,46,75,46,11700.0,300.0,30,77,52,7,39,93,64,61800.0,65900.0,46800.0,1118,557700.0,552400.0152945518,10799.994925037026,37799.93858188391,133499.99790079892,105700.01904852688,72100.0,60700.0,ok,202960.0,100000.0,180160.0,82040.0,96500.0,688500.0,0.4927079227433977,0.45537300177619894,1.1762554851292053,3750f3194b5162b24abdb770fe535cd77b4bef4322b4e5dfa973574f347c175c,True,8192,131072,614400,32768,57344,8388608,5,5,37e51ffa951a5efa0431ecfe2e1e7612
b2,held_out,b2-k16-impeqv_dom-shared-2-c84cd9722277,impeqv_dom,16,52,105,49,18900.0,700.0,33,80,54,8,58,118,82,70400.0,70900.0,39700.0,1262,629500.0,619099.9993123114,16699.981642886996,40500.13376399875,183500.00027567148,112800.04400759935,119000.0,90800.0,ok,254660.0,125980.0,187060.0,84040.0,100000.0,778100.0,0.49469881410508126,0.44926761466909015,1.1899095668729176,1c30a6291e46f89c84bcae3dadbeef7d015272b03ccf65928a8dfa7f459ee9b9,True,8192,131072,860160,40960,65536,8388608,5,5,c84cd972227722d3994c261dbed9935f
b2,held_out,b2-k16-impeqv_dom-shared-3-dd3d88c4a1c4,impeqv_dom,16,47,125,42,10600.0,300.0,26,74,49,7,63,185,123,59500.0,76700.0,37500.0,1148,496200.0,488499.9943897128,2000.01522898674,27099.944418296218,122499.9432452023,94499.99197386205,63900.0,100400.0,ok,414160.0,173200.0,174980.0,73360.0,92000.0,807300.0,0.4181958663318524,0.4192479140473197,1.2540894220283534,5d121794535354beda6ba2813e5aba86727dc7c786f7fc871639de7cbca6eb44,True,8192,131072,1024000,49152,57344,8388608,5,5,dd3d88c4a1c4c77c937babcfe278be7c
b2,held_out,b2-k16-impeqv_dom-shared-4-750f3169f2d6,impeqv_dom,16,40,83,39,9800.0,200.0,23,67,44,6,44,124,81,62900.0,63800.0,39900.0,969,499500.0,491600.01799464226,2400.018274784088,28100.0102404505,125799.93926919997,95199.96820017695,61900.0,64100.0,ok,278400.0,117960.0,160300.0,65220.0,84500.0,646300.0,0.4237068965517241,0.4068621334996881,1.2956148420729838,516f91b25b608fbd7314967bd76f9d270ad918c97cc184abb9d442d58cab63a2,True,8192,131072,679936,32768,49152,8388608,5,5,750f3169f2d63d844b1f4544bdd21e36
b2,held_out,b2-k16-mixed-tree-1-d1b5689114e3,mixed,16,32,32,29,6900.0,300.0,13,25,20,6,16,25,20,43100.0,39600.0,25200.0,752,387000.0,380700.01755841076,21200.01590810716,29800.02318508923,87999.9715834856,49199.96717944741,42200.0,25100.0,ok,49320.0,42280.0,50160.0,41660.0,67800.0,662100.0,0.8572587185725872,0.830542264752791,1.6274603936629861,cfd9c47fbac4cfe26ed662ae3188f5f7e58968533c6a4898b9d815378ce18e20,True,8192,131072,262144,40960,49152,8388608,5,5,d1b5689114e3546f3a1d158264d1cd1a
b2,held_out,b2-k16-mixed-tree-2-9cf5c64922ce,mixed,16,32,33,32,7600.0,300.0,16,26,21,5,16,26,21,46800.0,45200.0,25200.0,759,393000.0,386100.00046901405,19500.061171129346,31599.978683516383,84600.09121336043,53599.94247555733,52500.0,26000.0,ok,46960.0,46040.0,79620.0,74060.0,98100.0,836000.0,0.9804088586030665,0.9301682994222558,1.3246016743181204,c4c0eb0b91911ee77095e3f1861624778ca5fc74b348b68586b378949000912b,True,8192,131072,270336,40960,40960,8388608,5,5,9cf5c64922ce0571249969b7df68a600
