arm,role,policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,current_k6,0,0,nan,,nan,,0,
raw,tuning,guard_k16,0,0,nan,,nan,,0,
raw,held_out,current_k6,115,14,2.747591162236181,3.6678344362268067,5.065964017629689,6.33765985875167,77,0.6695652173913044
raw,held_out,guard_k16,115,14,1.0111718191610326,1.0,1.0,2.0373721881390594,1,0.008695652173913044
cm,tuning,current_k6,0,0,nan,,nan,,0,
cm,tuning,guard_k16,0,0,nan,,nan,,0,
cm,held_out,current_k6,129,0,2.345369853988015,3.165968272972164,4.099301263167025,5.373795878551396,79,0.6124031007751938
cm,held_out,guard_k16,129,0,1.0137145604416031,1.0,1.0,2.0134466993524898,1,0.007751937984496124
