arm,role,policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,current_k6,80,0,2.016571768238123,1.499144229616553,4.730876697161266,7.9255711127487105,39,0.4875
raw,tuning,guard_k16,80,0,1.0104092355925463,1.0,1.0,1.4345281638624725,0,0.0
raw,held_out,current_k6,192,0,2.686272329352342,3.7453148525809565,5.950210263308456,8.822980460775737,123,0.640625
raw,held_out,guard_k16,192,0,1.0153056071394424,1.0,1.0,1.7072538860103628,0,0.0
cm,tuning,current_k6,80,0,1.9114482353054292,1.4023249256880126,4.934747352380373,6.555972952667168,39,0.4875
cm,tuning,guard_k16,80,0,1.0050023395512415,1.0,1.0,1.1316685584562998,0,0.0
cm,held_out,current_k6,192,0,2.411784054010135,2.869008884613054,5.243042680859761,7.330358591595003,118,0.6145833333333334
cm,held_out,guard_k16,192,0,1.0110175182062326,1.0,1.0,1.56198347107438,0,0.0
