corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,35800.0,19530.0,58960.0,0.0995128732269753
b2,ir_canonicalize_ns,192,19049.999536946416,4320.027073845267,48069.96148545296,0.06290598086947925
b2,ir_rewrite_ns,192,31550.065614283085,14130.011550150812,70549.98422972858,0.08808223188966036
b2,ir_intern_ns,192,77249.97703917325,39240.00193364918,143480.00404424965,0.21670062246763555
b2,ir_live_vars_ns,192,46550.03431253135,16299.981507472694,103630.00910729171,0.1252116429624083
b2,lower_cm_ns_median,192,37000.0,20630.0,68380.00000000001,0.10859949474351818
b2,wrapper_current_ns_median,192,22650.0,18910.0,71240.0,
b2,end_to_end_current_ns_median,192,369400.0,214370.0,704720.0,
