corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k16-impeqv_dom-shared-3-dd3d88c4a1c4,impeqv_dom,16,47,125,42,26,74,49,7,63,185,123,98200.0,110600.0,66400.0,1148,506300.0,498499.98322315514,2599.9906938523054,27300.033252686262,122099.9110955745,104799.92488399148,66100.0,91300.0,ok,406380.0,174080.0,189740.0,89880.0,128700.0,634800.0,0.4283675377725282,0.47370085379993676,1.4319092122830441,5d121794535354beda6ba2813e5aba86727dc7c786f7fc871639de7cbca6eb44,True,8192,131072,1024000,49152,57344,268435456,5,5,dd3d88c4a1c4c77c937babcfe278be7c
b2,held_out,b2-k16-impeqv_dom-shared-4-750f3169f2d6,impeqv_dom,16,40,83,39,23,67,44,6,44,124,81,51100.0,55200.0,32200.0,969,501500.0,496199.99481365085,2099.9868866056204,29699.96421597898,131800.07226765156,104200.00762678683,58400.0,64200.0,ok,271080.0,115840.0,162560.0,67900.0,103600.0,623900.0,0.427327726132507,0.4176919291338583,1.5257731958762886,516f91b25b608fbd7314967bd76f9d270ad918c97cc184abb9d442d58cab63a2,True,8192,131072,679936,32768,49152,268435456,5,5,750f3169f2d63d844b1f4544bdd21e36
b2,held_out,b2-k16-mixed-tree-1-d1b5689114e3,mixed,16,32,32,29,13,25,20,6,16,25,20,42600.0,40700.0,25200.0,752,374700.0,368400.0112116337,20999.956177547574,29800.02318508923,86400.16312710941,50200.033001601696,42700.0,25700.0,ok,48960.0,40320.0,50460.0,39020.0,98700.0,482200.0,0.8235294117647058,0.7732857709076496,2.529472065607381,cfd9c47fbac4cfe26ed662ae3188f5f7e58968533c6a4898b9d815378ce18e20,True,8192,131072,262144,40960,49152,268435456,5,5,d1b5689114e3546f3a1d158264d1cd1a
b2,held_out,b2-k16-mixed-tree-2-9cf5c64922ce,mixed,16,32,33,32,16,26,21,5,16,26,21,47600.0,71200.0,27200.0,759,430900.0,425799.9826222658,20200.066501274705,34299.970138818026,94999.96667727828,61400.089180096984,54100.0,30800.0,ok,42640.0,42820.0,44300.0,42620.0,74900.0,468900.0,1.0042213883677298,0.9620767494356659,1.7573908962928202,c4c0eb0b91911ee77095e3f1861624778ca5fc74b348b68586b378949000912b,True,8192,131072,270336,40960,40960,268435456,5,5,9cf5c64922ce0571249969b7df68a600
b2,held_out,b2-k16-mixed-tree-3-813773e1451b,mixed,16,40,48,40,24,53,38,6,24,53,38,55500.0,54900.0,30700.0,966,472800.0,465300.0214602798,17300.015315413475,36400.01523308456,113400.01947246492,72600.02894327044,61100.0,37600.0,ok,122140.0,73380.0,114520.0,63640.0,100600.0,602000.0,0.6007859832978549,0.555710792874607,1.5807668133249528,a95812dc6dbc063bb8164d6abbc45375d73fcfc19d0625b01d15b5c6e8414b8e,True,8192,131072,393216,40960,49152,268435456,5,5,813773e1451bbd6a2f98e96ceefda0d9
b2,held_out,b2-k16-mixed-tree-4-8eb11693eacf,mixed,16,37,43,36,20,43,32,5,21,43,32,52300.0,51400.0,29000.0,893,435700.0,428500.0031813979,17700.076568871737,38099.94086623192,98400.0216703862,68599.96938146651,55800.0,33200.0,ok,79940.0,57020.0,83120.0,60700.0,94700.0,566900.0,0.713284963722792,0.730269489894129,1.5601317957166392,4d6d9f055df5a6ee20cb816584dc2ae46a7f5e44347816ed8de2c611a8529f3b,True,8192,131072,352256,32768,40960,268435456,5,5,8eb11693eacf1038682e614ce5d178ae
b2,held_out,b2-k16-mixed-shared-1-ee24b1b1bb48,mixed,16,41,77,33,17,39,32,6,38,54,46,53200.0,58000.0,33600.0,998,591800.0,584299.9962624162,38199.9125238508,52000.017603859305,123199.9194715172,106900.05728974938,58700.0,61400.0,ok,91760.0,83880.0,71120.0,67520.0,92800.0,801700.0,0.9141238012205755,0.9493813273340832,1.3744075829383886,c1e3d8599b12aecc02b1037e39548ef97c9b307728c1dd11c2724784ceae6cb0,True,8192,131072,630784,40960,49152,268435456,5,5,ee24b1b1bb4825011fe7d41a9efa2bb7
b2,held_out,b2-k16-mixed-shared-2-bc31f42a45c2,mixed,16,44,96,34,18,51,39,7,50,107,76,52800.0,68600.0,36900.0,1073,630000.0,621799.990767613,35100.121749565005,59299.84035901725,136599.96329806745,113899.90686438978,55400.0,73300.0,ok,203600.0,119240.0,89280.0,63120.0,99900.0,701600.0,0.5856581532416503,0.706989247311828,1.582699619771863,7a725401fb035c3469721894db466607939804371e65638031032201203731b2,True,8192,131072,786432,32768,57344,268435456,5,5,bc31f42a45c2f54a8b39ca80550f8c5f
b2,held_out,b2-k16-mixed-shared-3-8dda327e304f,mixed,16,46,85,39,23,50,40,9,42,70,56,62000.0,63500.0,37800.0,1133,638600.0,629900.0233411789,36600.07496364415,57499.97217208147,134199.82860796154,110000.02268701792,61000.0,64000.0,ok,160700.0,146280.0,88920.0,74140.0,108700.0,752300.0,0.9102675793403858,0.8337831758884391,1.4661451308335582,5a5dd23628309d8254036753447cc7855664935af517dc86b3a9c8b57d120b9f,True,8192,131072,696320,40960,73728,268435456,5,5,8dda327e304f66ada6c383e414f2a5f7
b2,held_out,b2-k16-mixed-shared-4-8dafe13fc96b,mixed,16,41,69,32,16,45,35,8,34,68,51,50500.0,60600.0,33100.0,1001,559700.0,552399.9861907214,33100.019209086895,52099.989261478186,121399.99307692051,99300.05762726068,51200.0,48900.0,ok,165280.0,105120.0,88140.0,56760.0,92400.0,667700.0,0.6360116166505324,0.6439754935330156,1.627906976744186,2b01e9e55fa763957fceaf6cf7170bb8e75ab3237ef34252d83ab4a5e9c39ccc,True,8192,131072,565248,49152,65536,268435456,5,5,8dafe13fc96bfdcb0f894634ae107e89
