arm,role,policy,n,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,current_k6,10,2.0852295033878745,2.1199159788031894,4.691501762696898,5.865760111576011,5,0.5
raw,tuning,guard_k16,10,1.0130305129782486,1.0,1.013821752265861,1.1382175226586102,0,0.0
raw,held_out,current_k6,15,2.3417091649342447,3.0757201646090535,5.004407710447971,5.737590999338186,8,0.5333333333333333
raw,held_out,guard_k16,15,1.0604991430078836,1.0,1.1496905984194068,1.8840418014801592,0,0.0
cm,tuning,current_k6,10,1.8598802115430082,1.7493327750680692,4.098435847199609,5.108782435129741,5,0.5
cm,tuning,guard_k16,10,1.0143395346261652,1.0,1.0153011204481792,1.1530112044817926,0,0.0
cm,held_out,current_k6,15,2.138471670819548,2.726365400609925,3.930642557548105,4.96637891867333,8,0.5333333333333333
cm,held_out,guard_k16,15,1.0246084403356401,1.0,1.0865528850281634,1.2542737038766931,0,0.0
