arm,role,policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,current_k6,0,0,nan,,nan,,0,
raw,tuning,guard_k16,0,0,nan,,nan,,0,
raw,held_out,current_k6,192,0,2.64200826185667,3.551901926324891,5.738226191687181,8.086743044189852,120,0.625
raw,held_out,guard_k16,192,0,1.019290513650995,1.0,1.011425884294772,1.603404255319149,0,0.0
cm,tuning,current_k6,0,0,nan,,nan,,0,
cm,tuning,guard_k16,0,0,nan,,nan,,0,
cm,held_out,current_k6,192,0,2.441607070538591,3.161266663045601,5.360088689639959,8.205306223654848,119,0.6197916666666666
cm,held_out,guard_k16,192,0,1.0164802691831163,1.0,1.0,1.485140562248996,0,0.0
