corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-andor_dom-tree-3-269b85d31c4b,4,4,andor_dom,tree,flat,3,3,3,5,5,5,4,4,4,2095.0,15827.0,2513.0,2861.0,0.8336649423000398,6.298050139275766,0.7322614470464872,5.531981824536875,0.8783642083187697,1821.0,1922.0,2309.0,2277.0,1592.0,1685.0,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,100,7
b2,b2-k4-andor_dom-tree-4-d96f9fff14ea,4,4,andor_dom,tree,flat,5,5,5,5,5,5,5,5,5,2532.0,17889.0,2900.0,2093.0,0.8731034482758621,6.168620689655173,1.2097467749641662,8.547061634018156,1.385570950788342,2403.0,2484.0,2874.0,2776.0,1869.0,1949.0,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,True,100,7
b2,b2-k4-andor_dom-shared-1-17ce9f3e12c6,4,4,andor_dom,shared,flat,7,8,22,15,16,26,14,15,24,3370.0,19464.0,3931.0,4919.0,0.8572882218265072,4.951411854489952,0.6850985972758691,3.9569018093108355,0.799146167920309,2885.0,2972.0,3483.0,3445.0,4114.0,4229.0,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,True,100,7
b2,b2-k4-andor_dom-shared-2-f7cba4ce652b,4,4,andor_dom,shared,flat,6,7,15,10,12,15,10,12,15,2676.0,14118.0,3160.0,3214.0,0.8468354430379746,4.467721518987342,0.8326073428749222,4.392657125077784,0.9831985065339142,2605.0,2551.0,3116.0,2997.0,2966.0,3023.0,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,True,100,7
b2,b2-k4-andor_dom-shared-3-44c5bbe1b3b1,4,4,andor_dom,shared,flat,7,8,26,11,16,31,9,14,26,2852.0,23971.0,4727.0,5723.0,0.6033425005288766,5.071081023905225,0.49834003145203565,4.188537480342478,0.8259654027607898,2640.0,3116.0,3464.0,3418.0,5893.0,4881.0,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,True,100,7
b2,b2-k4-andor_dom-shared-4-f79caff75ff2,4,4,andor_dom,shared,flat,5,6,19,8,11,19,8,11,19,3123.0,17699.0,3780.0,4338.0,0.8261904761904761,4.682275132275132,0.7199170124481328,4.079990779160903,0.8713692946058091,4770.0,5478.0,6286.0,6250.0,6710.0,6978.0,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,True,100,7
b2,b2-k4-impeqv_dom-tree-1-d73fd085a946,4,4,impeqv_dom,tree,flat,3,3,3,9,9,9,6,6,6,4156.0,26345.0,3064.0,2623.0,1.3563968668407311,8.598237597911227,1.5844452916507816,10.043842927945102,1.16812809759817,3896.0,4606.0,4649.0,4345.0,3488.0,4112.0,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,True,100,7
b2,b2-k4-impeqv_dom-tree-2-cf78873f00c4,4,4,impeqv_dom,tree,flat,4,4,4,12,12,12,8,8,8,5598.0,38312.0,6234.0,5205.0,0.8979788257940328,6.1456528713506575,1.0755043227665706,7.360614793467819,1.1976945244956771,3818.0,4141.0,4906.0,3169.0,2809.0,3628.0,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,True,100,7
b2,b2-k4-impeqv_dom-tree-3-0dc01f652163,4,4,impeqv_dom,tree,flat,3,5,5,5,11,11,4,8,8,2493.0,20848.0,3788.0,3095.0,0.6581309398099261,5.503695881731785,0.8054927302100161,6.736025848142165,1.2239095315024233,2086.0,2256.0,3201.0,3102.0,2472.0,2555.0,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,True,100,7
b2,b2-k4-impeqv_dom-tree-4-0bc2267938a0,4,4,impeqv_dom,tree,flat,3,3,3,9,9,9,6,6,6,3501.0,29916.0,4154.0,3473.0,0.8428021184400578,7.20173326913818,1.0080621940685286,8.613878491217967,1.1960840771667147,2122.0,2199.0,2538.0,2520.0,2093.0,2211.0,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,True,100,7
