corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-andor_dom-shared-2-f7cba4ce652b,4,4,andor_dom,shared,flat,2918.0,16801.0,3519.0,3556.0,0.8292128445581131,4.774367718101733,0.8205849268841395,4.724690663667042,0.9895950506186727,3768.0,3874.0,3904.0,4943.0,4293.0,6250.0,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,True,100,7
b2,b2-k4-andor_dom-shared-3-44c5bbe1b3b1,4,4,andor_dom,shared,flat,2719.0,15832.0,3519.0,5044.0,0.7726626882637113,4.499005399261153,0.539056304520222,3.1387787470261697,0.6976605868358445,2546.0,2629.0,3385.0,3323.0,4579.0,4747.0,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,True,100,7
b2,b2-k4-andor_dom-shared-4-f79caff75ff2,4,4,andor_dom,shared,flat,2613.0,15547.0,3267.0,3898.0,0.7998163452708907,4.758800122436486,0.6703437660338635,3.9884556182657773,0.8381221139045665,2437.0,2503.0,3249.0,3089.0,3619.0,3697.0,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,True,100,7
b2,b2-k4-impeqv_dom-tree-1-d73fd085a946,4,4,impeqv_dom,tree,flat,2621.0,18917.0,2624.0,2508.0,0.9988567073170732,7.2092225609756095,1.0450558213716108,7.5426634768740035,1.0462519936204147,1761.0,1893.0,2131.0,2138.0,1758.0,1806.0,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,True,100,7
b2,b2-k4-impeqv_dom-tree-2-cf78873f00c4,4,4,impeqv_dom,tree,flat,2211.0,14406.0,3806.0,3458.0,0.5809248554913294,3.7850761954808196,0.6393869288606131,4.165991902834008,1.1006362058993637,2020.0,2097.0,2412.0,2399.0,2016.0,2096.0,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,True,100,7
b2,b2-k4-impeqv_dom-tree-3-0dc01f652163,4,4,impeqv_dom,tree,flat,1975.0,15443.0,2878.0,2350.0,0.6862404447533009,5.365879082696317,0.8404255319148937,6.5714893617021275,1.2246808510638298,1741.0,1816.0,2655.0,2602.0,2037.0,2102.0,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,True,100,7
b2,b2-k4-impeqv_dom-tree-4-0bc2267938a0,4,4,impeqv_dom,tree,flat,2163.0,14905.0,2341.0,2011.0,0.923964117898334,6.366937206322085,1.0755842864246643,7.411735454997514,1.1640974639482844,1827.0,1910.0,2234.0,2174.0,1809.0,1914.0,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,True,100,7
b2,b2-k4-impeqv_dom-shared-1-093bd06ebf38,4,4,impeqv_dom,shared,flat,4511.0,17680.0,4903.0,8694.0,0.92004894962268,3.6059555374260657,0.5188635840809754,2.0335863814124684,0.5639521509086727,4358.0,4465.0,5984.0,4791.0,8607.0,8574.0,6bad351a721281983a6e1f281d7336daf4112fd879642799cf6db6b2c12452a7,True,100,7
b2,b2-k4-impeqv_dom-shared-2-85e742aeb5d6,4,4,impeqv_dom,shared,flat,4247.0,17007.0,4718.0,6387.0,0.9001695633743112,3.6047053836371346,0.664944418349773,2.6627524659464537,0.7386879599185846,4008.0,3892.0,4603.0,4546.0,6065.0,9205.0,29e6cfa2a6ac59fbab9d5c4d6d564f4255760cf51fd7457a3e7fe343d48ef318,True,100,7
b2,b2-k4-impeqv_dom-shared-3-8552cadc9761,4,4,impeqv_dom,shared,flat,4924.0,18418.0,5411.0,7437.0,0.9099981519127703,3.4038070596932175,0.6620949307516472,2.4765362377302678,0.72757832459325,4648.0,4733.0,5033.0,4981.0,6951.0,6940.0,5eac72d678bc6b54f36eebba0a3a7394388c0d248b38358a45456a92e9fc5724,True,100,7
