n_vars,trial,expr_style,operator_pair_style,operator_diff_mode,operator_a,operator_b,quotient_a_minus_b_name,quotient_b_minus_a_name,symmetric_delta_name,overlap_name,same_operator,basis_vars,row_vars,col_vars,basis_aligned,basis_alignment_note,dense_shape,dense_elements,quotient_a_minus_b_matrix,quotient_b_minus_a_matrix,symmetric_delta_matrix,cm_quotient_a_minus_b_time_s,cm_quotient_b_minus_a_time_s,cm_symmetric_delta_time_s,cm_quotient_total_time_s,features_a,features_b,overlap_features,a_minus_b_features,b_minus_a_features,symmetric_delta_features,a_contains_b,b_contains_a,jaccard_features,semantic_delta_density,semantic_equivalent,structural_same,opdiff_semantic_equivalent,opdiff_structural_same
2,14,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,L,NOT_L,FALSE,NOT_L,L,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;11,00;00,00;11,0.0,0.0,0.0,0.0,4,2,2,2,0,2,True,False,0.5,,False,False,False,False
2,15,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,NOT_L,L,FALSE,L,NOT_L,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,11;00,00;00,11;00,0.0,0.0,0.0,0.0,4,2,2,2,0,2,True,False,0.5,,False,False,False,False
2,16,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,11;11,11;11,0.0,0.0,0.0,0.0,0,4,0,0,4,4,False,True,0.0,,False,False,False,False
2,17,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;00,00;00,0.0,0.0,0.0,0.0,0,0,0,0,0,0,True,True,1.0,,True,True,True,True
2,18,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,EQV,FALSE,EQV,EQV,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;01,10;01,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
2,19,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,XOR,FALSE,XOR,XOR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;10,01;10,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
2,20,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,AND,FALSE,AND,AND,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;00,10;00,0.0,0.0,0.0,0.0,0,1,0,0,1,1,False,True,0.0,,False,False,False,False
2,21,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,NOR,FALSE,NOR,NOR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;01,00;01,0.0,0.0,0.0,0.0,0,1,0,0,1,1,False,True,0.0,,False,False,False,False
2,22,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,X_AND_NOT_Y,FALSE,X_AND_NOT_Y,X_AND_NOT_Y,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;00,01;00,0.0,0.0,0.0,0.0,0,1,0,0,1,1,False,True,0.0,,False,False,False,False
2,23,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,NOT_X_AND_Y,FALSE,NOT_X_AND_Y,NOT_X_AND_Y,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;10,00;10,0.0,0.0,0.0,0.0,0,1,0,0,1,1,False,True,0.0,,False,False,False,False
2,24,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,IMP,FALSE,IMP,IMP,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;11,10;11,0.0,0.0,0.0,0.0,0,3,0,0,3,3,False,True,0.0,,False,False,False,False
2,25,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,RIMP,FALSE,RIMP,RIMP,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,11;01,11;01,0.0,0.0,0.0,0.0,0,3,0,0,3,3,False,True,0.0,,False,False,False,False
2,26,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,OR,FALSE,OR,OR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,11;10,11;10,0.0,0.0,0.0,0.0,0,3,0,0,3,3,False,True,0.0,,False,False,False,False
2,27,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,NAND,FALSE,NAND,NAND,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;11,01;11,0.0,0.0,0.0,0.0,0,3,0,0,3,3,False,True,0.0,,False,False,False,False
2,28,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,R,FALSE,R,R,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;10,10;10,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
2,29,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,NOT_R,FALSE,NOT_R,NOT_R,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;01,01;01,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
2,30,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,L,FALSE,L,L,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,11;00,11;00,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
