live_k,n,cm_prep_us_median,cse_flat_prep_us_median,cudd_build_us_median,cm_kernel_us_median,cse_flat_kernel_us_median,cudd_eval256_us_median,cudd_extract_full_us_median,cudd_dag_size_median
8,64,266.11200883053243,77.51749944873154,2488.0135024432093,15.43517428217456,16.73170190770179,402.9015253763646,1139.3664753995836,17.0
12,64,387.8760035149753,106.69298353604972,2507.1240088436753,24.16714996797964,25.12917562853545,584.7910069860518,25584.161485312507,42.0
16,64,521.0645031183958,128.6185288336128,2579.9009890761226,45.40524969343096,47.3843261715956,994.0580348484218,580357.4894962367,78.0
