n_vars,round,order,null_backend_total_s,trace_backend_total_s,null_wrapper_total_s,trace_wrapper_total_s,trace_over_null_ratio,trace_minus_null_s,exact_match
8,0,null-trace,0.0004767999635078013,0.0005073000211268663,0.0005636999849230051,0.0006667999550700188,1.1828986569178213,0.00010309997014701366,True
8,1,trace-null,0.0005916000227443874,0.0005100999842397869,0.000598000013269484,0.0006015999824739993,1.0060200152585832,3.5999692045152187e-06,True
8,2,null-trace,0.0005291000124998391,0.0005555999814532697,0.0005370000144466758,0.0006479999865405262,1.2067038530869028,0.00011099997209385037,True
8,3,trace-null,0.0004909000126644969,0.0005851999740116298,0.0004966999986208975,0.0006633999873884022,1.3356150377095877,0.0001666999887675047,True
8,4,null-trace,0.0004686000174842775,0.0004851999692618847,0.00047369999811053276,0.0005648999940603971,1.1925269079874132,9.119999594986439e-05,True
8,5,trace-null,0.0004811999970115721,0.0004686999600380659,0.00048649997916072607,0.0005392999737523496,1.1085303121342578,5.2799994591623545e-05,True
8,6,null-trace,0.00045659998431801796,0.00047619995893910527,0.0004611000185832381,0.000547999981790781,1.1884622851990965,8.68999632075429e-05,True
8,7,trace-null,0.0005182999884709716,0.0005056000081822276,0.0005259999888949096,0.0005776999751105905,1.0982889492532102,5.169998621568084e-05,True
8,8,null-trace,0.0005870999884791672,0.0005910000181756914,0.0005939999828115106,0.0006886000046506524,1.159259300633954,9.460002183914185e-05,True
8,9,trace-null,0.0005607000202871859,0.0006104999920353293,0.0005671000108122826,0.0009860999998636544,1.7388467308459745,0.0004189999890513718,True
8,10,null-trace,0.0005088999751023948,0.0006923999753780663,0.0005144000169821084,0.0007905999664217234,1.5369361203757925,0.000276199949439615,True
8,11,trace-null,0.0004974000039510429,0.0006229999708011746,0.0005035999929532409,0.0007112000021152198,1.412231954064492,0.00020760000916197896,True
8,12,null-trace,0.0005165000329725444,0.0004887999966740608,0.0005221000174060464,0.0006017999839968979,1.1526526794364527,7.969996659085155e-05,True
8,13,trace-null,0.0006072999676689506,0.0007283000159077346,0.0006158999749459326,0.0008174999966286123,1.3273259131085,0.00020160002168267965,True
8,14,null-trace,0.000547999981790781,0.0006356000085361302,0.000554499973077327,0.0007248000474646688,1.3071236837798599,0.00017030007438734174,True
8,15,trace-null,0.0005548999761231244,0.0005110999918542802,0.0005632999818772078,0.0005901000113226473,1.0475768334948778,2.6800029445439577e-05,True
8,16,null-trace,0.0005671000108122826,0.0006439000135287642,0.0005728999967686832,0.0007445999654009938,1.299703211032897,0.00017169996863231063,True
8,17,trace-null,0.0005371000152081251,0.0005287000094540417,0.0005432000034488738,0.0006082999752834439,1.1198453082128845,6.509997183457017e-05,True
8,18,null-trace,0.000520200002938509,0.0006353000062517822,0.000526699994225055,0.0007196000078693032,1.3662426727914934,0.00019290001364424825,True
8,19,trace-null,0.0005711999838240445,0.0005322999786585569,0.0005775999743491411,0.0008375999750569463,1.4501385253709227,0.00026000000070780516,True
8,20,null-trace,0.0008752999710850418,0.0006579000037163496,0.0008838999783620238,0.0007802000036463141,0.8826790618233993,-0.00010369997471570969,True
8,21,trace-null,0.0005576999974437058,0.0006027999916113913,0.0005643999902531505,0.0006942999898456037,1.2301559210413684,0.00012989999959245324,True
8,22,null-trace,0.0005201999447308481,0.0005299999611452222,0.0005256999866105616,0.0006161999772302806,1.1721514036993146,9.049999061971903e-05,True
8,23,trace-null,0.0005287999520078301,0.0005129000055603683,0.0005348999984562397,0.000589100003708154,1.101327361017647,5.420000525191426e-05,True
8,24,null-trace,0.000653900031466037,0.0005772999720647931,0.0006596000166609883,0.0006643999950028956,1.0072771046401812,4.799978341907263e-06,True
8,25,trace-null,0.0005513999494723976,0.0006403999868780375,0.0005575999966822565,0.0007874000002630055,1.4121233948136096,0.00022980000358074903,True
8,26,null-trace,0.0005400000372901559,0.0005255999858491123,0.0005458000232465565,0.0006120000034570694,1.1212898083381138,6.619998021051288e-05,True
8,27,trace-null,0.0005602000164799392,0.000521700014360249,0.0005663000047206879,0.0005975999520160258,1.0552709642140579,3.1299947295337915e-05,True
8,28,null-trace,0.0005231999675743282,0.0006464999751187861,0.0005289000109769404,0.0007350000087171793,1.3896766751045213,0.0002060999977402389,True
8,29,trace-null,0.0006505000055767596,0.0005442000110633671,0.0006565999938175082,0.0007288000197149813,1.1099604425484353,7.22000258974731e-05,True
8,30,null-trace,0.0005842000246047974,0.0005735000013373792,0.0005897999508306384,0.0006577000021934509,1.115123867452322,6.790005136281252e-05,True
8,31,trace-null,0.0005290000117383897,0.0005853999755345285,0.000534999999217689,0.0006622999790124595,1.2379438878147975,0.00012729997979477048,True
