n_vars,round,order,null_backend_total_s,trace_backend_total_s,null_wrapper_total_s,trace_wrapper_total_s,trace_over_null_ratio,trace_minus_null_s,exact_match
8,0,null-trace,0.00043509999522939324,0.0004287000047042966,0.0004428999964147806,0.0005548999761231244,1.2528787099005856,0.00011199997970834374,True
8,1,trace-null,0.0004278999986127019,0.00044450000859797,0.0004330999800004065,0.00045190000673756003,1.0434080526559615,1.880002673715353e-05,True
8,2,null-trace,0.0004292000085115433,0.00041179999243468046,0.00043379998533055186,0.0004170999745838344,0.9615029706974467,-1.6700010746717453e-05,True
8,3,trace-null,0.00041879998752847314,0.00041290000081062317,0.0004229999613016844,0.00041830004192888737,0.9888890784804469,-4.699919372797012e-06,True
8,4,null-trace,0.00042559998109936714,0.00044759997399523854,0.0004304000176489353,0.0004533999599516392,1.0534385254636867,2.2999942302703857e-05,True
8,5,trace-null,0.0004290000069886446,0.0004262999864295125,0.00043349998304620385,0.00043210003059357405,0.9967705824512556,-1.3999524526298046e-06,True
8,6,null-trace,0.00044409994734451175,0.00043590000132098794,0.0004485999816097319,0.0004412999842315912,0.9837271563143053,-7.299997378140688e-06,True
8,7,trace-null,0.0005183999892324209,0.00042799999937415123,0.0005252999835647643,0.0004332999815233052,0.8248619742625284,-9.200000204145908e-05,True
8,8,null-trace,0.0004637999809347093,0.00045870000030845404,0.00046930002281442285,0.0004655999946407974,0.9921158576736558,-3.700028173625469e-06,True
8,9,trace-null,0.00045059999683871865,0.0004556999774649739,0.0004553000326268375,0.00046179996570572257,1.0142761533342837,6.4999330788850784e-06,True
8,10,null-trace,0.0005104000447317958,0.0004752000095322728,0.0005155000253580511,0.00048149999929592013,0.9340445695642488,-3.400002606213093e-05,True
8,11,trace-null,0.0004344999906606972,0.00044709997018799186,0.00043920002644881606,0.00045309995766729116,1.0316482932181585,1.3899931218475103e-05,True
8,12,null-trace,0.00043839996214956045,0.0004336999845691025,0.00044319999869912863,0.00043919996824115515,0.9909746604925219,-4.00003045797348e-06,True
8,13,trace-null,0.00043260003440082073,0.00043479999294504523,0.0004372000112198293,0.00044029997661709785,1.0070904970670502,3.0999653972685337e-06,True
8,14,null-trace,0.00043750001350417733,0.00043180002830922604,0.00044189998880028725,0.00043730001198127866,0.9895904572627462,-4.599976819008589e-06,True
8,15,trace-null,0.00044570001773536205,0.0004409999819472432,0.0004501999937929213,0.00044679996790364385,0.9924477433670482,-3.400025889277458e-06,True
8,16,null-trace,0.00043999997433274984,0.00043539999751374125,0.000444800010882318,0.0005381999653764069,1.209981906944692,9.339995449408889e-05,True
8,17,trace-null,0.00045059999683871865,0.0004600000102072954,0.0004556999774649739,0.00046640000073239207,1.0234804121056613,1.0700023267418146e-05,True
8,18,null-trace,0.00043810001807287335,0.00044139998499304056,0.00044299999717622995,0.00044780003372579813,1.0108352970206875,4.800036549568176e-06,True
