         4147 function calls (4067 primitive calls) in 0.008 seconds

   Ordered by: cumulative time
   List reduced from 296 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 cm_packed_mask_audit.py:180(session)
        4    0.000    0.000    0.008    0.002 cm_packed_mask_audit.py:181(step)
        1    0.000    0.000    0.007    0.007 cm_packed_mask_audit.py:195(execute)
        1    0.000    0.000    0.007    0.007 cm_packed_mask_audit.py:214(<lambda>)
        1    0.000    0.000    0.007    0.007 cm_ir.py:2006(materialize_hybrid_no_reinflate)
      2/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1349(_find_and_load)
      2/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap_external>:1020(exec_module)
      5/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:1093(get_code)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:1214(get_data)
        2    0.003    0.001    0.003    0.001 {built-in method _io.open_code}
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
      4/2    0.001    0.000    0.002    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 bitset_engine.py:1(<module>)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1294(wrap)
        2    0.000    0.000    0.002    0.001 dataclasses.py:929(_process_class)
        2    0.000    0.000    0.001    0.001 dataclasses.py:470(add_fns_to_class)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
       10    0.001    0.000    0.001    0.000 {built-in method nt.stat}


