role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
heldout-structural,cold,dense,materialization_dense_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 132.78125, ""median_peak_over_estimate"": 87.498046875, ""max_estimate_over_peak"": 0.023648960739030025, ""estimate_over_peak_distribution"": [0.007531183807954813, 0.007534730397927949, 0.007536504945831371, 0.023635860031391377, 0.02364022532089759, 0.023648960739030025]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.34942434210526313, ""median_peak_over_estimate"": 0.33889403423607567, ""max_estimate_over_peak"": 3.0448036951501156, ""estimate_over_peak_distribution"": [2.861849847022829, 2.863197551212621, 2.8638718794159206, 3.0431169790416397, 3.043679010065565, 3.0448036951501156]}"
heldout-structural,cold,dense,evaluation_dense_ir_after_materialization,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,dense,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,dense,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,materialization_dense_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 69.875, ""median_peak_over_estimate"": 46.041015625, ""max_estimate_over_peak"": 0.04437510833766684, ""estimate_over_peak_distribution"": [0.014311270125223614, 0.014349775784753363, 0.0144014401440144, 0.044160772813524235, 0.0442523768366465, 0.04437510833766684]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.18388157894736842, ""median_peak_over_estimate"": 0.17930505876341338, ""max_estimate_over_peak"": 5.713295198474605, ""estimate_over_peak_distribution"": [5.438282647584973, 5.452914798206278, 5.472547254725473, 5.685699499741246, 5.697493517718237, 5.713295198474605]}"
heldout-structural,warm,dense,evaluation_dense_ir_after_materialization,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,dense,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,bigint,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
